date,season,year,不重分類至損益之項目總額,什項支出,佣金支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,加工收入,加工收入淨額,勞務收入合計,各項攤提,呆帳損失,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,捐贈,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,文具用品,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金支出,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,運費,遞延所得稅費用（利益）,金融資產減損迴轉利益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非以透過損益按公允價值衡量之金融負債所產生之手續費費損
2013-05-09,1,2013,,81,211.0,,20944,1617,1605,,,,12,14714,44690,44690,44690,,781.0,0.02,0.02,15649.0,0.0,,-56,2151,,,,44929,25.0,2013年01月01日至2013年03月31日,,3825,3825,3825,3825,6432.0,-4078,7847,534142,599931,65789,65789,69867,1096,,,,,,23842,3825,3769,,,,1.0,,0,,14714,,1094.0,,16701.0,4397.0,-56.0,6432.0,12,534142,534142,948,556250,556250,555241,61,2151
2013-08-05,2,2013,,98,20.0,,15647,1374,1191,,,,183,14378,52561,52561,52561,,25.0,0.05,0.05,6201.0,850.0,,1709,1947,,,,46562,40.0,2013年04月01日至2013年06月30日,,7933,7933,7933,7933,0.0,6999,2643,545071,630527,85456,85456,78457,1087,,,,0.04,0.04,30808,7933,9642,0.0,,,12865.0,,86,,14378,,-610.0,,16549.0,4473.0,1709.0,0.0,183,545071,545071,1421,579492,579492,577966,105,1947
2013-11-05,3,2013,,5,1303.0,,-4818,1946,1930,,,,16,14967,53253,53253,53253,,-55.0,-0.1,-0.1,1462.0,7771.0,,-2583,2415,,,,41562,38.0,2013年07月01日至2013年09月30日,,-15569,-15569,-15569,-15569,0.0,-313,-17839,483201,555048,71847,71847,72160,994,,,,-0.1,-0.1,29604,-15569,-18152,0.0,,,3410.0,28.0,0,,14967,,529.0,,13863.0,3909.0,-2583.0,0.0,16,483201,483201,1231,503035,503035,501795,9,2415
2014-11-04,3,2014,,229,489.0,,7012,5249,2440,,,,16,12222,47220,47220,47220,0.0,501.0,-0.02,-0.02,9056.0,315.0,,-1218,1548,10.0,,0.0,44573,25.0,2014年第3季,,-2871,-2871,-2871,-2871,0.0,-4128,39,523830,592777,68947,68947,73075,1011,,,102.0,-0.02,-0.02,27491,-2871,-4089,2793.0,,,26.0,30.0,34,,12222,,18.0,,15428.0,4420.0,-1218.0,0.0,16,523830,523830,2725,548339,548339,545557,57,1548
2015-03-19,4,2014,,875,3327.0,0.0,30867,9138,5864,,,1779.0,481,47261,217798,217798,217798,,2186.0,0.04,0.04,33676.0,,,2093,7245,10.0,,,186423,112.0,2014年度,,6567,8346,6567,8346,0.0,15916,-7256,2121467,2474247,352780,352780,336864,4165,,2143.0,,0.03,0.03,146276,6567,8660,2793.0,,364.0,3764.0,33.0,101,,47261,,1521.0,42.0,66015.0,18119.0,2093.0,0.0,481,2121467,2121467,9036,2265571,2265571,2256449,86,7245
2015-05-06,1,2015,,268085,,,-273034,3782,3739,,,,43,15039,48405,48405,48405,,,-1.19,-1.19,0.0,4257.0,,-43646,1134,,,0.0,40237,,2015年01月01日至2015年03月31日,,-214132,-214132,-214132,-214132,0.0,26513,-284291,488748,591818,103070,103070,76557,876,,,,-1.19,-1.19,35444,-214132,-257778,,,,0.0,22.0,128,,15039,,336.0,0.0,,,-43646.0,,43,488748,488748,3103,546522,546522,543413,6,1134
2015-05-06,1,2016,,245,,-2701.0,-14626,939,922,921.0,921.0,-2701.0,17,12429,40081,40081,40081,,,0.28,0.28,,9761.0,-2701.0,10316,4789,,,0.0,45272,,2016年01月01日至2016年03月31日,10316.0,49578,46877,49578,46877,0.0,86010,-26116,462940,614641,151701,151701,66612,775,,,,,,20565,49578,59894,,,,,0.0,15,,12429,0.0,154.0,,,,,,17,462940,462940,910,575472,575472,574560,2,4789
2015-08-11,2,2015,,80373,,,-84530,3191,3023,,,,168,12252,61101,61101,61101,,,-0.42,-0.42,0.0,3396.0,,-15615,960,,,0.0,49097,,2015年第2季,,-76240,-76240,-76240,-76240,0.0,1736,-93591,515018,598550,83532,83532,81796,878,,,,-0.42,-0.42,31821,-76240,-91855,,,,0.0,2.0,223,0.0,12252,,0.0,22.0,,,-15615.0,0.0,168,515018,515018,2952,540409,540409,537449,8,960
2015-11-10,3,2015,,227,,,18565,1278,1256,,,,22,13785,48811,48811,48811,,,0.2,0.2,20969.0,,,7447,1091,,,,44557,,2015年第3季,,35863,35863,35863,35863,,37252,6058,489005,608285,119280,119280,82028,909,,,,0.2,0.2,36562,35863,43310,0.0,,,26.0,0.0,108,,13785,0.0,0.0,1220.0,,,7447.0,,22,489005,489005,961,560440,560440,559474,5,1091
2016-03-24,4,2015,-204.0,3813,,6844.0,-338617,12794,9669,,,6640.0,332,54318,207513,207513,207513,,,-1.06,-1.06,15632.0,,6844.0,-38557,4760,,0.0,,180480,,2015年度,-38557.0,-190451,-183811,-190451,-183811,0.0,151133,-380141,2027024,2485230,458206,458206,307073,3483,-246.0,,,-1.06,-1.06,123110,-190451,-229008,2793.0,-42.0,,75.0,384.0,469,,54318,345101.0,0.0,735.0,,,,0.0,332,2027024,2027024,8307,2286051,2286051,2277717,27,4760
