date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,利息收入合計,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分投資損失,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,71649,18679,34321,,154220,7899,2553355,2553355,82571,1.01,1.01,,,122034,,,2013年01月01日至2013年03月31日,478610,632830,469010,623230,555739,44905,1720153,2553355,833202,833202,277463,,,26422,1.01,1.01,478610,600644,0.0,,,8095,9600,9600
2013-08-13,2,2013,,,48451,100966,62660,,53216,18195,3408953,3408953,4765,1.7,1.7,,,180422,,,2013年04月01日至2013年06月30日,865578,918794,854993,908018,894004,151996,2192184,3408953,1216769,1216769,322765,,,31738,1.7,1.7,865578,1046000,12727.0,,,11630,10585,10776
2013-11-12,3,2013,,,99882,8131,51035,,45645,14475,3040973,3040973,-54237,1.17,1.17,,,154982,,,2013年07月01日至2013年09月30日,601141,646786,589683,635351,716780,39343,2011119,3040973,1029854,1029854,313074,,,31524,1.17,1.17,601141,756123,5036.0,,,19823,11458,11435
2014-03-25,4,2013,,,293249,170533,192528,7177.0,374234,53231,12091555,12091555,107926,4.92,4.92,,,596662,8100.0,,2013年01月01日至2013年12月31日,2516298,2890532,2475027,2849357,2791806,321154,8055844,12091555,4035711,4035711,1243905,,-42218.0,121374,4.92,4.92,2516298,3112960,17923.0,,,41907,41271,41175
2014-04-29,1,2014,,,-139409,10591,50073,,-58386,18327,2205176,2205176,80881,0.48,0.48,,,80216,142.0,,2014年01月01日至2014年03月31日,245510,187124,239452,180255,279836,45890,1620831,2205176,584345,584345,304509,,,31746,0.48,0.48,245510,325726,,,,14774,6058,6869
2014-07-29,2,2014,,,92043,23005,62649,,-22850,14597,2452832,2452832,-114729,0.5,0.5,,,78362,-164.0,,2014年第2季,313661,290811,305554,282748,326907,65116,1800025,2452832,652807,652807,325900,,,31473,0.5,0.5,313661,392023,16579.0,,,20538,8107,8063
2014-10-30,3,2014,,,-49439,-3405,46202,,33506,9640,2022525,2022525,83725,0.21,,,,48096,-780.0,,2014年第3季,139190,172696,126176,160146,164841,22445,1508047,2022525,514478,514478,349637,,,31619,,,139190,187286,4943.0,,,20352,13014,12550
2015-02-25,4,2014,,,-82135,76505,208535,1280.0,136918,60338,8899215,8899215,226158,1.75,1.75,,,273266,-858.0,,2014年度,1109410,1246328,1072157,1208802,1169483,213193,6447786,8899215,2451429,2451429,1281946,,-7527.0,126594,1.75,1.75,1109410,1382676,21603.0,,,71847,37253,37526
2015-04-28,1,2015,,,-37668,17890,45487,,-97442,12211,1809631,1809631,-59288,0.13,0.13,,-97442.0,46655,,-486.0,2015年01月01日至2015年03月31日,85268,-12174,81023,-16471,86837,45086,1424616,1809631,385015,385015,298178,,,33123,0.13,0.13,85268,131923,153.0,,,18291,4245,4297
2015-07-30,2,2015,,,57856,8396,61362,,-30201,14558,2151887,2151887,-87137,0.38,0.38,,-30201.0,87670,,-920.0,2015年第2季,252232,222031,242311,212117,287464,52438,1564584,2151887,587303,587303,299839,,,32179,0.38,0.38,252232,339902,14625.0,,,17320,9921,9914
2015-10-29,3,2015,,4682.0,-106949,75632,58923,,149963,10824,1685123,1685123,256563,0.17,0.17,-43136.0,149963.0,30376,,349.0,2015年第3季,114825,264788,109951,259907,27075,118126,1367917,1685123,317206,317206,290131,,,32577,0.17,0.17,114825,145201,15522.0,,-37178.0,16429,4874,4881
2016-02-25,4,2015,-18903.0,,-35342,132058,212122,,-130360,45262,7523143,7523143,-74931,0.89,0.89,,-111457.0,197665,,-1184.0,2015年度,586361,456001,563865,433558,506532,277494,5723628,7523143,1799515,1799515,1292983,-22775.0,,130377,0.89,0.89,586361,784026,36483.0,-3872.0,,66686,22496,22443
2016-04-28,1,2016,,,-13638,13435,43857,,-55424,10454,1558681,1558681,-41523,-0.1,-0.1,,-55424.0,5733,,-263.0,2016年01月01日至2016年03月31日,-60568,-115992,-65408,-120875,-97626,42791,1307720,1558681,250961,250961,348587,,,33234,-0.1,-0.1,-60568,-54835,169.0,,,14501,4840,4883
2016-07-28,2,2016,,,-48419,9392,53728,,-149718,12836,2091912,2091912,-101818,0.34,0.34,,-149718.0,53469,,519.0,2016年第2季,219205,69487,212002,62293,223982,48692,1563294,2091912,528618,528618,304636,,,32365,0.34,0.34,219205,272674,8527.0,,,14428,7203,7194
2016-10-27,3,2016,,-1070.0,74541,-19482,61524,,-115916,24688,2008689,2008689,-190501,0.32,0.32,20607.0,-115916.0,32844,,44.0,2016年第3季,204729,88813,200468,84561,209754,27819,1524836,2008689,483853,483853,274099,,,31395,0.32,0.32,204729,237573,5441.0,,-55.0,14223,4261,4252
