date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,190080,251595,12414,694126,575874,1.13,1.13,,155921,,27962.0,82369,,692973,2013年01月01日至2013年03月31日,613148,1307274,558155,1175175,501808,267261,24229808,26995532,2765724,2765724,2263916,401041,,,1.11,1.11,1169902,613148,769069,,99790.0,,79117,54993,132099
2013-08-14,2,2013,,,307028,135642,27522,465622,167782,0.48,0.48,,141995,,26083.0,55018,,708439,2013年04月01日至2013年06月30日,177964,643586,236895,759924,172804,147155,18159111,20193659,2034548,2034548,1861744,320398,,,0.47,0.47,832907,177964,319959,,35271.0,,71027,-58931,-116338
2013-11-14,3,2013,,,535879,75626,45575,331532,-233900,1.2,1.2,,116254,,-11673.0,91898,,549898,2013年07月01日至2013年09月30日,527800,859332,591124,966035,505078,138976,21827432,24553100,2725668,2725668,2220590,503152,,,1.17,1.17,1167540,527800,644054,,-41226.0,,74123,-63324,-106703
2014-03-31,4,2013,,,1223340,236402,564144,1676720,858245,4.19,4.19,,945669,,58042.0,353691,,2653675,2013年01月01日至2013年12月31日,2051459,3728179,2075008,3753015,2133759,863369,94955038,106156276,11201238,11201238,9067479,1768755,,-2507.0,4.12,4.12,4645049,2051459,2997128,,460400.0,,290868,-23549,-24836
2014-05-15,1,2014,,,175317,-111340,124894,149013,31941,0.5,0.5,,65136,,-16397.0,84828,,645235,2014年01月01日至2014年03月31日,241786,390799,250396,351231,283681,23241,21498096,23783420,2285324,2285324,2001643,411661,,,0.49,0.49,944747,241786,306922,,41848.0,,75141,-8610,39568
2014-08-14,2,2014,,,607444,-473,150517,-88165,-454686,0.3,0.3,,117376,,-18635.0,50006,,639491,2014年第2季,55718,-32447,153290,115900,47008,126086,15542332,17522514,1980182,1980182,1933174,403757,,,0.3,0.3,889926,55718,173094,,222288.0,,73964,-97572,-148347
2014-11-14,3,2014,,,-17996,63881,114433,473731,578604,1.02,1.02,,338556,,32993.0,92091,,622592,2014年第3季,574345,1048076,524906,949585,717898,195003,17905829,20850223,2944394,2944394,2226496,516017,,0.0,1.0,1.0,1087887,574345,912901,,119870.0,,75402,49439,98491
2015-03-31,4,2014,,,-184583,611119,512109,543298,945841,3.5,3.5,,948874,,57871.0,273139,,2471950,2014年度,1890798,2434096,1785792,2166245,1742195,1097477,80401405,91068480,10667075,10667075,8924880,1927015,,9985.0,3.43,3.43,4525915,1890798,2839672,,285816.0,,298890,105006,267851
2015-05-15,1,2015,,,324727,454143,165027,-34090,-289501,0.45,0.45,-34090.0,213888,,,48098,-13755.0,703613,2015年01月01日至2015年03月31日,343721,309631,230899,226099,-36819,594428,19473157,21543512,2070355,2070355,2107174,480717,,,0.45,0.45,922844,343721,557609,,,55561.0,72840,112822,83532
2015-08-14,2,2015,0.0,0.0,-166835,864930,28200,-470552,-355535,0.28,0.28,-470552.0,423544,,,107514,-15680.0,664383,2015年第2季,149009,-321543,144491,-282518,-354532,927085,19697414,21581991,1884577,1884577,2239109,495176,0.0,,0.28,0.28,1079550,149009,572553,,,-67498.0,73559,4518,-39025
