date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,32564.0,97332,-56980,105095,52294.0,-10294.0,105483,52801.0,-85680.0,,93931,0.45,,101724.0,,,,0.0,,-100.0,-859.0,759.0,,,8081,,168915,2013年01月01日至2013年03月31日,5060,1314613,1420096,1314613,1420096,1322.0,1327627,-13014,5494160,7569803,2075643,2070583,732662,279257,,,,,,284490,1314613,1314613,,,,,,239.0,69210,,124579.0,1322.0,5494160.0,47878.0,7662343.0,7569803.0,44662.0,0.0,0.0
2013-08-09,2,2013,,105608.0,693,-199655,77965,44360.0,5689.0,55749,33605.0,-37948.0,,64794,0.86,,109090.0,0.0,354.0,,0.0,,28210.0,26886.0,1324.0,,,168168,,370619,2013年04月01日至2013年06月30日,0,2522501,2578250,2522501,2578250,89148.0,2520683,1818,5764977,9172979,3408002,3408356,893362,294448,,,,,,228295,2522501,2522501,,,,,0.0,0.0,44660,,113989.0,89148.0,5764977.0,25239.0,9218281.0,9172979.0,20063.0,0.0,0.0
2013-11-06,3,2013,,87217.0,-89878,17846,68682,30984.0,-22698.0,-73478,31019.0,58114.0,,-37720,0.75,,0.0,16685.0,0.0,,0.0,,-3994.0,-2558.0,-1436.0,,34315.0,34315,,224055,2013年07月01日至2013年09月30日,11730,2191213,2117735,2191213,2117735,529.0,2098272,92941,5347731,8404612,3056881,3045151,924181,296613,,,,,,403513,2191213,2191213,6679.0,,,,0.0,0.0,27902,122277.0,0.0,529.0,5347731.0,20345.0,8429005.0,8404612.0,4048.0,0.0,0.0
2014-03-20,4,2013,,335084.0,89639,-313497,361883,202113.0,-21645.0,186362,152698.0,-100689.0,,170533,2.11,2.11,341944.0,,,,613.0,,20738.0,22773.0,-3068.0,1033.0,98284.0,98284,,761081,2013年01月01日至2013年12月31日,13328,6176814,6363176,6176814,6363176,99712.0,6196832,-19405,22018517,31422076,9403559,9390231,3171754,1138004,,7399.0,,2.1,2.1,1272669,6176814,6177427,7072.0,,1258.0,,0.0,239.0,166075,,220406.0,99712.0,22018517.0,285115.0,31815692.0,31422076.0,108501.0,0.0,0.0
2014-05-09,1,2014,,6241.0,195285,-12967,49515,23878.0,-4775.0,165346,23400.0,-80089.0,,-26593,0.37,0.37,31914.0,,581.0,,,,76743.0,-2079.0,78822.0,,48000.0,48000,,182425,2014年01月01日至2014年03月31日,0,1076096,1241442,1076096,1241442,1851.0,1011874,64222,3933050,5624902,1691852,1692433,675784,251146,,,,0.36,0.36,242213,1076096,1076096,2237.0,,,,,0.0,20326,,36789.0,1851.0,3933050.0,42680.0,5676172.0,5624902.0,8590.0,,
2014-08-14,2,2014,,11494.0,31425,514,42589,18689.0,-17002.0,18240,23741.0,58198.0,,-75505,0.24,0.24,0.0,52231.0,0.0,,281.0,,4122.0,3672.0,450.0,,33270.0,33270,,205915,2014年第2季,1480,704545,722785,704545,722785,0.0,648118,56708,4648876,6135497,1486621,1485141,820021,342768,,,,0.24,0.24,271338,704545,704826,159.0,,,,,0.0,19665,,-64239.0,0.0,4648876.0,78892.0,6236869.0,6135497.0,22480.0,,
2014-10-31,3,2014,,77472.0,543911,-833993,40653,18653.0,-3363.0,527934,21369.0,-68270.0,,64296,-0.18,-0.18,86189.0,0.0,3306.0,,0.0,,-12003.0,-17567.0,5564.0,,-3881.0,-3881,,228292,2014年第3季,0,-580433,-52499,-580433,-52499,745122.0,235726,-816159,4727818,5647281,919463,922769,683680,247043,,,247.0,-0.18,-0.18,208345,-580433,-580433,384.0,,,,,0.0,18938,,97588.0,745122.0,4727818.0,108590.0,5827994.0,5647281.0,72123.0,,
2015-03-17,4,2014,,,819210,-1187566,205059,,,719372,,-233921.0,,171145,0.16,0.16,,,,,31078.0,,-39049.0,,,,,60357,,770905,2014年度,-5976,540924,1260296,540924,1260296,,1570230,-998228,19290951,23674608,4383657,4389633,2819403,1057496,,2393.0,,0.16,0.16,991002,540924,572002,,,406.0,,,,76078,,,,,,,,,,
2015-04-29,1,2015,7068.0,,-6173,465107,64649,,,-6999,,,23644.0,-10347,0.21,0.21,,,,-14067.0,0.0,7056.0,,,,,,12481,-21191.0,203654,2015年01月01日至2015年03月31日,-6119,704930,697931,704930,697931,,181147,523783,4473764,5290064,816300,822419,641272,143320,14.0,,,0.21,0.21,294298,704930,704930,,2.0,,,,,18454,,,,,,,,,,
2015-08-06,2,2015,0.0,,-121308,-48394,34776,,0.0,-234196,,,0.0,-31374,-0.25,-0.25,,,,-234196.0,102396.0,0.0,,,,,,-77652,-81514.0,189757,2015年第2季,-1593,-851658,-1085854,-851658,-1085854,,-643984,-105278,4138119,4127744,-10375,-8782,635202,209835,0.0,,,-0.25,-0.25,235610,-851658,-749262,,0.0,,0.0,,,14008,,,,,,,,,,
2015-11-06,3,2015,0.0,,-172050,46539,44827,,,-123734,,,0.0,83294,-0.22,-0.22,,,,-123734.0,-63455.0,0.0,,,,,,35404,-34978.0,232974,2015年第3季,-1152,-707206,-830940,-707206,-830940,,-885554,114893,4264484,3991941,-272543,-271391,614163,184055,0.0,,,-0.22,-0.22,197134,-707206,-770661,,0.0,,0.0,,,11877,,,,,,,,,,
