date,season,year,不重分類至損益之項目總額（稅後）,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,共同控制下前手權益,其他什項淨利益（損失）,其他利息以外淨損益,其他業務及管理費用,出售不良債權淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,採用權益法之投資處分損益,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,股利收入合計,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-24,1,2013,,989060,-826419.0,,-2124686,,,193097,2203011,,6241503,12138187,7489395,4648792,-674987,4734696,232850,0.57,,-1097119,3308573,47514.0,372846,,,,,,,7476,2013年01月01日至2013年03月31日,,-542340.0,5998213,5455873,13730898,7310553,,,0.55,5998213,7095332.0,,,,51229.0,,-80150.0,,3900619,1816523,1757424
2013-08-29,2,2013,,1806685,-2109348.0,,-1079715,,253050.0,451949,2516960,0.0,7346604,12497020,7795756,4701264,-173286,4796954,80111,0.51,,-1737311,3461876,47059.0,370472,0.0,,,,,7214.0,7214,2013年04月01日至2013年06月30日,,-1771176.0,5893949,4122773,15142360,7684386,,,0.5,5893949,7631260.0,,198899.0,,258061.0,,-67614.0,,2719150,1812142,1639945
2013-11-21,3,2013,,177833,64469.0,,737964,,293511.0,404338,2357507,0.0,5696189,12811118,7951821,4859297,-223963,4911021,-77041,0.41,,-1224278,3149291,49253.0,368757,0.0,,,,,809.0,809,2013年07月01日至2013年09月30日,,1842.0,5010410,5012252,13648010,7637285,,,0.4,5010410,6234688.0,,110827.0,,14414.0,,0.0,,1176701,1739884,1427071
2014-03-27,4,2013,,2956234,-2430501.0,,-2846198,,993974.0,1298928,9654704,0.0,24547462,50532658,31279771,19252887,-546409,19834522,351249,1.72,,-4829829,13280922,191366.0,1480964,0.0,,,-230.0,,1565.0,1565,2013年01月01日至2013年12月31日,,-1958354.0,20573623,18615269,55827233,30970190,,-222260.0,1.68,20573623,25403452.0,,304954.0,,343388.0,,-236284.0,,9900929,6737375,6289130
2014-05-22,1,2014,,72276,82909.0,,806624,,,549708,2336677,,7381326,13839605,8335031,5504574,-722209,5268681,77670,0.61,,-1217374,3748324,,394247,,,,,,,5971,2014年01月01日至2014年03月31日,,164315.0,7221587,7385902,15716357,7999605,,,0.58,7221587,8438961.0,,,,3736.0,,,0.0,2198423,2397835,2529260
2014-08-22,2,2014,,26898,150497.0,,26975,,461760.0,461760,2695708,0.0,5789507,14438994,8615402,5823592,-1228837,5299353,-296966,0.5,,-852139,3840238,,396477,,,,,,,6609,2014年第2季,,-149141.0,6390069,6240928,14404909,8391538,,,0.48,6390069,7242208.0,,,,-2672.0,,,-6053.0,1433080,2178502,2079022
2014-11-27,3,2014,,328480,-530822.0,,-20965,,,570264,2877297,,6217364,15029911,9156383,5873528,-125934,5203410,369033,0.41,,-687257,3939522,,409309,,,,,,,5807,2014年第3季,,-152403.0,6322408,6170005,15373747,8490016,,,0.4,6322408,7009665.0,,,,9386.0,,,0.0,1394256,2430551,2425433
2015-03-27,4,2014,,1192640,-619158.0,,-576368,,-13158742.0,-12439037,10749297,719705.0,10942105,55785260,33697581,22087679,-750255,19910494,318491,0.08,,-3520673,14717574,,1561738,,,,97586.0,,,131470,2014年度,,-325670.0,9647739,9322069,44639686,32221529,,-77523.0,0.08,9647739,13168412.0,,,,-45066.0,,,-22363.0,7938189,8023363,8410462
2015-05-21,1,2015,,93025,,303999.0,-830672,,484443.0,484443,1767946,0.0,5535445,7206513,4336464,2870049,-76491,2853911,-25726,0.49,246621.0,-576000,3242906,,226995,,,,,-22945.0,,660667,2015年01月01日至2015年03月31日,246621.0,,4523548,4770169,9871909,4848852,,,0.47,4523548,,5099548.0,,,,-8707.0,,-9457.0,1894533,2842,2842
2015-08-27,2,2015,,164074,,-287764.0,-238473,0.0,448618.0,448618,1857444,0.0,5124855,7300637,4433942,2866695,132945,2905717,-13819,0.41,-270543.0,-557877,2735310,,212089,,,,,19600.0,,702731,2015年第2季,-270543.0,,3892725,3622182,9558797,4975250,,,0.4,3892725,,4450602.0,,,,11440.0,,0.0,1312595,15584,15584
2015-11-26,3,2015,,150574,,-307561.0,177032,,,330898,1900344,,4577443,7507367,4529140,2978227,477353,2969675,54469,0.33,-163611.0,-369302,2549059,,232894,,,,,89639.0,746691.0,746691,2015年第3季,-163611.0,,3157015,2993404,9106583,5102913,,,0.33,3157015,,3526317.0,,,,-158.0,,-13350.0,636539,-10867,-10867
2016-03-31,4,2015,-328333.0,393784,,-517712.0,-563632,,1309415.0,1309415,7498535,0.0,19711007,29509687,17796820,11712867,2818084,11394141,-29498,1.39,-416128.0,-1670433,11412017,,900543,,-84381.0,123436.0,,,2668975.0,2668975,2015年度,-744461.0,,13226091,12481630,37507827,19793219,-295148.0,,1.38,13226091,,14896524.0,,51196.0,,7646.0,,-22807.0,4513255,3547,4405
2016-05-26,1,2016,,79505,,548726.0,-258626,,159595.0,159595,1767397,,4924556,7368949,4371238,2997711,270866,2654494,-11942,0.41,595488.0,-526075,2827065,,237872,,,,,59926.0,777765.0,777765,2016年01月01日至2016年03月31日,595488.0,,3839090,4434578,9295794,4659763,,,0.4,3839090,,4365165.0,,,,-1222.0,,-983.0,1340235,1743,1743
2016-08-26,2,2016,,106547,,59291.0,13783,,354198.0,354198,1924706,,4682060,7190860,4428592,2762268,802128,2874865,-42784,0.31,48431.0,-393186,2826181,,253037,,,,,28895.0,601260.0,601260,2016年第2季,48431.0,,2862730,2911161,9110652,5052608,,,0.31,2862730,,3255916.0,,,,3029.0,,-588.0,780679,-9416,-9416
2016-11-24,3,2016,,148517,,230919.0,38655,,,213920,1765582,,4590140,7131165,4501742,2629423,610493,2987466,-41316,0.31,121399.0,-391503,2809390,,255966,,,,,-65639.0,757112.0,757112,2016年第3季,121399.0,,3080872,3202271,9091882,5009014,,,0.31,3080872,,3472375.0,,,,-2565.0,,-6059.0,628605,111,111
