date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,技術服務收入淨額,技術服務費用,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-2024.0,-315,-1475,32108,,159174,10928,31833.0,147207,201763,159489,-0.45,-0.45,0.0,,,,-1355,201763,147207,,7315,,2013年01月01日至2013年03月31日,-210339,-51165,-142921,-63306,,,-217809,6115,2392693,2588952,196259,196259,414068,,,21180,-210339,-211694,-5596.0,,,,,31833,2097,,2245486,,,2387189,-67418,12141
2013-08-12,2,2013,,2380.0,-389,-3882,31758,,106338,13137,29205.0,119329,118262,106727,-0.28,,0.0,,,,-3643,118262,119329,,-6470,,2013年04月01日至2013年06月30日,-116530,-10192,-89720,-32633,,0.0,-112374,-7799,3015400,3336127,320727,320727,433101,,,18621,-116530,-120173,562.0,,,,,29205,-2064,,2896071,3217865.0,3217865.0,3217865,-26810,22441
2013-11-13,3,2013,,-49742.0,-1147,32287,34218,,-59724,15098,24286.0,128726,175461,-58577,-0.2,,,,,,1776,175461,128726,,7368,,2013年07月01日至2013年09月30日,-114114,-173838,-65152,-89672,,-10992.0,-161925,49587,2874946,3125826,250880,250880,412805,,,19120,-114114,-112338,441.0,,,,,24286,-6904,,2746220,2950365.0,2950365.0,2950365,-48962,-84166
2014-03-27,4,2013,,-77146.0,-816,-12629,137996,,332860,51449,107958.0,578097,736855,325026,-1.24,-1.24,,,,,24866,736855,578097,,3044,,2013年01月01日至2013年12月31日,-633949,-301089,-396943,-217055,119985.0,,-629536,20453,11753768,12818676,1064908,1064908,1694444,,8650.0,86547,-633949,-609083,-6507.0,,,,-19915.0,107958,16802,,11175671,12081821.0,12081821.0,12081821,-237006,-84034
2014-05-13,1,2014,,347.0,169,-225884,43567,,-22684,21967,28391.0,191106,208554,-22853,-0.69,-0.69,,,55793.0,,15249,208554,191106,,-6782,,2014年01月01日至2014年03月31日,-401878,-424562,-220811,-228078,,,-169139,-217490,2970015,3270468,300453,300453,469592,,,21600,-401878,-386629,,,,,-22582.0,28391,-192326,,2778909,,,3061914,-181067,-196484
2014-08-13,2,2014,,11712.0,469,-13622,38282,,-94068,19180,28385.0,164403,132564,-94537,-0.16,,,,-12850.0,,39923,132564,164403,,-2554,,2014年第2季,-70759,-164827,-51003,-108628,,,-24557,-6279,3454891,3901305,446414,446414,470971,,,19102,-70759,-30836,,,,,-2853.0,28385,-17613,,3290488,3768741.0,3768741.0,3768741,-19756,-56199
2014-11-06,3,2014,,22101.0,125302,55398,50406,,232815,30000,26653.0,168256,176801,107513,0.14,,,,-22711.0,,7311,176801,168256,,-1470,,2014年第3季,94433,327248,44289,214889,,0.0,24063,77681,3160681,3651692,491011,491011,466948,,,20406,94433,101744,,,,,-7724.0,26653,47064,,2992425,3474891.0,3474891.0,3474891,50144,112359
2015-03-25,4,2014,,22667.0,80413,-375288,177240,,221212,85454,105842.0,651496,685282,137978,-1.04,-1.04,,,,,103044,685282,651496,,-13396,,2014年度,-646467,-425255,-333426,-190308,160433.0,,-226137,-317286,12647700,14277021,1629321,1629321,1855458,,2821.0,91786,-646467,-543423,-114071.0,,,,-89692.0,105842,-167809,,11996204,13591739.0,13591739.0,13591739,-313041,-234947
2015-05-12,1,2015,,-22588.0,-34057,143246,34841,,-122433,15043,22904.0,250848,285368,-88376,0.04,0.04,,,-12976.0,-122433.0,730,285368,250848,,-3263,,2015年第1季,1927,-120506,11323,-87793,,,-149263,151920,2859654,3136158,276504,276504,425767,,,19798,1927,2657,,,,,-51034.0,22904,56648,,2608806,,,2850790,-9396,-32713
2015-08-11,2,2015,,505.0,52343,-30525,40086,,-7756,15956,18393.0,281327,236026,-60082,-0.4,,,,901.0,-7756.0,13743,236026,281327,,-3762,-17.0,2015年第2季,-205910,-213666,-128492,-106950,,,-179573,-12594,3038344,3276642,238298,238298,417871,,,24130,-205910,-192167,,127712.0,,,-10168.0,18393,88425,,2757017,3040616.0,3040616.0,3040616,-77418,-106716
