date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,-25162.0,32302,13203,,-19420.0,-85043,776,0.2,0.2,,,,-3158,-41237.0,98667,,64157,2013年01月01日至2013年03月31日,101.0,199992,114949,178803,131690,0,0,54480,142354,2651527,2816753,165226,165125,110645,13348,,,0.2,0.2,33140,199992,196834,1818,2651527,2816753,21189,-16741
2013-08-12,2,2013,,2685.0,69785,16168,,-30355.0,77248,214,0.15,0.15,49.0,,,23061,104704.0,75359,,87577,2013年04月01日至2013年06月30日,0.0,145010,222258,134852,235628,4861,10265,9371,158700,3091168,3254784,163616,163665,154294,22820,,,0.15,0.15,43897,145010,168071,2612,3086307,3244519,10158,-13370
2013-11-13,3,2013,,-1770.0,20656,29322,,,107621,-526,0.31,0.31,,,,8336,109917.0,127205,,93997,2013年07月01日至2013年09月30日,5014.0,289712,397333,278199,382021,143972,263975,125416,172632,3065335,3336914,271579,266565,141149,5454,,,0.31,0.31,41698,289712,298048,4551,2921363,3072939,11513,15312
2014-03-24,4,2013,,,133622,90321,80487.0,,185210,740,0.71,0.71,,9834.0,,27264,204181.0,348307,,273702,2013年01月01日至2013年12月31日,616.0,695577,880787,640498,829587,154236,276502,165895,556946,11678292,12367729,689437,688821,522926,53503,,-19711.0,0.71,0.71,195721,695577,722841,15304,11524056,12091227,55079,51200
2014-05-05,1,2014,,,12703,18403,,,-25428,808,0.11,0.11,63.0,,,12501,-26236.0,60692,,68645,2014年01月01日至2014年03月31日,0.0,105859,80431,95467,71024,1093,2246,32170,86190,2584643,2743546,158903,158966,126796,12668,,,0.11,0.11,45483,105859,118360,5608,2583550,2741300,10392,9407
2014-08-13,2,2014,,,-12706,18548,,,-70630,-753,-0.03,-0.03,367.0,,,29695,-69877.0,22642,,89513,2014年第2季,0.0,-34198,-104828,-30267,-96122,946,1836,-25775,21272,2973993,3104198,130205,130572,156347,11457,,,-0.03,-0.03,55377,-34198,-4503,7212,2973047,3102362,-3931,-8706
2014-11-11,3,2014,,,40715,26825,,,-108479,733,0.09,0.09,0.0,,,-3867,-109212.0,97196,,70862,2014年第3季,107.0,92425,-16054,84051,-17914,531,732,-68335,156893,2751129,2805902,54773,54666,123001,9681,,,0.09,0.09,42458,92425,88558,7843,2750598,2805170,8374,1860
2015-03-23,4,2014,,,95315,92260,92260.0,,-204691,2644,0.23,0.23,89.0,0.0,,54588,-201222.0,181032,,307517,2014年度,0.0,231939,27248,216818,27989,30797,4814,-54289,340816,11053160,11532919,479759,479848,534137,43215,,-6113.0,0.23,0.23,183405,231939,286527,27791,11022363,11528105,15121,-741
2015-04-28,1,2015,,,-28897,16416,16416.0,,-50448,-516,0.1,0.1,0.0,,-50448.0,28664,,-23646,-49932.0,68165,2015年01月01日至2015年03月31日,168.0,89423,38975,96018,45380,1640,3458,160321,-42234,2477831,2759961,282130,281962,121641,9944,,,0.1,0.1,43532,89423,118087,6107,2476191,2756503,-6595,-6405
2015-08-13,2,2015,,,-35899,21761,,,53470,-689,0.12,0.12,72.0,,53470.0,-7417,,52159,54159.0,74162,2015年第2季,0.0,114696,168166,111484,159609,2867,7022,77244,30035,2470725,2674907,204182,204254,127010,10717,,,0.12,0.12,42131,114696,107279,7986,2467858,2667885,3212,8557
