date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,18,71592,86143,86143.0,1835,300434,66117.0,300416,0.49,0.49,,39017,,,2550,102344,2013年01月01日至2013年03月31日,335353,635787,184638,334372,280202,94168,2368279,3021743,653464,653464,375097,,,,0.49,0.49,272753,335353,374370,66117,150715,301415
2013-08-14,2,2013,,,-36,-69865,76212,76212.0,1775,150254,66781.0,150290,0.64,0.64,,55746,,,-9203,152442,2013年04月01日至2013年06月30日,438588,588842,245821,344067,563971,-69637,3158303,4159961,1001658,1001658,439462,,,,0.64,0.64,287020,438588,494334,66781,192767,244775
2013-11-14,3,2013,,,-4,57984,100136,100136.0,1651,-107257,55105.0,-107253,0.56,0.56,,75706,,,-11459,114095,2013年07月01日至2013年09月30日,395059,287802,216231,163067,379209,91556,3024922,3814293,789371,789371,411813,,,,0.56,0.56,297718,395059,470765,55105,178828,124735
2014-03-31,4,2013,,,37,2824871,354244,,5978,471814,249566.0,472677,8.28,8.28,,494829,0.0,47663.0,-47663,507361,2013年01月01日至2013年12月31日,3840065,4311879,3196542,3462054,1453008,2881886,11647180,14915064,3267884,3267884,1820854,,,-900.0,8.26,8.26,1313493,3840065,4334894,249566,643523,849825
2014-05-14,1,2014,,,-38,-28006,31123,,1096,-5942,57309.0,-5904,0.22,0.22,,109825,,,-18878,120593,2014年01月01日至2014年03月31日,189974,184032,85983,90765,372869,-73070,2883248,3689232,805984,805984,434211,,,,0.22,0.22,313618,189974,299799,57309,103991,93267
2014-08-13,2,2014,,,60,-32266,85472,,1909,-198253,56582.0,-198313,-0.05,,,259920,,,-21982,119694,2014年第2季,112690,-85563,-18271,-122203,397968,-25358,3016118,3878767,862649,862649,466590,,,,-0.05,,346896,112690,372610,56582,130961,36640
2014-11-11,3,2014,,,-42,23234,19894,,2111,259039,40448.0,259081,0.22,,,85263,,,-13518,119541,2014年第3季,185524,444563,87855,229588,281625,-10838,2881064,3613056,731992,731992,452478,,,,0.22,,332937,185524,270787,40448,97669,214975
2015-03-30,4,2014,,,-21,-108925,194498,,7574,415745,192663.0,419942,1.36,,,569155,,,-26114,546948,2014年度,1179768,1595513,534860,780407,1882127,-133204,13104656,16933757,3829101,3829101,1954548,,,-4176.0,1.36,,1407600,1179768,1748923,192663,644908,815106
2015-05-14,1,2015,0.0,0.0,-20,-3220,28978,,2312,-104216,36198.0,-104196,0.58,,-104216.0,73760,,,-2554,225909,2015年01月01日至2015年03月31日,378611,274395,230009,173583,465365,-12994,3530569,4542054,1011485,1011485,548432,,,,0.58,,322523,378611,452371,36198,148602,100812
2015-08-14,2,2015,0.0,0.0,-69,7368,58349,,2343,-163729,32205.0,-163660,0.38,,-163729.0,64412,,,-9138,161090,2015年第2季,264207,100478,148336,64220,304245,24374,2968985,3744146,775161,775161,473259,,,,0.38,,312169,264207,328619,32205,115871,36258
2015-11-13,3,2015,0.0,0.0,-22,60799,16844,,2548,503744,36009.0,503766,0.87,,503744.0,116771,,,-84385,138616,2015年第3季,592652,1096396,342428,640559,752174,-42751,3262561,4441406,1178845,1178845,429219,,,,0.87,,290603,592652,709423,36009,250224,455837
2016-03-30,4,2015,,-15168.0,-143,102830,147341,,9676,-164575,136369.0,-149264,2.8,,-149407.0,366930,,,-98158,728173,2015年度,1855209,1690634,1095929,1044486,2206495,15644,13157518,17389141,4231623,4231623,2034804,,-15168.0,,2.79,,1306631,1855209,2222139,136369,759280,646148
2016-05-10,1,2016,,,32,-27401,21980,,2842,-92653,28286.0,-92685,0.48,0.48,-92653.0,75487,,,-10306,144956,2016年01月01日至2016年03月31日,342642,249989,183172,132320,462142,-44013,2574914,3517317,942403,942403,483103,456.0,,,0.47,0.47,337691,342642,418129,28286,159470,117669
2016-08-12,2,2016,,,29,57334,40364,,2689,-246745,26038.0,-246774,0.35,0.35,-246745.0,118326,,,-6825,163062,2016年第2季,264429,17684,136678,17036,317920,64835,2601171,3388701,787530,787530,472299,1325.0,,,0.35,0.35,307912,264429,382755,26038,127751,648
2016-11-14,3,2016,,,-14,4554,35945,,2683,-375199,,-375185,0.97,0.97,-375199.0,95042,,,-11738,158792,2016年第3季,596101,220902,372863,142180,688719,2424,2854816,4136832,1282016,1282016,595980,3912.0,,,0.97,0.97,433276,596101,691143,26337,223238,78722
