date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,-5511,1435,505,,-6215,329647,334593,,0.71,0.71,867,,915,,31228,,,-704.0,3687,,,,44145,2013年01月01日至2013年03月31日,161904,155689,,159658,153403,867,915,188182,4950,1143664,1414344,270680,270680,82498,6033,,,0.7,0.7,32320,161904,193132,,,677,,,813150,,,1078836,2246,2286
2013-08-02,2,2013,,,,-14572,618,690,690.0,-19519,426527,477088,,1.02,1.02,6367,,6970,,41960,,,-4947.0,12366,,,,46646,2013年04月01日至2013年06月30日,233811,214292,,230900,211426,6367,6970,262431,13340,1268305,1615801,347496,347496,85065,5899,,,1.02,1.02,32520,233811,275771,,,334,,,835411,,,1131743,2911,2866
2013-11-01,3,2013,,,,68129,94,12152,12152.0,44665,434297,489064,,1.03,1.03,2354,,2486,,45327,,,-23464.0,2907,,,,19422,2013年07月01日至2013年09月30日,236834,281499,,233354,277994,2354,2486,268088,14073,1165903,1521159,355256,355256,87168,4839,,,1.03,1.03,62907,236834,282161,,,1080,,,729252,,,1029609,3480,3505
2014-03-18,4,2013,,,0.0,49575,4813,16894,16894.0,16444,1584310,1713752,,3.92,3.92,44259,,48718,,169581,,,-24767.0,23107,,,,148897,2013年01月01日至2013年12月31日,904802,921246,,885107,901581,44259,48718,1032908,41475,4866787,6247623,1380836,1380836,347928,22146,,-8364.0,3.9,3.9,176885,904802,1074383,,,3339,,,3238218,,,4485153,19695,19665
2014-05-02,1,2014,,,,-14911,736,2553,,-19291,425830,464581,,0.95,0.95,3262,,3443,,41695,,,-4380.0,3547,,,,34851,2014年01月01日至2014年03月31日,217425,198134,,213991,194731,3262,3443,253123,5997,1315858,1655692,339834,339834,86711,5433,,,0.94,0.94,46427,217425,259120,,,839,,,886766,,,1187668,3434,3403
2014-08-05,2,2014,,,,8146,-100,7119,7119.0,8334,475334,513149,,1.14,1.14,2320,,2400,,61507,,,188.0,6136,,,,40435,2014年第2季,263024,271358,,257612,265972,2320,2400,311671,12860,1324855,1730890,406035,406035,94364,6001,,,1.14,1.14,47928,263024,324531,,,295,,,847201,,,1215341,5412,5386
2014-11-05,3,2014,,,,11879,-8484,8590,8590.0,15104,369534,423628,,1.17,1.17,9147,,10000,,51226,,,3225.0,9073,,,,36738,2014年第3季,271325,286429,,265426,280453,9147,10000,314321,8230,1262055,1668722,406667,406667,92346,6648,,,1.17,1.17,48960,271325,322551,,,949,,,883374,,,1235094,5899,5976
2015-03-19,4,2014,,,,7234,-4933,21490,21490.0,9412,1805704,2009383,,4.57,4.57,15027,15844.0,15844,,213475,,,2500.0,18760,,,,146056,2014年度,1063603,1073015,,1032582,1041983,15027,15844,1243275,33803,5413944,7027649,1613705,1613705,370430,24359,,-322.0,4.55,4.55,200015,1063603,1277078,,,1514,,3593213.0,3593213,5002422.0,5002422.0,5002422,31021,31032
2015-05-07,1,2015,,,,-13732,-2855,634,634.0,-15585,601471,656366,,1.07,1.07,58670,,58831,-15585.0,47894,,,,3564,-1773.0,-1853.0,-80.0,42378,2015年01月01日至2015年03月31日,244626,229041,,241983,226406,58670,58831,294497,-1977,1538854,1927827,388973,388973,94476,6124,,,1.07,1.07,45974,244626,292520,,,3320,,,878713,,,1212630,2643,2635
2015-08-11,2,2015,,,0.0,-19242,-1185,744,744.0,-26051,556027,598420,,0.92,0.92,160761,,161676,-26051.0,44692,,,,2636,-6581.0,-6809.0,-228.0,42533,2015年第2季,217331,191280,,207018,181019,160761,161676,263046,-1023,1596976,1963230,366254,366254,103208,5606,,,0.91,0.91,55069,217331,262023,,,3218,,,880188,,,1203134,10313,10261
