date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,佣金收入,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務收入合計,勞務收入淨額,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,41397,55793,55268,33567,3869,9584,-15445.0,224985,41397,41397,,,144234.0,1.24,1.24,,63086,,,40403.0,87022,,,,,371672,2013年01月01日至2013年03月31日,299142,524127,,286502,495149,205840,156388,6954063,7625467,671404,671404,465564,,,,1.21,1.21,93892,299142,362228,,,,19469,,6950194,7574486,12640,28978
2013-08-12,2,2013,,,24609,-74655,41784,40858,1757,6998,,-6886,24609,24609,,,65128.0,1.12,1.12,,129002,,,8692.0,75386,,,,,402691,2013年04月01日至2013年06月30日,280591,273705,,260033,245098,271196,138397,7964102,8737838,773736,773736,502540,,,,1.1,1.1,99849,280591,409593,,6051.0,,19631,,7962345,8706231,20558,28607
2013-11-12,3,2013,,,31180,37431,-9437,74812,4279,14857,,-46221,31180,31180,,,-75281.0,1.35,1.35,,101414,,,-8371.0,106585,,,,,455224,2013年07月01日至2013年09月30日,339876,293655,,312975,273887,289023,152267,8276488,9127265,850777,850777,561754,,,,1.33,1.33,106530,339876,441290,,0.0,,19693,,8272209,9081228,26901,19768
2014-03-26,4,2013,,,118940,-35573,199385,196429,25347,39003,,204174,118940,118940,,,204327.0,5.01,5.01,,399776,,,60366.0,304762,,,,,1660589,2013年01月01日至2013年12月31日,1239023,1443197,,1159458,1338100,1018788,620011,31294253,34398398,3104145,3104145,2085357,,,15347.0,4.9,4.9,424768,1239023,1638799,,40293.0,,80565,,31268906,34240455,79565,105097
2014-05-13,1,2014,,,17392,-38801,-17456,37712,6937,9972,1143.0,-25982,17392,17392,,,-9698.0,1.25,1.25,,62550,,,21374.0,81652,,,,,416444,2014年01月01日至2014年03月31日,302503,276521,,289435,264155,286055,78998,8078408,8870920,792512,792512,506457,,,,1.23,1.23,90013,302503,365053,,,,22910,,8071471,8843556,13068,12366
2014-08-11,2,2014,,,19314,-38511,42140,38283,8338,32221,,-151812,19314,19314,,,-85952.0,1.26,1.26,,123097,,,-45031.0,72983,,,,,472274,2014年第2季,313969,162157,,291021,151279,311279,125787,9252428,10130115,877687,877687,566408,,,,1.23,1.23,94134,313969,437066,,-17682.0,,27619,,9244090,10078580,22948,10878
2014-11-12,3,2014,,,11799,-19094,64499,48162,10342,28540,,107138,11799,11799,,,115145.0,1.5,1.5,,115779,,,25804.0,82714,,,,,532309,2014年第3季,371679,478817,,347010,437689,318811,168647,9802303,10777192,974889,974889,656078,,,,1.46,1.46,123769,371679,487458,,14717.0,,26728,,9791961,10736853,24669,41128
2015-03-25,4,2014,,,66745,-100191,85226,189078,35312,95855,,120675,66745,66745,,,172082.0,5.5,5.5,,399277,,,72830.0,332253,,,,,1898156,2014年度,1364047,1484722,,1273607,1371993,1264038,499286,36326844,39900750,3573906,3573906,2309868,,,-3924.0,5.27,5.27,411712,1364047,1763324,,20122.0,,107271,,36291532,39738150,90440,112729
2015-05-13,1,2015,,,37078,-6265,-1251,32653,10955,26582,,-74193,37078,37078,,,-58287.0,1.16,1.16,-74193.0,88684,,,,67338,,-17516.0,,,436391,2015年第1季,290249,216056,,268274,202271,308403,70530,8180517,9027373,846856,846856,538453,,,,1.13,1.13,102062,290249,378933,,,-7875.0,28210,,8169562,8963713,21975,13785
2015-08-10,2,2015,-91387.0,-91387.0,13581,-31123,-96227,23562,10516,23804,,-128167,13581,13581,,,,1.11,1.11,-36780.0,119852,,,,213513,,-17596.0,,,477283,2015年第2季,279499,151332,,257704,143131,280909,118442,8556937,9409808,852871,852871,571962,,,,1.04,1.04,94679,279499,399351,,,-11939.0,22406,,8546421,9372423,21795,8201
