date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-05-07,1,2013,,,8094.0,4300,77845,,,319298,,,,311204,0.01,,33533,,,,1284,,632710,2013年01月01日至2013年03月31日,8630,327928,6357,266472,15931,26232,6905325,8170839,1265514,1265514,1249583,166614,,,,,,,450259,8630,42163,,,0.0,,57197,,,,,,,,2273,61456
2014-05-07,2,2013,,,8769.0,61006,201803,56704.0,88690.0,60734,,62959.0,140786.0,51965,0.16,,24332,,,,59771,,713123,2013年04月01日至2013年06月30日,110005,170739,134581,189823,-106235,240572,7254787,8498952,1244165,1244165,1350400,229488,,,36998.0,82023.0,,,407789,110005,134337,,,0.0,,82008,7098126.0,7098126.0,,,,8187453.0,,-24576,-19084
2014-05-07,3,2013,,,-16898.0,91721,103738,63050.0,38397.0,198265,81333.0,294542.0,230620.0,215163,-0.02,,-22399,,61211.0,0.0,61211,,1068537,2013年07月01日至2013年09月30日,-35342,162923,-14938,263488,-179031,121290,7073007,8376465,1303458,1303458,1482489,134499,,,37705.0,40841.0,24770.0,,279453,-35342,-57741,-2365.0,,0.0,,135380,6677710.0,6677710.0,-185622.0,8518276.0,8518276.0,8066607.0,637291.0,-20404,-100565
2014-05-07,4,2013,,,,205126,455097,,,943029,,,,820370,-0.56,,241246,195159.0,,,311221,,2829615,2013年01月01日至2013年12月31日,-517105,425924,-474054,359154,-897633,621774,28254224,32626286,4372062,4372062,5269695,791353,,75561.0,,,,-0.56,1648727,-517105,-275859,,,148061.0,,349670,,,,,,,,-43051,66770
2014-05-14,1,2014,,,7641.0,24722,66883,,,163136,,,,179737,-0.13,,-31955,-1154.0,,,-8180,,694324,2014年01月01日至2014年03月31日,-153055,10081,-111835,891,-216581,31571,6950484,7999930,1049446,1049446,1266027,173566,,,,,,,398137,-153055,-185010,,,23088.0,,51854,,,,,,,,-41220,9190
2014-08-12,2,2014,,,-115367.0,517472,124805,,,-350715,,,,-273569,0.27,,208726,,,,20547,,908360,2014年第2季,251610,-99105,229311,42701,-44615,504951,8818833,10404545,1585712,1585712,1630327,251243,,,,,,-0.11,470724,251610,460336,,,-38221.0,,157873,,,,,,,,22299,-141806
2014-11-14,3,2014,,,-1714.0,-239839,94729,,,187772,,,,222087,-0.39,,60414,,,,70196,,902181,2014年第3季,-352833,-165061,-351824,-192655,-151453,-140966,8625417,9769343,1143926,1143926,1295379,119686,,,,,,0.0,273512,-352833,-292419,,,32601.0,,66052,,,,,,,,-1009,27594
2015-03-26,4,2014,,,-123465.0,249921,356623,,,222460,,,,412855,-0.32,,207596,130346.0,,,416732,,3079743,2014年度,-351806,-129346,-278539,-10205,-843413,699203,31828465,36457248,4628783,4628783,5472196,740279,,-135538.0,,,,,1652174,-351806,-144210,,,61738.0,,324073,,,,,,,,-73267,-119141
2015-05-15,1,2015,,,926.0,38024,112975,,,-147417,,,,-141245,0.06,-147417.0,47097,,,,20991,-32482.0,706575,2015年01月01日至2015年03月31日,53980,-93437,55842,-68093,115,100962,7408745,8676277,1267532,1267532,1267417,119050,,,,,,,441792,53980,101077,,,,-25384.0,71028,,,,,,,,-1862,-25344
2015-08-12,2,2015,,,-2791.0,87877,119853,,,-183940,,,,-166264,0.36,-183940.0,38325,,,,126497,-44075.0,817791,2015年第2季,307739,123799,310689,168173,112943,233121,7197634,8613122,1415488,1415488,1302545,123071,,,,,,0.36,361683,307739,346064,,,,-29190.0,101106,,,,,,,,-2950,-44374
2015-11-13,3,2015,,,-635.0,3119146,41044,,,500826,,,,460148,3.44,500826.0,597663,,,,147571,129030.0,756162,2015年第3季,3057686,3558512,3059599,3487868,209592,3445757,7933747,9498434,1564687,1564687,1355095,131613,,,,,,3.44,467320,3057686,3655349,,,,87717.0,-137996,,,,,,,,-1913,70644
2016-03-29,4,2015,-238830.0,,-3276.0,3281050,368571,,,-192123,,,,95555,3.48,46707.0,599786,,,,671498,-30667.0,2894842,2015年度,2997016,2804893,3093332,2906241,-418804,4015606,28141915,32884338,4742423,4742423,5161227,619972,-267145.0,,,,,3.47,1646413,2997016,3596802,,-28315.0,,14905.0,305513,,,,,,,,-96316,-101348
2016-05-13,1,2016,,0.0,-227.0,76934,58007,,,-131181,,,,-104781,0.03,-131181.0,57558,,,,91844,-49894.0,671914,2016年01月01日至2016年03月31日,30279,-100902,25317,-94989,-44252,132089,5958734,7121605,1162871,1162871,1207123,165474,,,,,,0.03,369735,30279,87837,,,,-23721.0,94696,,,,,,,,4962,-5913
2016-08-12,2,2016,,,-362.0,-30768,97912,,,-123358,,,,-58350,0.07,-123358.0,236605,,,,53506,-83813.0,765050,2016年第2季,65947,-57411,64464,-51399,239924,62628,7163607,8696638,1533031,1533031,1293107,187842,,,,,,0.07,340215,65947,302552,,,,-19167.0,58022,,,,,,,,1483,-6012
2016-11-11,3,2016,,,45.0,80625,56897,,,-276390,,,,-227099,-0.36,-276390.0,26555,,,,-459555,-90512.0,746363,2016年第3季,-298574,-574964,-312986,-552050,159188,-431207,7119797,8593717,1473920,1473920,1314732,157434,,,,,,-0.36,410935,-298574,-272019,,,,-41176.0,109174,,,,,,,,14412,-22914
