date,season,year,不動產、廠房及設備減損損失,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入淨額
2013-05-09,1,2013,,0.0,13512,3719,225.0,9565,295.0,384.0,9565,0.84,,13512.0,,,,11507,2013年01月01日至2013年03月31日,78823,88388,78823,88388,,61976,16847,1046037,1134982,88945,88945,26969,,2865,3199.0,,,12597,78823,78823,,0.0,,0.0,,384,,0.0,295.0,1046037.0,1046037.0,1134982.0
2013-08-09,2,2013,0.0,8.0,-86,5550,2115.0,5647,161.0,1755.0,5647,0.95,,131.0,0.0,,1720.0,5298,2013年04月01日至2013年06月30日,89288,94935,89288,94935,0.0,87299,3709,1333277,1435672,102395,102395,15096,1720.0,2093,3274.0,,,7705,89288,91008,,0.0,209.0,0.0,0.0,1755,0.0,,161.0,1333277.0,1333277.0,1435672.0
2013-11-08,3,2013,,,-9741,5507,,-14021,,,-3794,0.99,0.99,,,,0.0,3678,2013年07月01日至2013年09月30日,93446,79425,93446,79425,,99829,-6383,1539734,1655199,115465,115465,15636,,1953,,,,10005,93446,93446,10227.0,,,,,2149,,,,,,
2014-03-26,4,2013,,,-27596,21378,,16824,,,16824,3.73,3.73,,,,1720.0,27194,2013年01月01日至2013年12月31日,352042,368866,352042,368866,,365965,-12203,5691668,6139231,447563,447563,81598,,9018,,3.72,3.72,45386,352042,353762,,,,,,5985,,,,,,
2014-05-06,1,2014,,,14629,1265,,-1150,,,-1150,1.08,1.08,,,,29.0,6870,2014年01月01日至2014年03月31日,101846,100696,101846,100696,,89010,12865,1834888,1946268,111380,111380,22370,,4246,,1.08,1.08,11254,101846,101875,,,,,,3029,,,,,,
2014-08-08,2,2014,,,-10816,1463,,-5452,,,-5452,0.25,0.25,,,,14212.0,6650,2014年第2季,24071,18619,24071,18619,,50737,-12454,1019300,1090408,71108,71108,20371,,4030,,0.25,0.25,9691,24071,38283,,,,,,3101,,,,,,
2014-10-28,3,2014,,,18112,1090,,7398,,,7398,0.62,0.62,,,,0.0,6986,2014年第3季,67278,74676,67278,74676,,48596,18682,1247404,1326892,79488,79488,30892,,7029,,0.62,0.62,16877,67278,67278,0.0,,,,,520,,,,,,
2015-03-23,4,2014,,,57347,5286,,7044,,,7044,2.48,2.48,,,,14241.0,29737,2014年度,271291,278335,271291,278335,,229863,55669,5515604,5864541,348937,348937,119074,,27052,,2.48,2.48,62285,271291,285532,,,,,,6964,,,,,,
2015-04-29,1,2015,,,-10098,699,,-3481,,,-3481,0.06,0.06,,,-3481.0,0.0,13210,2015年01月01日至2015年03月31日,6432,2951,6432,2951,,17277,-10845,1671574,1719023,47449,47449,30172,,6386,,0.06,0.06,10576,6432,6432,,,,,,1446,,,,,,
2015-07-31,2,2015,,,-14567,833,,-5074,,,-5074,0.04,0.04,,,-5074.0,20559.0,20620,2015年第2季,4378,-696,4378,-696,,40623,-15686,1765019,1839543,74524,74524,33901,,5410,,0.04,0.04,7871,4378,24937,,,,,,1952,,,,,,
2015-11-06,3,2015,,,62405,1351,,14013,,,14013,1.14,1.14,,,14013.0,0.0,16410,2015年第3季,124050,138063,124050,138063,,62138,61912,1764343,1868800,104457,104457,42319,,6750,,1.13,1.13,19159,124050,124050,,,,,,1844,,,,,,
2016-03-23,4,2015,,,43065,4814,,-6844,,,-6844,1.67,1.67,,,-6844.0,20678.0,64891,2015年度,182712,175868,182712,175868,,162788,40602,7074141,7384601,310460,310460,147672,,28598,,1.67,1.67,54183,182712,203390,,,,,,7277,,,,,,
2016-04-29,1,2016,,,-12735,1730,,-1393,,,-1393,0.13,0.13,,,-1393.0,68.0,14767,2016年01月01日至2016年03月31日,13795,12402,13795,12402,,26938,-13075,1448652,1508723,60071,60071,33133,,7302,,0.13,0.13,11064,13795,13863,,,,,,2070,,,,,,
2016-08-08,2,2016,,,4627,9643,,-11128,,,-11128,0.13,0.13,,,-11128.0,20731.0,14869,2016年第2季,15052,3924,15052,3924,,24306,11477,1742223,1800387,58164,58164,33858,,7818,,0.13,0.13,11171,15052,35783,,,,,,2793,,,,,,
2016-11-07,3,2016,,,-30129,1047,,-12766,,,-12766,0.1,0.1,,,-12766.0,-7453.0,12593,2016年第3季,10300,-2466,10300,-2466,,33378,-30531,1601220,1661634,60414,60414,27036,,4555,,0.1,0.1,9888,10300,2847,,,,,,1449,,,,,,
