date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-44578,34319,7195350,54864,-20104,517217,970187,1542063,1421572,0.52,0.52,0.0,7140486.0,,1129001,,170106.0,181377,,,762759,2013年01月01日至2013年03月31日,0.0,6413694,7955757,6592705,8118851,293993,7248702,23289909,27781416,4491507,4491507,4177410,2395911,,,0.49,0.49,1018740,6413694,7542695,,5037.0,,162344,22772692,6582,26817811,26811229,-179011,-163094
2013-08-07,2,2013,,-616743,531137,149567,136524,-11128,619901,942588,350177,368503,0.15,0.15,0.0,13043.0,,42001,,589048.0,129633,,,800224,2013年04月01日至2013年06月30日,0.0,1738173,2088350,1812000,2160161,1149469,630705,25727394,31904704,6177310,6177310,5016713,3250245,,,0.14,0.14,966244,1738173,1780174,,-9369.0,,179632,25107493,153183,31115299,30962116,-73827,-71811
2013-10-30,3,2013,,-946278,722734,798554,798554,-47683,685820,924639,-2248259,-840042,0.28,0.28,0.0,0.0,,590857,,-486756.0,215504,,,777733,2013年07月01日至2013年09月30日,0.0,3365561,1117302,3476095,1254551,2394778,1561640,26069872,33406772,7336900,7336900,4894439,3262164,,,0.26,0.26,854542,3365561,3956418,,-24817.0,,175152,25384052,260758,32742891,32482133,-110534,-137249
2014-03-12,4,2013,,-856326,2014641,8244838,1091309,-125332,2573685,3910651,154137,-154613,1.01,1.01,0.0,7153529.0,,2256834,,481381.0,748601,,,3247000,2013年01月01日至2013年12月31日,0.0,12104960,12259097,12630203,12773120,4032120,10329674,100248661,123811636,23562975,23562975,19405523,12493051,,456478.0,0.95,0.95,3665472,12104960,14361794,,-227217.0,,678406,97674976,602089,120503074,119900985,-525243,-514023
2014-04-30,1,2014,,2409477,415867,125606,125606,55457,737310,946866,4130280,1444082,0.09,0.09,,0.0,,180776,,350684.0,-35381,,,833578,2014年01月01日至2014年03月31日,,1110807,5241087,1179698,5260712,940639,350944,25792207,31693585,5901378,5901378,5016196,3334852,,,0.09,0.09,847766,1110807,1291583,,73963.0,,155148,25054897,81557,30828276,30746719,-68891,-19625
2014-07-30,2,2014,,1144416,878434,229596,229596,-10404,654172,828045,102945,-1465584,0.28,0.28,289.0,0.0,,528337,,352467.0,131629,,,1097156,2014年第2季,,3325726,3428671,3482421,3636320,2916757,937306,27662541,35869351,8206810,8207099,5279938,3325778,,,0.28,0.28,857004,3325726,3854063,,-71646.0,,302353,27008369,78987,35120293,35041306,-156695,-207649
2014-10-29,3,2014,,-2420861,790004,735998,735998,-602481,825634,947204,-1501604,1317273,0.23,0.23,0.0,0.0,,412987,,-366810.0,-54459,,,956769,2014年第3季,,2579339,1077735,2915944,1371953,1686497,1305829,27655334,35213850,7558516,7558516,5269538,3468347,,,0.23,0.23,844422,2579339,2992326,,31206.0,,165714,26829700,33879,34300525,34266646,-336605,-294218
2015-03-18,4,2014,,1652163,2935059,1202449,1202449,-538965,2839675,5485808,6738120,4289391,0.97,0.97,289.0,0.0,,2033707,,799779.0,45521,,,4011478,2014年度,,11479589,18217709,12141341,18736470,10076332,3436964,108159687,140012076,31852389,31852678,21237381,13663874,,-2607.0,0.96,0.96,3562029,11479589,13513296,,606.0,,746065,105320012,886782,135413050,134526268,-661752,-518761
2015-04-29,1,2015,,617059,254271,74095,74095,-142614,842132,943227,-107098,-890828,0.32,0.32,,,-107098.0,441638,,,41806,178692.0,,1044487,2015年01月01日至2015年03月31日,,3912472,3805374,3979910,3909778,4098672,255438,28494535,37649644,9155109,9155109,4913823,2916323,,,0.31,0.31,953013,3912472,4354110,,,12021.0,114734,27652403,493739,37200156,36706417,-67438,-104404
2015-07-29,2,2015,,-3279163,1268079,202232,202232,16694,692709,1284161,-5005925,-1150768,0.37,0.37,0.0,,-5005925.0,635356,,,-8537,-596273.0,,929869,2015年第2季,,4545040,-460885,4600375,-368719,3876431,1303965,29288072,38011554,8723482,8723482,4863745,3015364,,,0.35,0.35,918512,4545040,5180396,,,-20279.0,157809,28595363,588793,37316186,36727393,-55335,-92166
