date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,3409906,2335500,882143,4208979,882193.0,15234,1.01,1.01,,1859872,,738769.0,738769.0,247111.0,247111,,1437942,2013年01月01日至2013年03月31日,9587289,13796268,9587583,13796551,8864600,2582561,236441078,247817407,11376329,11376329,2511729,54301.0,,41464,,1.01,1.01,1032323,9587289,11447161,,9231.0,,882193,247817407.0,-294,-283
2013-08-08,2,2013,,0.0,9432727,1666995,1227823,9259208,,4817,0.06,0.06,,-552591,,-209289.0,,,435252,,1300166,2013年04月01日至2013年06月30日,585390,9844598,584994,9844191,-2434751,2467550,200600481,200481652,-118829,-118829,2315922,37293.0,,35697,,0.06,0.06,980059,585390,32799,,6340.0,,862520,,396,407
2013-11-11,3,2013,,,-3911376,-729811,1030273,-4216001,,-8809,1.04,1.04,,1767807,,-280717.0,,,721104,,1396112,2013年07月01日至2013年09月30日,9955121,5739120,9954843,5738831,11552643,170285,221917404,235787805,13870401,13870401,2317758,-18192.0,,34841,,,,886805,9955121,11722928,,-3093.0,,851281,,278,289
2014-03-20,4,2013,,,9193855,4851896,3900657,9617350,,16191,2.82,2.82,,4156573,,348739.0,,,2134760,,5568457,2013年01月01日至2013年12月31日,26859301,36476651,26858263,36475571,23453232,7562642,898078442,931333890,33255448,33255448,9802216,70560.0,,156453,,,,4077306,26859301,31015874,,11995.0,,3324671,,1038,1080
2014-05-09,1,2014,,,-1742547,2103868,720585,-1414672,,9456,0.92,0.92,,1659650,,309415.0,,,431656,,1438253,2014年01月01日至2014年03月31日,8782508,7367836,8781959,7367278,7887158,2555000,252939504,263363117,10423613,10423613,2536455,10848.0,,40298,,,,1057904,8782508,10442158,,1844.0,,701109,,549,558
2014-08-05,2,2014,,,15488732,-697158,920577,15373235,,-10066,0.68,0.68,,-803753,,-94140.0,,,194019,,1373507,2014年第2季,6476833,21850068,6476450,21849676,6003791,-330711,211150832,219563722,8412890,8412890,2409099,-13603.0,,36520,,,,999072,6476833,5673080,,-2312.0,,748149,,383,392
2014-11-06,3,2014,,,-8280631,1722379,1657983,-8097989,,8856,0.72,0.72,,1074809,,184721.0,,,665501,,1438196,2014年第3季,6810902,-1287087,6810522,-1287467,4578985,3306726,229150403,236129988,6979585,6979585,2400600,-13175.0,,44549,,,,917855,6810902,7885711,,-2240.0,,739137,,380,380
2015-03-19,4,2014,,,12544200,6329914,4095666,13921463,,21602,0.95,0.95,,29962,,1373611.0,,,1771164,,5596779,2014年度,9069577,22991040,9065576,22987003,-174521,9274060,903507025,913085277,9578252,9578252,9752773,-21627.0,,174911,,,,3981083,9069577,9099539,,-3677.0,,2922684,,4001,4037
2015-05-05,1,2015,,,734488,-339343,687779,769718,,-3809,0.12,0.12,769718.0,178406,,,,,366510,-101664.0,1443103,2015年01月01日至2015年03月31日,1122927,1892645,1121947,1891655,1243532,57801,151440243,155034556,3594313,3594313,2350781,,169523.0,34787,,,,872891,1122927,1301333,,,28820.0,657145,,980,990
2015-08-06,2,2015,,,-9773981,59286,847666,-10260199,,-3986,2.59,2.59,-10260199.0,4322299,,,,,433490,-479773.0,1533612,2015年第2季,24691850,14431651,24690615,14430407,28255999,758150,153271914,183975641,30703727,30703727,2447728,,-2963.0,40098,,,,874018,24691850,29014149,,,-504.0,582292,,1235,1244
