date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,2359,20172,,34077,34077,0.03,0.03,,23097,,14356,,86574,2013年01月01日至2013年03月31日,15887,49964,12321,34615,9623,29361,1551502,1711371,159869,159869,150246,,,,,63672,15887,38984,,,,7526,1551502.0,1711371.0,3566,15349
2013-08-13,2,2013,,-6260,19683,,-3060,-8386,0.08,0.08,,9096,5236.0,14399,,96656,2013年04月01日至2013年06月30日,38190,35130,33661,33221,28639,18647,1513530,1705721,192191,192191,163552,,,0.08,0.08,66896,38190,47286,,-90.0,,9175,1513530.0,1705721.0,4529,1909
2013-11-13,3,2013,,-1296,30790,,-31518,-33215,-0.08,,,13498,-3673.0,20421,,88014,2013年07月01日至2013年09月30日,-29106,-60624,-32230,-58450,-56629,41021,1500144,1599321,99177,99177,155806,,,-0.08,,67792,-29106,-15608,,-5370.0,,8894,1500144.0,1599321.0,3124,-2174
2014-03-20,4,2013,,2504,88564,0.0,42720,31252,0.04,0.04,,-27733,,68033,,342789,2013年01月01日至2013年12月31日,34240,76960,17356,50726,-118585,125092,6068995,6579073,510078,510078,628663,,18225.0,0.04,0.04,285874,34240,6507,,6757.0,,34009,6068995.0,6579073.0,16884,26234
2014-05-14,1,2014,,3373,16525,,47532,55704,-0.05,-0.05,,3071,,18276,,86178,2014年01月01日至2014年03月31日,-14928,32604,-19335,20564,-41131,29274,1393102,1510999,117897,117897,159028,,,,,72850,-14928,-11857,,8172.0,,8900,1393102.0,1510999.0,4407,12040
2014-08-11,2,2014,,-8943,26773,,-59887,-67483,-0.03,-0.03,,-8373,-2562.0,21950,,93753,2014年第2季,-5566,-65453,-10067,-59660,-45428,31489,1480208,1599893,119685,119685,165113,,,,,71360,-5566,-13939,,-10158.0,,8291,1480208.0,1599893.0,4501,-5793
2014-11-12,3,2014,,-10850,31083,,47372,48518,0.18,0.18,,29787,6955.0,20735,,88619,2014年第3季,75140,122512,70770,110321,72240,32687,1654403,1872202,217799,217799,145559,,,,,56940,75140,104927,,8101.0,,8281,1654403.0,1872202.0,4370,12191
2015-03-17,4,2014,,-329872,76842,,108597,112815,0.05,0.05,,75364,11777.0,80622,,374074,2014年度,38203,146800,19974,113707,318160,-204593,5823628,6764178,940550,940550,622390,,2961.0,,,248316,38203,113567,,18956.0,,32185,,,18229,33093
2015-05-12,1,2015,,-51142,14283,,-30346,-30357,0.1,0.1,-30346.0,8193,,16702,-4471.0,83281,2015年01月01日至2015年03月31日,45302,14956,40300,13935,80893,-27398,1244692,1473765,229073,229073,148180,,,,,64899,45302,53495,,,-4482.0,7241,,,5002,1021
2015-08-11,2,2015,,-61870,13998,,-62643,-66609,0.18,,-62643.0,-4901,,18743,-7835.0,102801,2015年第2季,76670,14027,73581,20447,107032,-35263,1471935,1733772,261837,261837,154805,,,,,52004,76670,71769,,,-11801.0,6134,1471935.0,1733772.0,3089,-6420
2015-11-10,3,2015,,81601,31483,,95093,102389,0.18,,95093.0,72052,,16156,10138.0,84402,2015年第3季,75639,170732,71977,157097,25388,122303,1335690,1496993,161303,161303,135915,,,,,51513,75639,147691,,,17434.0,6937,1335690.0,1496993.0,3662,13635
2016-03-17,4,2015,-53768.0,-126283,89152,,-53056,3610,0.45,0.45,712.0,86887,,71657,-2024.0,342056,2015年度,198720,145664,182907,133310,278260,7347,5419956,6260721,840765,840765,562505,-64779.0,,,,220449,198720,285607,-11011.0,,874.0,27179,5419956.0,6260721.0,15813,12354
2016-05-10,1,2016,,4807,16681,,-114251,-119090,0.11,0.11,-114251.0,12544,,9939,-14142.0,55309,2016年01月01日至2016年03月31日,47746,-66505,42991,-49681,34916,25374,874924,1010175,135251,135251,100335,,,,,45026,47746,60290,,,-18981.0,6053,,,4755,-16824
2016-08-09,2,2016,,-32122,24683,,18130,26332,0.02,,18130.0,29688,,9248,-4986.0,63055,2016年第2季,11355,29485,6973,22678,44205,-3162,956745,1113999,157254,157254,113049,,,0.02,,49994,11355,41043,,,3216.0,4971,956745.0,1113999.0,4382,6807
2016-11-14,3,2016,,17339,30443,,-79157,-75937,0.14,,-79157.0,11408,,3727,-16880.0,57583,2016年第3季,60952,-18205,56964,-9733,24197,48163,904934,1028281,123347,123347,99150,,,0.14,,41567,60952,72360,,,-13660.0,3346,904934.0,1028281.0,3988,-8472
