date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,12607,7749,122989,,144806,0.15,,22506,,,123842,2013年01月01日至2013年03月31日,74300,197289,50990,120139,99366,-2560,1538160,1851112,312952,312952,213586,9378,,,,80366,74300,96806,,21817.0,,22916,1538160,1801,1854928,1851112,2015,23310,77150
2013-08-12,2,2013,,,17848,15804,-51670,,-72194,0.2,,32434,,,133641,2013年04月01日至2013年06月30日,118750,67080,72795,62274,141134,10050,1562724,1927498,364774,364774,223640,10379,,,,79620,118750,151184,,-20524.0,,23602,1562724,2391,1930938,1927498,1049,45955,4806
2013-11-12,3,2013,,-5409.0,-13438,25492,-64381,,-62267,0.28,,21852,,,136945,2013年07月01日至2013年09月30日,155315,90934,108532,68013,190238,-13071,1430326,1861171,430845,430845,240607,8671,,,,94991,155315,177167,,-3295.0,,25125,1430326,1940,1864138,1861171,1027,46783,22921
2014-03-28,4,2013,,14.0,87151,41882,-30457,,-24654,1.1,,140352,,,602270,2013年01月01日至2013年12月31日,482627,452170,325957,336082,584255,38724,5894935,7474971,1580036,1580036,995781,39245,,1211.0,1.1,354266,482627,622979,,7028.0,,90309,5894935,8318,7488255,7474971,4966,156670,116088
2014-05-13,1,2014,,-54.0,5125,7913,71440,,83498,0.19,,30359,,,133455,2014年01月01日至2014年03月31日,103693,175133,64801,107489,136436,-2384,1279429,1658152,378723,378723,242287,9171,,,,99661,103693,134052,,12004.0,,15422,1279429,2158,1661685,1658152,1375,38892,67644
2014-08-12,2,2014,,-2971.0,-22093,13316,-60160,,-59722,0.18,,51344,,,143496,2014年第2季,86906,26746,60129,16092,158155,-19905,1312684,1698992,386308,386308,228153,9263,,,,75394,86906,138250,,-2533.0,,11128,1312684,2045,1701262,1698992,225,26777,10654
2014-11-13,3,2014,,3018.0,-6649,13265,66371,,66524,0.32,,29691,,,143158,2014年第3季,138045,204416,108994,155529,173417,-5681,1326675,1741393,414718,414718,241301,10539,,,,87604,138045,167736,,3171.0,,12297,1326675,1937,1746353,1741393,3023,29051,48887
2015-03-27,4,2014,,-198.0,598855,40461,190017,,217380,2.36,,195293,-1804.0,,592463,2014年度,920059,1110076,791264,926551,529621,585731,5320295,6861033,1540738,1540738,1011117,41916,,484.0,2.35,376738,920059,1115352,,27649.0,,51781,5320295,8324,6874203,6861033,4846,128795,183525
2015-05-12,1,2015,-2848.0,509.0,-55105,12137,-22701,,-24394,0.15,-19853.0,39945,-5192.0,,142538,2015年01月01日至2015年03月31日,89789,67088,49810,27444,188932,-59198,1331761,1757722,425961,425961,237029,10172,-2848.0,,0.15,84319,89789,129734,0.0,,-4032.0,11038,1331761,2501,1760368,1757722,145,39979,39644
2015-08-12,2,2015,0.0,6505.0,10275,15180,-107627,,-125693,0.12,-107627.0,88359,-10818.0,-1940.0,144019,2015年第2季,84687,-22940,40429,-23816,169250,3796,1270589,1678566,407977,407977,238727,11001,0.0,,0.12,83707,84687,173046,0.0,,-13501.0,10841,1270589,2684,1681597,1678566,347,44258,876
2015-11-12,3,2015,0.0,-179.0,-54792,-5286,72743,,91497,0.02,72743.0,68599,-3378.0,-738.0,139291,2015年第3季,58941,131684,6885,92705,202860,-75320,1155730,1594815,439085,439085,236225,11153,0.0,,0.02,85781,58941,127540,0.0,,17837.0,11864,1155730,2501,1597566,1594815,250,52056,38979
2016-03-25,4,2015,-2645.0,4202.0,-141029,29915,-86650,,-90394,0.32,-84005.0,223138,-23020.0,-3977.0,542001,2015年度,284942,198292,104716,70791,680561,-172481,4845993,6461629,1615636,1615636,935075,43572,-2645.0,,0.32,349502,284942,508080,0.0,,-6164.0,38347,4845993,9863,6472687,6461629,1195,180226,127501
2016-05-12,1,2016,0.0,-1569.0,-12928,3972,-26616,,-30387,0.19,-26616.0,50081,-2179.0,619.0,125357,2016年01月01日至2016年03月31日,119543,92927,60922,31546,190264,-20640,1147595,1570439,422844,422844,232580,11399,0.0,,0.19,95824,119543,169624,0.0,,-4721.0,9505,1147595,1876,1572589,1570439,274,58621,61381
2016-08-11,2,2016,0.0,-628.0,-21367,7714,571,0.0,436,0.09,571.0,19183,1583.0,-661.0,140206,2016年第2季,28460,29031,30188,22593,84397,-36754,1084234,1551523,467289,467289,382892,11053,0.0,,0.09,231633,28460,47643,0.0,,-1424.0,24684,1084234,2069,1553600,1551523,8,-1728,6438
2016-11-14,3,2016,0.0,-3625.0,-24319,10379,-88112,,-98042,0.12,-88112.0,28020,-447.0,-235.0,136557,2016年第3季,89212,1100,39456,-29863,142110,-24878,1114244,1491911,377667,377667,235557,11239,0.0,,0.12,87761,89212,117232,0.0,,-13790.0,10491,1114244,2369,1494350,1491911,70,49756,30963
