date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,14705.0,28089,34926,177568,164972,1.7,,131793,,95331,2013年01月01日至2013年03月31日,710718,888286,,759619,874689,793709,48802,3957490,5323813,1366323,1366323,572614,289898,,,1.7,187385,710718,842511,2109.0,,14213,,-48901,13597
2013-07-29,2,2013,,,34165,58749,108715,120319,1.87,,128891,,151755,2013年04月01日至2013年06月30日,809003,917718,1443.0,832287,897431,860594,77300,4317414,5861345,1543931,1543931,683337,317417,,,1.86,214165,809003,937894,13047.0,,15614,,-23284,20287
2013-10-28,3,2013,,-10972.0,8603,14736,-59638,-54586,1.9,,146025,,173979,2013年07月01日至2013年09月30日,823640,764002,,848117,808244,958147,11518,4424632,6149465,1724833,1724833,766686,352452,,,1.89,240255,823640,969665,-5920.0,,11821,6149465.0,-24477,-44242
2014-01-27,4,2013,,-535.0,104619,178917,317234,323579,7.23,,547094,,580280,2013年01月01日至2013年12月31日,3116254,3433488,,3224093,3420791,3435401,227947,16898393,23102827,6204434,6204434,2769033,1297062,,13395.0,7.12,891691,3116254,3663348,19205.0,,55589,23102827.0,-107839,12697
2014-05-05,1,2014,,10446.0,-7346,38842,77795,75460,1.78,,123347,,59951,2014年01月01日至2014年03月31日,770442,848237,,792547,842592,877273,16516,4314388,5796799,1482411,1482411,605138,311399,,,1.76,233788,770442,893789,8111.0,,14980,,-22105,5645
2014-07-28,2,2014,,,35840,36389,-112051,-114597,2.76,,203259,,168509,2014年第2季,1244812,1132761,-9712.0,1231780,1162221,1391066,57005,4614823,6784197,2169374,2169374,778308,343823,,,2.72,265976,1244812,1448071,-12258.0,,15224,,13032,-29460
2014-10-27,3,2014,,-552.0,7339,41767,90612,102063,2.23,,271074,,181084,2014年第3季,918960,1009572,,993616,1046277,1154301,35733,4786963,6733588,1946625,1946625,792324,352188,,,2.21,259052,918960,1190034,10899.0,,13373,6733588.0,-74656,-36705
2015-02-09,4,2014,,9583.0,64434,133961,301864,309597,8.11,,660839,,593616,2014年度,3490233,3792097,,3617327,3803861,4009159,141913,17996954,24943834,6946880,6946880,2937721,1370969,,15710.0,7.98,973136,3490233,4151072,33026.0,,56482,24943834.0,-127094,-11764
2015-04-27,1,2015,,-24694.0,32585,56162,-96945,-80859,1.38,-96945.0,92255,,100891,2015年01月01日至2015年03月31日,578693,481748,,617189,550470,594430,76518,4038490,5346221,1307731,1307731,713301,356459,,,1.36,255951,578693,670948,,-8608.0,12229,,-38496,-68722
2015-07-27,2,2015,,0.0,-104743,168338,-45883,-51361,1.35,-45883.0,101505,,82533,2015年第2季,553241,507358,,600768,574022,604551,50195,4185950,5432665,1246715,1246715,642164,336744,,,1.32,222887,553241,654746,,-5478.0,13400,,-47527,-66664
2015-10-26,3,2015,,0.0,-15912,47293,110515,123701,1.73,110515.0,131008,,116888,2015年第3季,741274,851789,,770508,834886,854580,17702,4438160,5987813,1549653,1549653,695073,356824,,,1.71,221361,741274,872282,,13186.0,13679,5987813.0,-29234,16903
2016-02-01,4,2015,-8721.0,-24694.0,-110984,309476,-137614,-116596,6.51,-128893.0,475722,,437849,2015年度,2729526,2591912,,2903952,2810012,3063724,141524,17099709,23061311,5961602,5961602,2897878,1484620,-8721.0,,6.38,975409,2729526,3205248,,-12397.0,56968,23061311.0,-174426,-218100
2016-04-25,1,2016,,0.0,-9984,53936,-60994,-68418,1.16,-60994.0,115881,,132271,2016年01月01日至2016年03月31日,448717,387723,,515126,478881,538576,26022,4093705,5370156,1276451,1276451,737875,349940,,,1.14,255664,448717,564598,,-7424.0,17930,,-66409,-91158
2016-07-25,2,2016,,0.0,-60693,39049,-91329,-102409,1.35,-91329.0,127354,,118873,2016年第2季,569526,478197,,603321,549222,736459,-39579,4231965,5776263,1544298,1544298,807839,380081,,,1.35,308885,569526,696880,,-11080.0,17935,,-33795,-71025
2016-10-24,3,2016,,0.0,-10812,33757,-135969,-157299,1.41,-135969.0,124144,10.0,150926,2016年第3季,619416,483447,,629489,550088,737590,5970,4771249,6331055,1559806,1559806,822216,361322,,,1.4,309968,619416,743560,,-21330.0,16985,6331055.0,-10073,-66641
