date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,處分無形資產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,5560,0.0,-7451,438347,6615,264831,5877,19216,264831,0.56,,290.0,405603.0,,19082,0.0,,,-357,70571,2013年01月01日至2013年03月31日,123979,388810,157365,401424,-268262,411323,3354266,3598072,243806,243806,512068,176646,,,20252.0,0.56,264851,123979,143061,,,19216,-1601.0,,3726545.0,3598072.0,128473.0,-33386,-12614
2013-08-02,2,2013,,1062,0.0,31076,70916,63947,150611,4969,20800,150611,0.04,24074.0,,0.0,,33482,,,,2648,81489,2013年04月01日至2013年06月30日,3047,153658,10438,123632,-47311,83840,3708684,4204827,496143,496143,543454,246529,,,2000.0,0.04,215436,3047,36529,,,20800,8064.0,0.0,4343945.0,4204827.0,139118.0,-7391,30026
2013-11-12,3,2013,,19147,0.0,-35426,18974,14322,-115567,4652,18593,-115567,0.21,0.0,16973.0,0.0,,29829,,,,27354,63621,2013年07月01日至2013年09月30日,89680,-25887,60033,-55499,127200,-7691,4375277,5065899,690622,690622,563422,222282,,,,0.21,277519,89680,119509,,,18593,694.0,0.0,5151927.0,5065899.0,86028.0,29647,29612
2014-03-21,4,2013,,1031012,148241.0,-1025523,551249,106742,630763,22879,75168,488345,-3.05,,811.0,408458.0,,111227,,,,5194,296740,2013年01月01日至2013年12月31日,-825242,-194479,-857271,-396238,-169767,-544248,15780280,17954790,2174510,2174510,2344277,886687,,-5823.0,13170.0,-3.05,1160850,-825242,-714015,,,75168,6300.0,,18670486.0,17954790.0,715696.0,32029,201759
2014-05-08,1,2014,,1625,,41627,32957,7528,264663,17967,21367,264663,-0.59,44010.0,0.0,0.0,,29757,,8280.0,0.0,8280,67883,2014年01月01日至2014年03月31日,-110700,153963,-166838,23427,-142440,61497,3683909,4147379,463470,463470,605910,203566,,,7462.0,-0.59,334461,-110700,-80943,,,21367,,758.0,4195992.0,4147379.0,48613.0,56138,130536
2014-08-08,2,2014,,6669,430.0,-17796,122891,96724,-298366,19026,20725,-298796,0.04,7157.0,,0.0,,23993,,4238.0,,4238,47958,2014年第2季,33007,-265359,10177,-199676,-31608,88608,3893156,4395172,502016,502016,533624,158451,,,7141.0,0.04,327215,33007,57000,,,20725,0.0,18284.0,4463613.0,4395172.0,68441.0,22830,-65683
2014-11-07,3,2014,,666,-743.0,-9809,31924,6900,254343,14979,15595,255086,0.0,0.0,661.0,0.0,,32311,,0.0,39401.0,-39401,98691,2014年第3季,29174,283517,641,175667,94366,-32881,4105575,4818165,712590,712590,618224,192015,,,10045.0,0.0,327518,29174,61485,,,15595,0.0,8482.0,4892407.0,4818165.0,74242.0,28533,107850
2015-03-25,4,2014,,114081,-1434.0,-123846,284808,196748,497837,64771,70095,512953,-1.19,17920.0,0.0,0.0,,105447,,0.0,57775.0,-57775,282980,2014年度,-214832,283005,-333913,190116,-142477,33092,15464565,17708628,2244063,2244063,2386540,749953,,-13682.0,23289.0,-1.19,1353607,-214832,-109385,,,70095,0.0,27685.0,17934697.0,17708628.0,226069.0,119081,92889
2015-05-07,1,2015,,675,-77.0,15961,49801,22923,-162516,12783,13576,-162439,-0.18,16636.0,,,-162516.0,21275,,0.0,5246.0,-5246,45624,2015年01月01日至2015年03月31日,-44154,-206670,-50658,-166364,-69819,46940,3560499,3999496,438997,438997,508816,150842,,,14095.0,-0.18,312350,-44154,-22879,,,13576,,0.0,4025542.0,3999496.0,26046.0,6504,-40306
2015-08-11,2,2015,,1487,-1455.0,-11050,50203,21848,-186422,10211,14171,-184967,0.21,0.0,9246.0,,-186422.0,27898,,0.0,17094.0,-17094,62516,2015年第2季,118398,-68024,58611,-61109,138408,7888,4024705,4684131,659426,659426,521018,149798,,,18144.0,0.21,308704,118398,146296,,,14171,,317.0,4684131.0,4684131.0,,59787,-6915
2015-11-09,3,2015,,18221,2957.0,40494,38510,12177,720520,7968,9436,717563,0.64,58792.0,0.0,,720520.0,55905,,,15149.0,-15149,52378,2015年第3季,268133,988653,180603,690608,269619,54419,4200081,5131486,931405,931405,661786,152940,,,18365.0,0.64,456468,268133,324038,,,9436,,77.0,5131486.0,5131486.0,,87530,298045
2016-03-25,4,2015,-29882.0,135492,1425.0,-41530,214590,96596,175988,39927,45751,204445,0.37,98849.0,,,205870.0,135890,,,91004.0,-91004,217861,2015年度,262577,438565,104467,249225,362162,36305,15648121,18260647,2612526,2612526,2250364,639951,-29882.0,,78067.0,0.37,1392552,262577,398467,4490.0,0.0,45751,,397.0,18260647.0,18260647.0,,158110,189340
