date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,122,16642,4796,7479,4102,,33163,2826,2929.0,16521,0.16,,4611,,,11538,,,19633,2013年01月01日至2013年03月31日,60351,93514,,60886,94049,,62543,9346,1244915,1431353,186438,186438,123895,37510,,,551.0,0.16,,66752,60351,71889,,,,167.0,,,2929,140.0,,,-535,-535
2013-08-08,2,2013,,20,-13026,5678,11273,7685,,-2030,2896,2091.0,10996,0.38,0.38,5190,,,16222,,,20356,2013年04月01日至2013年06月30日,139164,137134,,141889,139859,,140526,14860,1331054,1603383,272329,272329,131803,41167,,,692.0,0.38,0.38,70280,139164,155386,,,,568.0,,,2091,-60.0,,,-2725,-2725
2013-11-07,3,2013,,41,-4399,-1689,23937,8216,,-9953,1775,,-5554,0.2,,-295,,,20638,,,19945,2013年07月01日至2013年09月30日,73514,63561,,75618,65665,,73765,20387,1290074,1491163,201089,201089,127324,37762,,,548.0,0.2,,69617,73514,94152,13398.0,,,,1191.0,,1861,,162.0,,-2104,-2104
2014-03-20,4,2013,,207,-3771,10781,49960,24607,-6125.0,56213,9567,8468.0,30177,0.97,0.97,11480,,,74025,,,80144,2013年01月01日至2013年12月31日,351315,407528,,361394,417614,,373067,52273,5150628,6047661,897033,897033,523966,158390,,35932.0,2388.0,0.96,0.96,285432,351315,425340,13398.0,,,,456.0,,8468,,36.0,,-10079,-10086
2014-05-09,1,2014,,14,23350,1616,10991,9998,,30966,993,2135.0,7616,0.1,0.1,1570,,,20385,,,20062,2014年01月01日至2014年03月31日,33449,64415,,37990,68956,,43362,10472,1216766,1394727,177961,177961,134599,38844,,,,0.1,0.1,75693,33449,53834,,,,0.0,,,2135,60.0,,,-4541,-4541
2014-08-08,2,2014,,430,8903,735,11913,9518,,-2525,2395,1907.0,-11428,0.17,0.17,755,,,32058,,,20737,2014年第2季,64482,61957,,63717,61192,,85799,10741,1326965,1546391,219426,219426,133627,39835,,,,0.17,0.17,73055,64482,96540,,,,410.0,,,1907,0.0,,,765,765
2014-11-11,3,2014,,174,26288,-10520,16176,4651,,36924,1556,2815.0,10636,0.19,0.19,4312,,,-18797,,,20720,2014年第3季,73942,110866,,71154,108078,,52304,2841,1337986,1533855,195869,195869,143565,38217,,,,0.19,0.19,84628,73942,55145,9969.0,,,,14658.0,,2815,0.0,,,2788,2788
2015-03-18,4,2014,,1418,78315,-4983,47357,26750,-6268.0,139298,6850,11819.0,30371,0.5,0.5,10321,,,61125,,,83850,2014年度,186793,326091,,186944,325815,,217363,30555,5195801,5935929,740128,740128,522765,151913,,36880.0,3066.0,0.5,0.5,287002,186793,247918,10691.0,,,,13944.0,58.0,11819,,0.0,,-151,276
2015-05-08,1,2015,0.0,1043,22540,2111,9928,7612,,15095,2316,5519.0,-7445,-0.02,,2704,,15095.0,10543,0.0,0.0,21235,2015年01月01日至2015年03月31日,-9448,5647,0.0,-7901,7194,,-5425,6520,1284235,1402483,118248,118248,123673,38133,0.0,,,-0.02,,64305,-9448,1095,,,0.0,450.0,,,5519,0.0,,0.0,-1547,-1547
2015-08-07,2,2015,,1933,-80441,-532,14861,12006,,-85457,2855,5812.0,-5016,-0.11,-0.11,202,,-85457.0,6374,,,21374,2015年第2季,-41662,-127119,,-39783,-125240,,-43805,8517,1288077,1379294,91217,91217,135022,38262,,,,-0.11,-0.11,75386,-41662,-35288,,,,1199.0,,,5812,0.0,,,-1879,-1879
