date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,94055,124954,35102,346687,35102.0,254319,0.03,,,1267,,,,13584,,58839,2013年01月01日至2013年03月31日,-7654,339033,,51723,387297,-135283,128896,6398159,6752474,354315,354315,489598,-1687.0,,1230,,,0.03,,429529,-7654,-6387,,,,44744,,35102.0,6398159.0,6398159.0,6752474.0,6752474.0,6752474.0,-59377,-48264
2013-08-12,2,2013,,,,-159017,181551,40883,-20843,,143280,0.05,,,16861,,,,9088,,69999,2013年04月01日至2013年06月30日,57692,36849,,76183,51898,-47481,122034,6979010,7428319,449309,449309,496790,-5106.0,,1073,,,0.05,,425718,57692,74553,,,,109488,,,6979010.0,6979010.0,7428319.0,7428319.0,7428319.0,-18491,-15049
2013-11-07,3,2013,,,,134420,-21128,151090,39243,,-98040,0.13,,,5518,,,,-17274,,86850,2013年07月01日至2013年09月30日,278435,317678,,200575,237740,183337,100616,7463237,8202469,739232,739232,555895,2863.0,,939,,,0.13,,468106,278435,283953,,,,12072,,,7463237.0,7463237.0,8202469.0,8202469.0,8202469.0,77860,79938
2014-03-25,4,2013,,,,142474,335613,938786,599861,,460067,0.62,,,131637,,,1565.0,53339,,281772,2013年01月01日至2013年12月31日,1114183,1714044,,930700,591507,215437,1030383,29217003,31632387,2415384,2415384,2199947,-3713.0,,6477,,2377.0,0.62,,1911698,1114183,1245820,,2909.0,,297355,,,29217003.0,29217003.0,31632387.0,31632387.0,31632387.0,183483,1122537
2014-05-13,1,2014,,,,-34342,-37544,34568,-64471,,-28656,0.07,,,25881,,,275.0,11811,,78108,2014年01月01日至2014年03月31日,148282,83811,,103411,29618,238106,-63943,6946088,7719365,773277,773277,535171,-1748.0,,988,,,0.0,,456075,148282,174163,,,,72778,,,6946088.0,6946088.0,7719365.0,7719365.0,7719365.0,44871,54193
2014-08-12,2,2014,,,,-74671,10185,58942,-245734,,-170528,0.1,,,67958,,,-237.0,16198,,90980,2014年第2季,232088,-13646,,147148,-98440,325781,-25735,7843250,8786808,943558,943558,617777,-298.0,,1025,,,0.1,,525772,232088,300046,,,,111060,,,7843250.0,7843250.0,8786808.0,8786808.0,8786808.0,84940,84794
2014-11-11,3,2014,,,,86149,-369162,536915,324484,,238135,0.14,,,53263,,,-98.0,16244,,79635,2014年第3季,306176,630660,,207213,522553,274858,84581,8091433,8964171,872738,872738,597880,298.0,,1062,,,0.14,,517183,306176,359439,,,,99416,,,8091433.0,8091433.0,8964171.0,8964171.0,8964171.0,98963,108107
2015-03-23,4,2014,,,,-38371,-21022,731004,2618,,148180,0.53,,,222102,,,-880.0,49422,,343174,2014年度,1068273,1070891,,808117,856616,889404,400971,31692652,35077508,3384856,3384856,2495452,-33355.0,,4845,,-87900.0,0.53,,2147433,1068273,1290375,,-14944.0,,358433,,,31692652.0,31692652.0,35077508.0,35077508.0,35077508.0,260156,214275
2015-05-13,1,2015,,,,130339,-658996,877709,16904,,-103162,0.07,,16904.0,-3951,,,,995,-3984.0,63123,2015年01月01日至2015年03月31日,85322,102226,,105981,122922,-47223,128594,6879681,7418506,538825,538825,586048,,-6289.0,1864,,,0.07,,521061,85322,81371,,,,91114,,,,,,,,-20659,-20696
2015-08-10,2,2015,,,,25790,273641,283491,-85093,,-141010,0.05,,-85093.0,-2259,,,,4151,-5828.0,81714,2015年第2季,-46189,-131282,,68213,-48253,-519354,470906,6905365,6927811,22446,22446,541800,,35955.0,1864,,,0.05,,458222,-46189,-48448,,,,90377,,,,,,,,-114402,-83029
