date,season,year,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫精算利益（損失）,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,23470,6498,,,,31663,,,,31663,-0.14,,,,,,,301,,,10176,2013年01月01日至2013年03月31日,,-25908,5755,,-24978,3901,,,-50417,24810,211680,208892,-2788,-2788,47629,,3589,,,33864,-25908,-25607,0.0,,,,,5158,,,,,,,,-930,1854
2013-08-14,2,2013,,,7513,3339,,,,14523,,,,14523,-0.2,,,,,,,3067,,,20171,2013年04月01日至2013年06月30日,,-34039,-19516,,-35710,-24124,,,-37813,6841,254674,276851,22177,22177,59990,,4214,,,35605,-34039,-30972,,,,,,4011,,,,,,,,1671,4608
2013-11-13,3,2013,,0.0,1229,363,,0.0,0.0,-17682,,,0.0,-17682,-0.2,,,,0.0,,,1115,0.0,0.0,9639,2013年07月01日至2013年09月30日,0.0,-32993,-50675,0.0,-35982,-52071,,,-28551,-3327,265666,283145,17479,17479,46030,0.0,3751,0.0,,32640,-32993,-31878,0.0,0.0,,,,4919,,,0.0,0.0,,,0.0,2989,1396
2014-03-27,4,2013,1860.0,,4676,47522,21627.0,,,38928,972.0,17997.0,,38498,-0.81,-0.81,8698.0,0.0,,24923.0,,4712,0.0,0.0,63799,2013年01月01日至2013年12月31日,,-135365,-96437,,-142096,-108964,1462.0,,-164854,34201,1007673,1059719,52046,52046,216900,,13350,430.0,,139751,-135365,-130653,,,,700.0,0.0,17997,,,,,1007673.0,1059719.0,,6731,12527
2014-05-07,1,2014,60.0,,2565,2622,2390.0,,,14152,232.0,4523.0,,14152,-0.25,-0.25,2587.0,0.0,,0.0,,-342,,,14761,2014年01月01日至2014年03月31日,,-45396,-31244,,-44741,-32372,,,-46402,664,250006,251866,1860,1860,48262,,3183,,,30318,-45396,-45738,,,38.0,,,4523,,,,,250006.0,251866.0,,-655,1128
2014-08-11,2,2014,163.0,,-396061,398,151.0,,,-17254,247.0,5344.0,,-17254,-2.45,-2.45,0.0,574.0,,0.0,,2063,,,19868,2014年第2季,,-427847,-445101,,-430323,-444927,395324.0,,-24777,-401007,330402,358933,28531,28531,53308,,3340,,,30100,-427847,-425784,,,0.0,,,5344,,,,,330402.0,358933.0,,2476,-174
2014-11-07,3,2014,1012.0,,1087,575,351.0,,,12224,224.0,4525.0,,12224,-0.04,-0.04,1113.0,,,0.0,,2619,,,13684,2014年第3季,,-4190,8034,,-7021,2606,-968.0,,1292,-2863,369002,425558,56556,56556,55264,,3153,,,38427,-4190,-1571,,,18.0,0.0,,4525,,,,,369002.0,425558.0,,2831,5428
2015-03-27,4,2014,1299.0,,-392252,4468,3587.0,,,43759,881.0,18035.0,,43759,-5.73,-5.73,2871.0,,,0.0,,6333,,,64523,2014年度,,-491164,-447405,,-497307,-461317,397016.0,,-79012,-405819,1255871,1383276,127405,127405,206417,,12610,0.0,,129284,-491164,-484831,,,3192.0,0.0,,18035,,,,,1255871.0,1383276.0,,6143,13912
2015-05-08,1,2015,58.0,,2776,460,412.0,,,-11465,48.0,3659.0,,-11465,-0.41,-0.41,2837.0,,,,-11465.0,180,,,17808,2015年01月01日至2015年03月31日,,-37937,-49402,,-38367,-47658,,,-37334,-423,257663,276789,19126,19126,56460,,3630,,,35022,-37937,-37757,,,0.0,3.0,,3659,,,,,257663.0,276789.0,,430,-1744
2015-08-11,2,2015,1191.0,,196,3849,3371.0,,,-5328,67.0,3456.0,,-5328,-0.2,-0.2,1169.0,0.0,,,-5328.0,1695,,,12327,2015年第2季,,-17838,-23166,,-19641,-23972,0.0,,-16732,589,283988,312245,28257,28257,44989,,3178,,411.0,29484,-17838,-16143,,,218.0,,,3456,,,,,283988.0,312245.0,,1803,806
