date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,-291,15338,41004,106112,106403,0.54,,,73977,,,,234037,2013年01月01日至2013年03月31日,,229985,336097,229985,336077,250471,53491,9611980,10582598,970618,970618,720147,306939,,,0.53,,179171,229985,303962,,,2851,,9611980.0,10582598.0,10582598.0,0,20
2013-08-13,2,2013,,,172,58811,51880,89492,89320,0.59,0.59,,81839,,,,258276,2013年04月01日至2013年06月30日,,255307,344799,255307,344793,232995,104151,9277046,10314590,1037544,1037544,804549,350212,,,0.58,0.58,196061,255307,337146,,,6540,,,,,0,6
2013-11-12,3,2013,,,-315,-6622,38144,-43078,-42763,0.47,0.47,,85712,,,,281412,2013年07月01日至2013年09月30日,,202011,158933,202005,158927,259728,27995,9274181,10358900,1084719,1084719,824991,356399,,,0.46,0.46,187180,202011,287723,,,3527,,,,,6,6
2014-03-27,4,2013,,,-238,59451,176503,239067,238065,1.55,1.55,,242198,,,,1023599,2013年01月01日至2013年12月31日,,668554,907621,668548,907589,694444,216308,38567293,42319988,3752695,3752695,3058251,1338499,,1240.0,1.53,1.53,696153,668554,910752,,,19646,,,,,6,32
2014-05-13,1,2014,,,346,-25870,84214,57477,57131,0.75,,,101224,,,,323902,2014年01月01日至2014年03月31日,,345258,402735,322791,377131,497269,-50787,10178132,11602651,1424519,1424519,927250,385705,,,0.74,,217643,345258,446482,,,109131,,10178132.0,11602651.0,11602651.0,22467,25604
2014-08-13,2,2014,,,3806,50734,99199,-111415,-115221,0.95,0.95,,121836,,,,338595,2014年第2季,,426180,314765,412481,305688,487791,60225,11997821,13579558,1581737,1581737,1093946,497649,,,0.94,0.94,257702,426180,548016,,,89708,,,,,13699,9077
2014-11-12,3,2014,,,287,48398,72744,110998,110711,1.1,1.1,,130193,,,,360776,2014年第3季,,497457,608455,477546,583896,521620,106030,11996377,13622470,1626093,1626093,1104473,477796,,,1.09,1.09,265901,497457,627650,,,15112,,,,,19911,24559
2015-03-24,4,2014,,,945,150323,290465,342273,337984,3.57,3.57,,438614,,,,1423129,2014年度,,1608967,1951240,1544690,1871224,1829742,217839,46020978,52239777,6218799,6218799,4389057,1893251,,3344.0,3.52,3.52,1072677,1608967,2047581,,,222949,,,,,64277,80016
2015-05-13,1,2015,,,22891,70762,60787,-44256,-67147,0.85,,-44256.0,113663,3772.0,,3772.0,335905,2015年01月01日至2015年03月31日,,377934,333678,368223,321115,373232,118365,11525517,12957891,1432374,1432374,1059142,437783,,,0.84,,285454,377934,491597,,,16956,,11525517.0,12957891.0,12957891.0,9711,12563
2015-08-13,2,2015,,,318,66486,43661,-51419,-51737,0.91,0.91,-51419.0,94822,0.0,,0.0,369316,2015年第2季,,389926,338507,398917,354673,392349,92399,12994057,14539600,1545543,1545543,1153194,467896,,,0.9,0.9,315982,389926,484748,,0.0,17748,,,,,-8991,-16166
2015-11-13,3,2015,,,5475,153840,50818,238990,233515,1.15,1.15,238990.0,223844,0.0,0.0,0.0,419620,2015年第3季,,537392,776382,501294,705056,641837,119399,15798598,17782831,1984233,1984233,1342396,538333,,,1.14,1.14,384443,537392,761236,,,85259,,,,,36098,71326
2016-03-24,4,2015,-8540.0,,294053,282395,178824,225310,-60203,4.06,4.06,233850.0,656018,3772.0,,3772.0,1589527,2015年度,656018.0,1816935,2042245,1773122,1987738,2168182,304771,58448955,65589293,7140338,7140338,4972156,2104487,-8540.0,,4.01,4.01,1278142,1816935,2472953,0.0,0.0,160220,,,,,43813,54507
2016-05-12,1,2016,,,51608,170411,40697,-97125,-148733,0.91,,-97125.0,219139,0.0,,0.0,358886,2016年01月01日至2016年03月31日,219139.0,440074,342949,400715,311342,462543,196670,12445397,14012563,1567166,1567166,1104623,478917,,,0.91,,266820,440074,659213,,,14438,12445397.0,12445397.0,14012563.0,14012563.0,39359,31607
2016-08-11,2,2016,,50304.0,-7383,181587,34453,-202658,-195275,1.02,0.98,-202658.0,167065,,,0.0,366816,2016年第2季,,482611,279953,446908,260265,423069,176303,13339884,14900466,1560582,1560582,1137513,520654,,,1.01,0.98,250043,432307,599372,,0.0,39737,,,,,35703,19688
2016-11-10,3,2016,,50411.0,184984,-62785,51286,-114006,-298990,1.28,1.28,-114006.0,213692,,,0.0,417538,2016年第3季,,633258,519252,561764,491024,842338,-45799,16294983,18488446,2193463,2193463,1351125,586091,,,1.27,1.27,347496,582847,796539,,0.0,34300,,,,,71494,28228
