date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,-1402,8768,25330,347724,347718,0.13,0.13,,40452,,1408.0,9909,,246586,2013年01月01日至2013年03月31日,92815,440539,114952,323292,156080,-22813,11131384,11745380,613996,613996,457916,,,,0.13,0.13,211330,92815,133267,,,,66820,-22137,117247
2013-08-13,2,2013,,-2908,2319,39090,202082,203233,0.14,0.14,,33328,,1757.0,6603,,216970,2013年04月01日至2013年06月30日,101872,303954,121904,238260,176979,-41779,12273656,12863281,589625,589625,412646,,,,0.14,0.14,195676,101872,135200,,,,89791,-20032,65694
2013-11-12,3,2013,,2804,-20138,58546,-144086,-146972,0.16,0.16,,90849,,82.0,1730,,264638,2013年07月01日至2013年09月30日,175642,31556,146987,59945,314874,-48383,12173782,12947630,773848,773848,458974,,,,0.16,0.16,194336,175642,266491,,,,88521,28655,-28389
2014-03-28,4,2013,,-6832,-151530,200831,656902,644771,0.53,0.53,,255861,,7686.0,78451,,843495,2013年01月01日至2013年12月31日,342305,999207,477340,858502,819738,-221572,51902027,54570374,2668347,2668347,1848609,,,12319.0,0.53,0.53,1005114,342305,598166,,1042.0,,349324,-135035,140705
2014-05-14,1,2014,,0,-20940,37948,-5553,-2675,0.13,0.13,,60008,,-2878.0,66901,,268218,2014年01月01日至2014年03月31日,82404,76851,116639,104764,193108,-50696,13204534,13936750,732216,732216,539108,,,,0.13,0.13,270890,82404,142412,,,,134605,-34235,-27913
2014-08-13,2,2014,,0,-164479,27903,-246597,-246094,-0.06,-0.06,,34107,,-503.0,24054,,230755,2014年第2季,-96248,-342845,-54791,-191303,196448,-258589,13747687,14429205,681518,681518,485070,,,,0.0,0.0,254315,-96248,-62141,,,,146067,-41457,-151542
2014-11-13,3,2014,,3271,13471,41103,339326,334049,-0.02,-0.02,,54001,,2006.0,7720,,251951,2014年第3季,-149000,190326,-21319,184796,20043,-115042,12525178,13086520,561342,561342,541299,46718.0,,,0.0,0.0,242630,-149000,-94999,,,,177336,-127681,5530
2015-03-30,4,2014,,632,-845349,193237,369036,364421,-0.42,-0.42,,141518,,-1957.0,144489,,1094635,2014年度,-1159136,-790100,-395328,-106503,175199,-1192817,54366833,56677333,2310500,2310500,2135301,100017.0,,6696.0,0.0,0.0,940649,-1159136,-1017618,,756.0,,685194,-763808,-683597
2015-05-15,1,2015,,6854,13370,106277,-117802,-123519,0.01,0.01,-117802.0,24647,,,8658,-1137.0,287809,2015年01月01日至2015年03月31日,-157204,-275006,1164,-75376,-22653,-109904,10859318,11356116,496798,496798,519451,25546.0,,,0.01,0.01,206096,-157204,-132557,,,,238209,-158368,-199630
2015-08-14,2,2015,,-6995,212885,75964,-249928,-242283,0.22,0.22,-249928.0,33839,,,7246,-650.0,298122,2015年第2季,89964,-159964,208632,15831,50496,73307,9555215,10197953,642738,642738,592242,75144.0,,,0.22,0.22,218976,89964,123803,,,0.0,222788,-118668,-175795
2015-11-13,3,2015,0.0,-7824,336286,42184,415492,423317,0.33,0.33,415492.0,25126,,,23698,-1.0,232623,2015年第3季,218485,633977,314890,593538,-13976,257587,8431125,8869009,437884,437884,451860,36996.0,0.0,,0.33,0.33,182241,218485,243611,,,0.0,144581,-96405,40439
2016-03-31,4,2015,-1834.0,-2363,458246,290067,-108547,-98300,0.37,0.37,-106713.0,131205,-687.0,,44971,-6050.0,1087649,2015年度,-93301,-201848,352117,285311,-55297,93201,36803423,38883963,2080540,2080540,2135837,194121.0,-1315.0,,0.37,0.37,854067,-93301,37904,-168.0,,,700083,-445418,-487159
2016-05-13,1,2016,,-1452,-1735,56441,-189274,-187830,0.1,0.1,-189274.0,48346,,,17713,8.0,277109,2016年01月01日至2016年03月31日,174440,-14834,93624,-37762,210595,12191,6249268,6968835,719567,719567,508972,33505.0,,,0.1,0.1,198358,174440,222786,,,,60228,80816,22928
2016-08-11,2,2016,,-1787,31938,92213,-221943,-218486,0.15,0.15,-221943.0,55361,,,23528,-1670.0,306396,2016年第2季,248567,26624,145772,9488,218241,85687,7006494,7801611,795117,795117,576876,32061.0,,,0.15,0.15,238419,248567,303928,,,,61992,102795,17136
2016-11-14,3,2016,,2095,-125760,122704,-311871,-313898,0.01,0.01,-311871.0,66936,,,14864,-68.0,197280,2016年第3季,23889,-287982,8946,-204977,143079,-52254,6337630,6860109,522479,522479,379400,28266.0,,,0.01,0.01,153854,23889,90825,,,,64062,14943,-83005
