date,season,year,不動產、廠房及設備減損迴轉利益,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權利金收入,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,911,79786,7506,13618,6907,293011,5572,19315,217742,0.2,0.2,0,51548,,51738,,,31180.0,31248,,1318461,2013年01月01日至2013年03月31日,130995,424006,170.0,,123574,409574,8500,,,135748,46985,5258152,7223005,1964853,1964853,1829105,215470,,,661,0.2,0.2,295174,130995,182733,308.0,,35697.0,,,25344,,5387,43121.0,,,8500,5258152,5258152,7203690,7421,14432
2013-08-13,2,2013,37145.0,,,16270,-41100,-13507,27288,14662,-86708,11521,26315,-79332,-0.18,-0.18,0,101668,,-19619,,,22618.0,35875,,1399666,2013年04月01日至2013年06月30日,-103684,-190392,171.0,,-110464,-184224,5200,37145.0,,-147053,23750,5382927,7224029,1841102,1841102,1988155,226674,,,626,-0.18,-0.18,361815,-103684,-123303,308.0,,-11106.0,,,75812,,25906,-3326.0,,,5200,5382927,5382927,7197714,6780,-6168
2013-11-12,3,2013,0.0,,,7901,-58068,26610,51832,16207,-177445,14847,26745,-119129,0.55,0.55,87833,0,,81628,,,-18378.0,98069,,1406234,2013年07月01日至2013年09月30日,334779,157334,171.0,,333405,168576,5400,0.0,,250198,166209,5908155,8158705,2250550,2250550,2000352,238502,,,644,0.54,0.54,355616,334779,416407,19963.0,,-18130.0,,,0,5022.0,10302,,42900.0,,5400,5908155,5908155,8131960,1374,-11242
2014-03-06,4,2013,37145.0,,,32356,-39610,26,130524,51078,136643,42275,114390,83047,1.06,1.06,0,157097,,69971,,,110427.0,279922,,5457448,2013年01月01日至2013年12月31日,676280,812923,682.0,,647609,800066,24200,37145.0,,398273,347978,22490692,30558474,8067782,8067782,7669509,950967,,-372.0,2576,1.06,1.06,1261094,676280,746251,33913.0,,16849.0,,,164202,,62494,12332.0,,,24200,22490692,22490692,30444084,28671,12857
2014-05-13,1,2014,,,,6144,83530,-2095,43348,25755,286855,16900,28619,237863,0.13,0.13,545,0,,44566,,,4535.0,22963,,1323260,2014年01月01日至2014年03月31日,85532,372387,,,80524,360865,2900,,,85983,44115,5159295,7181848,2022553,2022553,1936570,272865,,,644,0.13,0.13,340445,85532,130098,49.0,,39073.0,,,2082,,20101,4322.0,,,2900,5159295,5159295,7153229,5008,11522
2014-08-12,2,2014,0.0,,,28049,-54901,40796,19085,9153,-225041,9245,26253,-165042,0.11,0.11,65644,0,,42074,,,-30606.0,32489,,1356343,2014年第2季,74102,-150939,0.0,,62815,-148733,3200,0.0,,29401,86775,5186647,7184759,1998112,1998112,1968711,260947,,,687,0.11,0.11,351421,74102,116176,0.0,,-25508.0,,,16119,,5595,0.0,9718.0,,3200,5186647,5186647,7158506,11287,-2206
2014-11-12,3,2014,0.0,,,-15391,-100766,-221473,42962,5874,-183817,17625,34391,-134059,-0.21,-0.21,0,276917,,13116,,,29042.0,32811,,1324831,2014年第3季,-115956,-299773,171.0,,-129010,-308121,1790,0.0,,48326,-151166,5561183,7564308,2003125,2003125,1954799,265608,,,645,-0.21,-0.21,364360,-115956,-102840,18647.0,,-21966.0,,,4402,0.0,5466,37441.0,0.0,,1790,5561183,5561183,7529917,13054,8348
2015-03-12,4,2014,0.0,,,40666,-82541,-431404,147462,60217,84571,52443,122256,166706,0.1,0.1,0,512278,,31996,,,37553.0,142070,,5450997,2014年度,111461,196032,13122.0,,61543,153339,11800,0.0,,307025,-163568,22032098,30305802,8273704,8273704,7966679,1124419,,-7503.0,2589,0.1,0.1,1391263,111461,143457,19091.0,,29644.0,,,88417,,21696,44923.0,,,11800,22032098,22032098,30183546,49918,42693
2015-05-14,1,2015,,0.0,0.0,4117,-15869,-120783,17953,8318,-546710,9025,22869,-611249,-0.37,-0.37,0,92482,-546710.0,32397,0.0,0.0,,66766,-23261.0,1265138,2015年01月01日至2015年03月31日,-224299,-771009,,0.0,-232304,-777470,2400,,,-147800,-44102,4941755,6719662,1777907,1777907,1925707,319758,0.0,,610,-0.37,-0.37,340811,-224299,-191902,,0.0,,-103669.0,0.0,580,,8038,-22364.0,,0.0,2400,4941755,4941755,6696793,8005,6461
2015-08-13,2,2015,0.0,,-33899.0,4492,-102499,64091,22490,13897,-131487,7983,25345,8007,-0.21,-0.21,64482,0,-97588.0,13379,,-33899.0,,4819,,1210191,2015年第2季,-119826,-251313,0.0,,-132205,-253468,4960,0.0,,-190327,83880,4715829,6400654,1684825,1684825,1875152,314710,,,610,-0.21,-0.21,350251,-119826,-106447,0.0,,,3096.0,,46670,,7520,0.0,37609.0,,4960,4715829,4715829,6375309,12379,2155
2015-11-12,3,2015,0.0,,149643.0,7920,-76730,-213842,18525,9250,353832,7350,24969,335369,-0.81,-0.81,0,289403,204189.0,-39322,,149643.0,,-58336,,1363673,2015年第3季,-513020,-159188,170.0,,-527746,-189244,2510,0.0,,-274759,-277583,5182936,6939930,1756994,1756994,2031753,315878,,,610,-0.81,-0.81,352202,-513020,-552342,1145.0,,,54450.0,,179,0.0,23930,85812.0,0.0,,2510,5182936,5182936,6914961,14726,30056
2016-03-24,4,2015,0.0,,-11282.0,24668,196606,-521084,88797,43424,-136007,40770,100964,-440364,-2.9,-2.9,0,310826,-124725.0,-266263,,-4582.0,,-25760,44253.0,5219599,2015年度,-1825737,-1961744,682.0,,-1870831,-2006278,306323,0.0,20285.0,-1587130,-504870,20181362,26614479,6433117,6433117,8020247,1411808,-6700.0,,2440,-2.9,-2.9,1388840,-1825737,-2092000,1481.0,,,-74780.0,,110890,,46823,9843.0,,,286038,20181362,20181362,26513515,45094,44534
2016-05-02,1,2016,,0.0,0.0,3402,17578,-56246,36814,23316,17087,12880,33454,2438,-0.34,-0.34,34432,0,17087.0,35012,0.0,0.0,,41026,-757.0,1158988,2016年01月01日至2016年03月31日,-210014,-192927,,0.0,-213528,-186102,18617,,,-188280,13278,4357626,5939068,1581442,1581442,1769722,316631,0.0,,618,-0.34,-0.34,294103,-210014,-175002,,0.0,,2172.0,0.0,2767,,8316,-71426.0,,0.0,18617,4357626,4357626,5905614,3514,-6825
2016-08-08,2,2016,0.0,,,23365,-5772,-29209,10915,0,30249,10295,26530,95939,-0.75,-0.75,0,62271,30249.0,12378,,,,90825,-42431.0,1164974,2016年第2季,-468952,-438703,0.0,,-473096,-435934,0,0.0,,-506292,49718,4253120,5584282,1331162,1331162,1837454,325747,,,620,-0.75,-0.75,346733,-468952,-456574,0.0,,,17487.0,,11961,,22813,44466.0,0.0,,0,4253120,4253120,5557752,4144,-2769
2016-11-07,3,2016,,,,-24939,38108,-15462,8758,271,-215816,7877,24004,-243084,-0.6,-0.6,45619,0,-215816.0,33041,,,,60498,-50977.0,976065,2016年第3季,-366627,-582443,0.0,,-379398,-588131,52498,,,-316129,-17457,4083077,5534644,1451567,1451567,1767696,313573,,,610,-0.6,-0.6,478058,-366627,-333586,0.0,,,-40137.0,,2299,,71251,-35821.0,,,52498,4083077,4083077,5510640,12771,5688
