date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,125510,-172042,71060,8434,-1108,0.85,,,626248,,-23565.0,-21482,,3574728,2013年01月01日至2013年03月31日,2808045,2816479,2780578,2789370,3567380,-133087,13451001,22085787,8634786,8634786,5067406,-89930.0,,18587.0,,,0.85,,1474091,2808045,3434293,2473.0,10623,27467,27109
2013-07-31,2,2013,,52452,-192415,79431,16829,1820,0.96,,,698901,,-9231.0,-22559,,3901196,2013年04月01日至2013年06月30日,3144714,3161543,3130022,3146451,3991449,-147834,12904500,22100586,9196086,9196086,5204637,-27698.0,,,,,0.96,,1303441,3144714,3843615,514.0,12291,14692,15092
2013-10-28,3,2013,,-232455,-374121,88667,-202981,-1430,0.98,,,713964,,-9157.0,-27968,,3881870,2013年07月01日至2013年09月30日,3204333,3001352,3185232,2982551,4267099,-348802,12590595,22124259,9533664,9533664,5266565,39636.0,,,,,0.98,,1384695,3204333,3918297,-425.0,35380,19101,18801
2014-02-18,4,2013,,-69498,-1055330,311234,-189171,448,3.61,,,2641558,,-52041.0,-128365,,15457215,2013年01月01日至2013年12月31日,11846661,11657490,11770520,11580925,15478698,-990479,52904612,89670579,36765967,36765967,21287269,-78949.0,,,,17368.0,3.61,,5830054,11846661,14488219,6499.0,118018,76141,76565
2014-04-25,1,2014,,26915,-212242,38077,-3391,-42,0.95,,,658261,,-11683.0,-38507,,3809252,2014年第1季,3148295,3144904,3109939,3106439,4103057,-296501,13481263,22864485,9383222,9383222,5280165,-18363.0,,,,,0.95,,1470913,3148295,3806556,218.0,83829,38356,38465
2014-07-30,2,2014,,-37691,-143894,45893,-40711,-2512,1.06,,,722949,,-12596.0,-48958,,3616578,2014年第2季,3483799,3443088,3469083,3428866,4437706,-230958,12217933,22022176,9804243,9804243,5366537,12100.0,,,,,1.06,,1749959,3483799,4206748,12.0,83999,14716,14222
2014-10-28,3,2014,,17349,-200687,42452,4837,3214,0.88,,,598418,,-4225.0,-19955,,4388744,2014年第3季,2873175,2878012,2857296,2861805,3736888,-265295,13679574,23248856,9569282,9569282,5832394,-11099.0,,,,,0.88,,1443650,2873175,3471593,402.0,87105,15879,16207
2015-02-13,4,2014,,52463,-753464,197469,12732,3964,3.52,,,2418028,,-45593.0,-167598,,17028833,2014年度,11566795,11579527,11484149,11496781,15053753,-1068930,56153085,94175600,38022515,38022515,22968762,-41962.0,,,,54266.0,3.52,,5939929,11566795,13984823,10406.0,345337,82646,82746
2015-04-28,1,2015,,957,-87415,29399,28722,-936,0.92,,28722.0,628086,,,-96874,21998.0,4173055,2015年01月01日至2015年03月31日,3006937,3035659,2984785,3013576,3942695,-307672,15216432,24784498,9568066,9568066,5625371,,6703.0,,,,0.91,,1452316,3006937,3635023,,152782,22152,22083
2015-07-30,2,2015,,-35843,-305294,32510,-3476,-1250,0.97,0.97,-3476.0,657391,,,-72038,25191.0,4129666,2015年第2季,3168299,3164823,3157632,3154240,4260405,-434715,13779840,23636523,9856683,9856683,5596278,,8426.0,,,,0.97,0.97,1466612,3168299,3825690,,89893,10667,10583
2015-10-28,3,2015,,-40695,-115402,30962,-16536,2450,0.99,0.99,-16536.0,670113,,,-66247,3308.0,4241478,2015年第3季,3222897,3206361,3214783,3198210,4141018,-248008,13114019,22983552,9869533,9869533,5728515,,18401.0,,,,0.99,0.99,1487037,3222897,3893010,,97321,8114,8151
2016-02-17,4,2015,-59210.0,-84459,-860368,125031,-45367,-1370,3.52,3.52,13843.0,2403615,206.0,,-277267,77975.0,17034243,2015年度,11534251,11488884,11485695,11440332,15393037,-1455171,58783432,97293218,38509786,38509786,23116749,,21697.0,,-59416.0,,3.52,3.52,6082506,11534251,13937866,,442567,48556,48552
2016-04-28,1,2016,,-73878,-94348,22965,-63376,251,0.92,0.92,-63376.0,627516,,,-18761,-14596.0,4288621,2016年01月01日至2016年03月31日,3010256,2946880,3000158,2936685,3844036,-206264,14207575,23819456,9611881,9611881,5767845,,24847.0,,,,0.92,0.92,1479224,3010256,3637772,,116120,10098,10195
2016-07-28,2,2016,,17050,-184937,23678,7078,306,0.92,0.92,7078.0,627952,,,-25474,16263.0,4475732,2016年第2季,3012352,3019430,3004867,3011608,3931800,-291496,13393611,23067175,9673564,9673564,5741764,,-26541.0,,,,0.92,0.92,1266032,3012352,3640304,,104763,7485,7822
2016-11-04,3,2016,,-16409,-286868,20400,292,264,0.98,0.98,292.0,670587,,,6256,13423.0,4059074,2016年第3季,3216874,3217166,3206620,3206535,4260229,-372768,13543754,23318608,9774854,9774854,5514625,,3014.0,,,,0.98,0.98,1455551,3216874,3887461,,112556,10254,10631
