date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,1273,,,,1586,2776,478,,117936,2298,6723,,117936,2.24,2758,,0.0,,66749,,,,,53065,2013年01月01日至2013年03月31日,0.0,,170856,288792,,170856,288792,239966,-2361,1655529,2044468,388939,388939,148973,66749.0,29958,,2.24,65950,170856,237605,,0.0,,,,85.0,6723,186.0,,,0.0,,2044468,0.0,0.0,0.0
2013-07-27,2,2013,,,2261,,0.0,0.0,2241,2375,432,0.0,77062,1943,7512,,77062,2.43,3672,0.0,,,83764,,,,0.0,61136,2013年04月01日至2013年06月30日,,,243968,321030,,243968,321030,330628,-2896,2091613,2590467,498854,498854,168226,83764.0,38347,,2.43,68743,243968,327732,,0.0,,,,32.0,7512,862.0,,,0.0,2091613.0,2590467,0.0,0.0,0.0
2013-10-26,3,2013,,,2601,,,,-5131,7219,4414,,-53734,2805,6986,,-53734,1.61,-1525,,,,69901,,,,,41493,2013年07月01日至2013年09月30日,,,166086,112352,,166086,112352,240885,-4898,1770757,2148333,377576,377576,136691,69901.0,29507,,1.59,65691,166086,235987,,,,,2950.0,0.0,6986,-3955.0,,,,1770757.0,2148333,,,
2014-03-22,4,2013,,,18788,,,,-17032,56091,45858,,267561,10233,29105,,267561,6.82,2248,0.0,,,277340,,,,,184549,2013年01月01日至2013年12月31日,,,715369,982930,,715369,982930,982755,9954,7082680,8637802,1555122,1555122,572367,277340.0,121442,,6.64,266376,715369,992709,,,,,0.0,139.0,29105,-353.0,,,,7082680.0,8637802,,,
2014-05-03,1,2014,,,1527,,,,-1537,22928,16991,,-37683,5937,9005,,-37683,1.21,0,2663.0,,,72845,,,,,34274,2014年01月01日至2014年03月31日,,,139608,101925,,139608,101925,200067,12386,1562298,1878531,316233,316233,116166,72845.0,23028,,1.12,58864,139608,212453,,0.0,,,153.0,0.0,9005,2500.0,,,0.0,1562298.0,1878531,0.0,0.0,0.0
2014-08-02,2,2014,,,6680,,,,-17554,16574,9479,0.0,-121219,7095,7145,,-121219,0.2,0,4409.0,,,9566,,,,,23772,2014年第2季,,,29684,-91535,,29684,-91535,47375,-8125,1072627,1228394,155767,155767,108392,9566.0,17246,,0.2,67374,29684,39250,,0.0,,,335.0,0.0,7145,0.0,6800.0,,0.0,1072627.0,1228394,0.0,0.0,0.0
2014-11-01,3,2014,,,3890,,,,-4923,15893,8609,,185205,7284,8968,,185205,0.31,4079,0.0,,,30001,,,1559.0,-1559.0,30479,2014年第3季,,,47577,232782,,47577,232782,77135,443,1214798,1407176,192378,192378,115243,30001.0,16092,,0.31,68672,47577,77578,,0.0,,,0.0,155.0,8968,-4957.0,,,,1214798.0,1407176,,,
2015-03-21,4,2014,,,15613,0.0,0.0,,-44899,67824,40701,0.0,235663,27123,33355,,235663,1.4,0,9719.0,,,159972,,,5724.0,-5724.0,114798,2014年度,,,211992,447655,,211992,447655,388118,-16154,4817113,5697131,880018,880018,491900,159972.0,132298,,1.4,244804,211992,371964,,0.0,,,,2768.0,33355,1601.0,18400.0,,0.0,,5697131,0.0,0.0,
2015-05-01,1,2015,0.0,0.0,1428,,,,3523,6688,993,,-65943,5695,9380,,-65943,0.5,1415,0.0,,-65943.0,30647,0.0,,982.0,-982.0,47524,2015年01月01日至2015年03月31日,,30647.0,76167,10224,0.0,76167,10224,106965,-151,1405018,1662607,257589,257589,150624,,37955,0.0,0.45,65145,76167,106814,0.0,,0.0,0.0,0.0,464.0,9380,4000.0,,0.0,0.0,1405018.0,1662607,0.0,0.0,0.0
2015-08-01,2,2015,,,2798,,,,294,3616,171,,-81787,3445,11548,,-81787,0.17,7389,0.0,,-81787.0,13165,,,2671.0,-2671.0,35687,2015年第2季,,13165.0,25587,-56200,,25587,-56200,49061,-10309,1234257,1416321,182064,182064,133003,,36447,,0.17,60869,25587,38752,,,,,203.0,0.0,11548,,4500.0,,,1234257.0,1416321,,,
2015-10-31,3,2015,,,8189,,,,28420,4250,1281,,257815,2969,14533,,257815,0.51,33088,0.0,,257815.0,54578,,,1676.0,-1676.0,39425,2015年第3季,,54578.0,77534,335349,,77534,335349,115651,16461,1457652,1723970,266318,266318,150667,,49100,,0.51,62142,77534,132112,,,,,1513.0,0.0,14533,2008.0,0.0,,,1457652.0,1723970,,,
2016-03-26,4,2015,,,15527,0.0,0.0,,35592,26422,10740,0.0,-70716,15682,49829,,-70716,1.5,48337,0.0,,-70716.0,135976,,,12356.0,-12356.0,183450,2015年度,,135976.0,227962,157246,,227962,157246,364109,-171,5457497,6417620,960123,960123,596014,,155567,,1.5,256997,227962,363938,,,0.0,,1274.0,0.0,49829,1508.0,0.0,,0.0,,6417620,0.0,0.0,
2016-04-30,1,2016,,,818,,,,13018,9651,5713,,-138297,3938,15057,,-138297,0.8,14077,,,-138297.0,36584,,,2786.0,-2786.0,70249,2016年01月01日至2016年03月31日,,36584.0,120860,-17437,,120860,-17437,152618,4826,1232353,1565042,332689,332689,180071,,41455,,0.8,68367,120860,157444,,,0.0,,,241.0,15057,0.0,,,0.0,1232353.0,1565042,0.0,0.0,0.0
2016-07-30,2,2016,,,1774,,,,17189,18993,16151,0.0,-206228,2842,14551,,-206228,0.49,18693,,,-206228.0,-10014,,,136.0,-136.0,49883,2016年第2季,,-10014.0,76866,-129362,,76866,-129362,45357,21495,972569,1170958,198389,198389,153032,,31416,,0.48,71733,76866,66852,,,0.0,,270.0,,14551,,0.0,,0.0,972569.0,1170958,0.0,,
2016-10-29,3,2016,,,1585,,,,26503,2785,-1508,,-227175,4293,15245,0.0,-227175,0.97,27991,,,-227175.0,39954,,32.0,0.0,32.0,50505,2016年第3季,,39954.0,153100,-74075,,153100,-74075,178979,14075,1260210,1602728,342518,342518,163539,,44396,,0.96,68638,153100,193054,,,0.0,,97.0,,15245,0.0,,,0.0,1260210.0,1602728,0.0,0.0,0.0
