date,season,year,一年內到期之長期負債,之金融資產,交易目的金融資產,以成本衡量之被投資公司減資退回股款,公平價值變動列入損益之金融商品,其他流動負債,其他流動資產,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少（增加）,匯率影響數,取得以成本衡量之金融資產,取得備供出售金融資產,取得備供出售金融資產價款,取得採權益法之長期股權投資,合併總純益,員工紅利,土地使用權增加,子公司發放現金股利予少數股權,子公司發放現金股利予少數股權股東,存貨跌價損失,少數股權淨變動,少數股權變動,已質押銀行定期存款,年初現金及約當現金餘額,年底現金及約當現金餘額,應付員工紅利,應付所得稅,應付短期票券,應付短期票券增加（減少）,應付短期票券減少,應付票據及帳款,應付股利,應付費用,應付關係人款項,應收帳款,應收票據,應收關係人款項,應計退休金負債,投資活動之淨現金流出,折舊及折耗,按權益法認列之投資淨損,按權益法認列之投資淨損（益）,採權益法之被投資公司發放現金股利,採權益法之長期股權投資減資退回股款,支付利息（不含資本化利息）,支付所得稅,期初現金及約當現金餘額,期末現金及約當現金餘額,本年度現金及約當現金淨增加,本期現金及約當現金淨增加,本期現金及約當現金淨增加（減少）,減損損失,營業活動之淨現金流入,現金股利,發放現金股息及股利,短期借款增加,短期借款增加（減少）,董監事酬勞及員工紅利,董監酬勞,處分以成本衡量之金融資產價款,處分備供出售金融資產,處分備供出售金融資產價款,處分固定及非營業用資產價款,處分固定資產淨損（益）,處分投資淨益,處分採權益法之長期股權投資價款,處分資產價款,處分資產淨益,融資活動之淨現金流入,融資活動之淨現金流入（出）,融資活動之淨現金流出,資產,購置固定及非營業用資產,購置資產,遞延所得稅,遞延費用增加,遞延費用減少（增加）,長期負債增加,長期負債增加（減少）,預付款項
2008-08-31,2,2008,12975473,,514043,,,1336614,346313,469695,,,47467,394261,100000,,,,4320035,,212,,,,403429,,32878,,,96837,,,,853941,976209,8449025,676924,205526,19924,146816,186088,58072,3895830,2711948,,42125,12515,,1041101,1024258,9817626,11760556,,1942930,,,4582424,,,,1982450,,207360,1100915,,2592480,,114571,2023179,4204,225786,,1650597,,,,,7462419,560126,,209117,,5567472,376675
2008-10-31,3,2008,10891005,4140549,,,,73212,10914,,744714,,55073,145736,100000,,31976,,5664833,,,,2276615,,,247994,,,,,593308,864028,,,2177916,,859179,62330,71434,265276,33388,41524,5591553,4113009,43144,,,,1683269,1328664,9817626,10615331,,,797705,,10373123,6172410,,3393924,,304197,,1131537,2971745,,27261,,2184303,,,4671,,,3838129,,9535047,,344135,,,3377905,,1390581
2009-03-31,4,2008,11362393,,,63588,4369133,39006,130926,49125,,269348,,863381,100000,31976,,300000,6473679,94744,21562,1825586,,284777,93499,,29041,9817626,13033535,,499476,,500437,,1055382,449732,163680,44913,1616612,924068,593628,44165,10110277,5658908,,93581,148829,57693,2435949,1430811,,,3215909,,,151984,12412104,,6172260,4087991,,,207360,1111786,,4560672,,,3194369,4204,29728,81543,,50701,,51275,,14729131,481097,485931,,,3717849,271806
