date,11020,12125,1433501,16361,19994,640181,season,year,一年內到期之長期借款,一年或一營業週期內到期之長期負債,依權益法認列之投資利益損失淨額,依權益法認列之投資損益淨額,備供出售金融資產－流動之匯率影響數,其他應付帳款,其他應付帳款－關係人,其他應付款,其他應付款－關係人增加,其他應付款－關係人減少,其他應收帳款－關係人增加,其他應收帳款－關係人減少,其他應收款,其他應收款－關係人,其他流動負債,其他流動資產,其他負債增加,其他資產,其他長期借款減少,出售固定資產價款,出售無形資產價款,列備供出售金融資產,加：期初其他應收款,動影響數,匯率影響數,及資本公積,受金融資產－流動,受限制資產減少,受限制資產－流動,合併總純益,固定資產轉列其他無形資產,固定資產轉列待售房地,固定資產轉待售房地,在建、營建及待售房地,增加減少,存入保證金,存入保證金增加,存入保證金增加減少,存出保證金增加,存貨,已宣告尚未發放員工紅利,待售房地轉列固定資產,應付帳款,應付帳款－關係人,應付所得稅,應付短期票券增加,應付短期票券增加減少,應付短期票券減少,應付票據,應付票據－關係人,應付費用,應收帳款,應收帳款-關係人,應收帳款－關係人,應收票據,應收票據－關係人,投資活動之淨現金流出,投資活動之淨現金流出入,折舊,採權益法之長期股權投資,採權益法評價之長期股權投資,採礦權保證金損失帳列其他損失,採礦權保證金減損損失,提列呆帳費用,提列資產減損損失,提列迴轉備抵呆帳,換算調整數,攤銷,支付現金,收入,整數,期初其他應付款,期初其他應收款,期初應付員工紅利,期初應付設備款帳列其他應付款,期初應收設備款,期初現金及約當現金餘額,期末其他應付款,期末其他應收款,期末應付員工紅利,期末應付設備款帳列其他應付款,期末現金及約當現金餘額,本期增加固定資產,本期提列退休金數,本期提撥,本期支付利息,本期支付利息不含利息資本化,本期支付所得稅,本期現金及約當現金淨減少增加數,本期現金及約當現金淨減少數,本期處分長期股權投資價款,本期購置固定資產,本期退休金實際支付及提撥數,本期退休金實際支付數及提撥數,本衡量之金融資產-非流動,權益調整數,款,歸屬予少數股權之合併純益,歸屬予少數股權之合併總純益,歸屬予母公司股東之合併純益,比變動調整數,淨現金流出,淨資產,減：取得子公司之現金,減：期末應付設備款帳列其他應付,無形資產轉列待售房地,營業毛利,營業活動之淨現金流入,營業活動之淨現金流出入,營業活動之現金流入,營業活動之現金流出,現金及約當現金,發放少數股權董監酬勞及員工紅利,發放董監事酬勞及員工紅利,發放董監酬勞及員工紅利,益調整數,益變動轉列資本公積,益變動轉列金融商品未實現損益,短期借款增加減少,短期借款減少,算調整數,累積換算調整影響數,累積換算調整數所得稅影響數,股東權益調整數,處分以成本衡量之金融資產,處分以成本衡量之金融資產價款,處分備供出售金融資產價款,處分固定資產利得,處分固定資產利得淨額,處分固定資產利益,處分固定資產損失,處分投資利益,處分投資損失,處分採權益法評價之長期股權投資價款,處分無形資產－土地容積率利得,融資活動之淨現金流入出,融資活動之淨現金流出,融資產,變動列入損益之金融負債,變動調整數,資本公積,資產,購置固定資產,購置無形資產價款,購買以成本衡量之金融資產,購買備供出售金融資產,購買庫藏股價款,遞延所得稅,遞延所得稅負債,遞延費用增加,金融商品之未實現損益迴轉數,金融負債評價淨損失利益,金融資產未實現損益調整數,金融資產未實現損益迴轉數,金融資產評價淨利益,金融資產評價淨損失,金融資產－流動之匯率影響數,長期借款及一年內到期之長期借款減少,長期借款及一年到期長期借款增加,長期應付款－關係人增加,長期應收款－關係人增加,預付款項,預付費用,預付費用及款項,預收款項,首次取得子公司淨現金流出
2008-04-30,,,,,,,1,2008,292000,,,29266,,102148,77466,,33725,,,9801,74080,607,66067,22889,,,26000,4564,83163,,11010,,57434,575395,,6189,,,,,,,,,27443,,1957,110366,,,195452,150588,69202,,,140747,9546,46752,58591,70999,,43574,15528,33703,179577,,59843,,,,,,,,448207,10994,,,,24412,4011,,,,6158290,,4011,,,5404226,,10854,,,46303,21868,,754064,,300915,5651,,,,,48292,,223157,7517,,,,,,,,,,81340,,,,,,,,,110000,,,113069,4071,,,163307,,,,,743,,11010,6854,,435713,,,,,33597,325327,51,50000,78967,,13904,,1309,,,,129,115238,,2053,220134,,,,,,14318,185088,
2008-08-31,,664193,,11081,,160820,2,2008,82667,,85049,,1974,61683,85228,,121970,,4879,,52831,607,9150,700,112,97,,8114,224572,,4011,,40309,,,63620,,,,,,,,,,2713,2058,37525,,,252543,58560,320672,,,167649,13904,47511,60397,235701,,37099,37095,42698,,353088,121415,119343,,,,,,2033,,16049,,,296416,,,1,,,6158290,,,5748,,5581673,619688,21108,22108,88688,,420600,576617,,,,,8882,,,24412,64584,,242884,,,,,3919,,,,79212,,,,2460,,16361,8563,50440,210995,57976,,,,76245,,,,238143,,808,,,21883,10421,11010,148263,,104008,204785,,,,,640181,,50000,189214,,179,,3796,8830,,,,44186,,,1666,,17309,12430,,,64626,46530,
2008-10-31,,,,,,,3,2008,33333,,,32061,,41813,90804,,31285,,,,78322,2953,4862,6015,84,,4000,241987,18407,482806,11010,,37669,,328299,63696,,408434,,39192,,,,,2662,,15045,404,,,229917,74734,357601,37198,,,4666,13601,36580,205305,,77907,139985,47552,733193,,181392,,187661,,69000,880,,,,23359,,,,,4011,,24412,,6158290,,,,117180,5432732,,31440,,,136251,498022,,725558,11,1111750,11944,,,,,,,,,,,,,,163600,112644,,,,,2462,,22109,,,,,283307,258535,,64633,,,902,413171,,,2743,,,4919,11021,,,142678,361963,,,1379325,,1018982,,50000,396936,252029,14440,,5425,,,176227,,,11484,1670,,350000,,,,,99170,106730,
2009-03-31,247529,,383613,,581235,,4,2008,,852160,,80079,,48719,88075,937,,65545,,,53649,5364,214,584,,,,15983,18407,,,1019047,74796,,,10507,4980,247079,50,,8464,71756,891326,317,,4914,13360,61518,298,48879,7,97061,931,,190831,,7006,3130,1156,3426,2027,20030,192,25709,,1176842,244927,,,69000,,,3087,1362,,30175,349221,7642,,24412,11010,,,4011,6158290,179957,,,,5912316,,45249,,,185009,499110,,245974,10,1589046,20979,,328299,8563,,,17555,229524,,153843,349221,195378,,72014,,,,349508,,195378,,24271,,,,,,146084,,552699,138175,,2914,,821641,3599,,,2606,,36180,11020,,506564,,,1498,5416,,90434,1433501,,50000,405005,344607,54720,935,5616,,7896,307886,,,25855,1043,,,,,833,98213,71095,94546,153843
