date,season,year,一年內到期之長期負債,交換公司債折價攤銷,交換公司債未實現兌換利益,交換公司債未實現兌換損失,交易目的之金融負債,交易目的之金融資產,交易目的金融負債,什項負債增加,什項負債增加（減少）,什項資產增加,什項資產（增加）減少,以成本衡量之金融資產退回股款,以成本衡量之金融資產－非流動增加,備供出售金融資產增加,償還長期負債,其他應付票據減少,其他應收款,其他流動資產,其他資產,匯率影響數,取得遠龍不銹鋼公司之總價款,取得遠龍不銹鋼公司支付之現金,受限制資產增加,受限制資產減少,受限制資產（增加）減少,合併總純益,固定資產及非營業用資產增加,固定資產增加,固定資產淨額,存貨跌價及呆滯損失,少數股權增加,少數股權減少,年初現金及約當現金餘額,年底現金及約當現金餘額,待交產品及預收款項,應付所得稅,應付款項及費用,應付現金股利及董監事酬勞金,應付短期票券增加,應付短期票券增加（減少）,應付短期票券減少,應付董監事酬勞金,應收帳款,應收票據,應計退休金負債,投資活動之淨現金流出,折舊及攤銷,採權益法認列之投資收益－淨額,提列存貨跌價損失,提列（迴轉）存貨呆滯及跌價損失,支付利息（不含資本化利息）,支付員工紅利,支付員工紅利及董監事酬勞金,支付所得稅,支付現金股利,支付資本租賃款,收到之現金股利,期初現金及約當現金餘額,期末現金及約當現金餘額,本年度現金及約當現金淨增加（減少）數,本期現金及約當現金淨增加數,本期現金及約當現金淨增加（減少）數,流動負債,減：年底其他應付票據,無形資產增加,營業活動之淨現金流入,發放現金股利,短期借款增加,短期借款增加（減少）,自採權益法認列被投資公司收到之現金股利,舉借長期負債,處分以成本衡量之金融資產價款,處分備供出售金融價款,處分備供出售金融資產價款,處分備供金融資產利益－淨額,處分固定資產及非營業用資產價款,處分固定資產及非營業用資產利益－淨額,融資活動之淨現金流入,融資活動之淨現金流入（出）,被投資公司減資退回股款,被投資公司退回股款,資產減損損失,遞延所得稅,遞延收益實現,遞延費用增加,金融商品投資減資及清算退回股款,－淨額
2008-04-30,1,2008,4600521,18134,238350,,282471,152399,,11250,,5320,,,,61142,3003411,1292000,,16327,,575376,,,,69764,,2899800,,1993374,,,,34810,,,556341,125983,190739,,,,69648,,260809,344556,2587,3210128,714508,2531567,,,177283,,,6411,,,,6207117,12815413,,6608296,,,,15755,673749,,3411265,,,9405405,,,50533,39539,7495,3064,9720051,,,70863,,20162,17022,41192,,
2008-08-31,2,2008,6053417,58586,250950,,,1052982,91921,13519,,,39884,1155,36781,1729999,12648309,1292000,1203328,73890,,201713,,,,,250229,5334599,,5526109,,,7494657,,,,668702,25090,951148,6983627,,959852,,,887050,197579,50593,7758716,1433942,3607183,,9241,625157,352863,,588988,,,,6207117,20180703,,,13973586,,,61824,1932807,,1655820,,,22878532,,1196871,,,44062,,20001208,,69708,,,4410,34043,133686,,45701
2008-10-31,3,2008,3657596,99038,,133350,534818,583791,,67125,,63014,,7679,43914,1978142,16508086,1292000,343325,531926,,657056,,,71631,,,7074477,,9647654,,,8845608,,,,363190,78463,1580647,,1350890,,,264648,922933,61855,69194,11524463,2147767,4753913,135674,,1202058,352863,,417459,6563239,,,6207117,17554606,,11347489,,,,,5468209,,5942161,,2128813,25279203,30000,,1639540,,10437,,18060799,,69708,,,,51064,185472,,
2009-03-31,4,2008,6074886,139491,,265650,572398,598434,,,34401,97671,,,1244119,518009,19240416,1292000,,1907309,21393,1224839,1938000,646000,303734,,,7472635,12310259,,3929920,417441,9062624,,6207117,16931368,342593,19983,1237385,,,1362272,,68048,1109657,133256,84168,15995934,2907644,5088466,,,1470423,,549463,439667,,8150,5446711,,,10724251,,,2121375,1292000,120038,10596140,6562998,,2810640,,30439974,26252,,50533,,15936,,,17348884,,,134029,13588,68085,280920,78095,
