date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,0.0,5037.0,,,,-125828,-714,,7049,-1178,-31586,,,13784,,-3320,,13464.0,,-1684,4492,22444,,-12930.0,-25949,52362,,1281,,640.0,,70.0,,10734.0,-283191,,98893,270,360788,0.0,-11408,307.0,43098,23810,9391,-2374,,8066,-4786,,1606,263,,2013年01月01日至2013年03月31日,1454176,1927204,473028,44786,,91237,100756,,522220.0,,-159048.0,316249,44786,0.0,-263,-20359,71292,50933,0.0,300,,-11,-479,,,55970,,1927204,-6602,-28894,-1282,203,0.0,40,,-9094.0,-4455,-9159
2013-08-07,2,2013,103.0,28111.0,,,,-66362,47770,0.0,12964,-798,-9219,,0.0,11116,,-1431,,1796.0,,-5744,11161,-28488,,-5355.0,-72291,37253,0.0,-1907,,640.0,,70.0,,18548.0,-196551,,476658,2867,-95859,,11112,141.0,-31408,52214,5058,40053,,12749,-12095,35028.0,5624,0,,2013年01月01日至2013年06月30日,1454176,2207116,752940,208270,,410189,436343,,502789.0,,-50102.0,402647,208270,0.0,0,455419,-255457,199962,0.0,557,,1047,-2801,0.0,,228073,,2207116,-54711,-40618,-1282,-34745,0.0,-81250,,-15364.0,8950,25375
2013-11-13,3,2013,0.0,95854.0,,,,-94940,-656,0.0,-56409,-1552,-17462,,,39899,,-1436,,,,-7059,18797,9989,,2335.0,-99765,3246,,-9806,,640.0,,100.0,0.0,8823.0,-715981,,87962,1640,385500,,14944,446.0,-95401,80423,2434,2676,,17996,-19069,,7006,712,,2013年01月01日至2013年09月30日,1454176,1721354,267178,231325,,-113590,929,-249989.0,513309.0,105424.0,0.0,466180,231325,0.0,-712,-5307,-320943,-326250,148075.0,3202,,948,-1836,,,-230396,,1721354,-103168,-12703,-1282,-34816,,-58486,-1101.0,,12713,54842
2013-11-14,3,2014,,116055.0,,,,-245055,-26213,0.0,128182,-4131,-827,,,63076,,1215,,-144.0,,-3711,24848,-6010,,2768.0,-32487,2527,,-11849,,1751.0,0.0,-916.0,-157024.0,0.0,-383477,,99853,3408,361302,,1013,641.0,-222655,93273,-5882,29039,,15870,-20212,,3692,4566,,2014年01月01日至2014年09月30日,1784540,2061254,276714,170630,,127345,201607,-101984.0,0.0,363055.0,,378034,170630,,-4566,80880,-165958,-85078,176026.0,503,,-409,-5231,,4257.0,30977,,2061254,-62308,-8276,0,-63054,,-210241,-24181.0,,3674,99733
2014-03-20,4,2013,0.0,129191.0,,,0.0,176053,-3010,0.0,-61757,-6,805,,,39572,0.0,-3000,,0.0,0.0,-8346,26640,12084,,-10486.0,-110248,48657,,-11671,,1882.0,100.0,,-2248.0,,-489352,,-149908,701,43319,,8560,4118.0,-144402,110599,2445,-6540,,23549,-18142,,8297,5668,,2013年01月01日至2013年12月31日,1454176,1784540,330364,248435,,-215499,-101870,-249989.0,488985.0,333713.0,0.0,678181,248435,0.0,-5668,-40786,-438710,-479496,149100.0,3355,,1627,-2901,,0.0,-350305,11581.0,1784540,-109452,-16309,-1282,-32929,0.0,-40737,-72247.0,,9484,-22737
2014-05-07,1,2014,,35529.0,,,-11782.0,-245065,2271,,16657,-1841,924,,,54019,,-930,,-5921.0,,-1225,9020,16768,1138.0,,-15319,2289,,-1750,,0.0,,-900.0,-74491.0,12826.0,-66452,,-51822,-578,481230,,-8260,93.0,-83322,29933,-1368,4381,,5918,-7354,,1157,0,,2014年01月01日至2014年03月31日,1784540,2085348,300808,69111,,272742,274109,,0.0,43040.0,-85950.0,94620,69111,,0,-268272,437741,169469,149080.0,233,,-215,-824,,,204998,-10031.0,2085348,4830,-7078,0,0,,-28541,,-1189.0,934,23842
2014-08-12,2,2014,0.0,81656.0,,,,-240696,394,0.0,14312,-3712,-827,,,54176,1221.0,0,-1531.0,0.0,,-2711,16508,-9101,,3187.0,-24972,-1765,,-3323,,1751.0,,-900.0,-48788.0,0.0,-218577,,-52977,2343,736600,,-168,285.0,-98644,61413,-1075,30665,,11037,-13325,,2690,1,,2014年01月01日至2014年06月30日,1784540,1992863,208323,111281,,389292,426791,,0.0,,-194225.0,-73224,111281,0.0,-1,-283855,517709,233854,116693.0,233,,-194,-2018,,4265.0,315510,8127.0,1992863,-26865,-6643,0,-124,,-83028,-18498.0,0.0,1359,-14174
2015-03-20,4,2014,,154171.0,2800.0,,0.0,-212441,-27766,,8361,-2424,-828,,,10545,,-6532,-2183.0,,,-5032,34251,-18923,,-1021.0,-55477,2527,70616.0,-14745,-5152.0,1751.0,0.0,-901.0,-28157.0,,-159488,-136540.0,74299,13470,171532,,-1325,-1915.0,-59140,127231,-1899,-29755,,18943,-29340,,5000,13251,,2014年度,1784540,2121276,336736,310102,,101467,190562,-101984.0,0.0,0.0,-499747.0,313332,310102,,-13251,-93123,-180588,-273711,1097901.0,503,,-332,-7841,,4284.0,-119540,-140.0,2121276,-78006,1070,0,-38767,0.0,-144026,-35024.0,,2119,27142
2015-05-13,1,2015,,,,,-192745.0,40309,33326,,-535,-2379,0,,,-33564,,-2404,,-4956.0,,-841,11331,9271,,3915.0,-46012,280,,-340,6842.0,0.0,,-40.0,0.0,8761.0,-80559,,119531,-16015,25607,,-14112,,-47332,34054,-4012,91392,,2817,-12409,,851,551,48598.0,2015年01月01日至2015年03月31日,2121276,2163255,41979,25673,274.0,171156,182219,,,100158.0,0.0,-91116,25673,,-551,216516,-108568,107948,0.0,0,,0,-803,,,156546,30929.0,2163255,-56,-4251,0,0,,-133964,-5065.0,,5685,46035
2015-08-13,2,2015,0.0,,,,-509157.0,99641,15422,0.0,12614,-21484,0,,,7483,5563.0,0,-11325.0,0.0,,-2446,19683,10816,,8937.0,-62051,-1257,,0,2844.0,0.0,,0.0,0.0,372.0,18024,,247268,-12509,281559,,-11864,,-88671,68227,-9156,87956,,5555,-20698,,2504,5652,83834.0,2015年01月01日至2015年06月30日,2121276,2346272,224996,100237,627.0,897775,938361,,0.0,,-100125.0,-594924,100237,0.0,-5652,516356,237934,754290,0.0,234,,3476,-9205,,0.0,838124,41682.0,2346272,-28044,1352,0,-142,,-138861,-14644.0,0.0,-301,136189
