date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-02,1,2013,,36494,0,-36380,6269,-1502,-17359,0,,0,17,314,,-2520,,5425,-12115,0,-220300,,-3,58,-51,0,-22162,-227706,-204,100022,-4532,0,-232449,17706,26,,2479,,2013年01月01日至2013年03月31日,1223557,940836,10573,-282721,112669,,,,-55755,-54391,,,,58,112669,3146,-265792,62238,-203554,,,33,,-167060,940836,-3843,4633,2586,
2013-08-13,2,2013,,33601.0,,8531,5241,2984,-19436,-2107.0,,-38.0,0.0,2053,,-4710,,6832,-29283,0.0,-200000.0,,-569,58,,128.0,-93361,-214114,0,21923,-4947,0.0,-227881,35591,47,,4626,,2013年01月01日至2013年06月30日,1223557,889862,-9372,-333695,197608,,0.0,,-112704,-64077,,,,58,197608,6328,-204706,-90580,-295286,1312.0,,469,,-261685,889862,-53253,6929,,-3165.0
2013-11-13,3,2013,,68999.0,,-1822,-17111,7890,-24755,-2107.0,,-83.0,0.0,3632,,-7082,,4639,-46810,0.0,,,-7271,94,,1471.0,-385056,69405,246,-51164,-3724,-17.0,98851,52987,77,,6975,,2013年01月01日至2013年09月30日,1223557,934059,10178,-289498,330283,,100000.0,,-91940,-8933,-301142.0,,,-301048,330283,9544,73595,-481810,-408215,13887.0,30386.0,1027,-386.0,-339216,934059,-89982,-2503,8796.0,
2014-03-13,4,2013,,72106.0,,5897,-26375,6705,-23798,-2107.0,7164.0,,2232.0,3550,,-10182,744.0,29111,-64411,0.0,,,-7008,148,,433.0,-152683,-256889,-93,-107963,-1040,3684.0,136212,69774,90,-147.0,8934,,2013年01月01日至2013年12月31日,1223557,1643816,-11666,420259,481690,,149947.0,,-94070,6298,-301142.0,650000.0,,349006,481690,12036,-242803,-304695,-547498,17625.0,30386.0,2606,-386.0,-475392,1643816,-109155,2107,10441.0,
2014-05-13,1,2014,,-129.0,0.0,-15580,629,1828,-29170,,5043.0,,0.0,1866,,-8329,1919.0,5424,-6985,,-146838.0,,-5217,28937,-1997.0,,49092,-98978,-188,169683,-1202,96.0,-155729,16889,4,-2438.0,7910,,2014年01月01日至2014年03月31日,1643816,1736317,-17527,92501,79756,,,,164566,160880,,49303.0,,78240,79756,1589,-112822,194075,81253,91.0,,8,,81124,1736317,-1786,-1212,9881.0,
2014-08-13,2,2014,,29437.0,,13913,17176,2651,-8625,0.0,-191.0,0.0,,1243,,-15853,4236.0,1592,-33358,,-188793.0,,2636,32229,,-2543.0,144178,36441,-174,-20239,-1183,-5.0,-224606,34093,8,-4598.0,13858,,2014年01月01日至2014年06月30日,1643816,1652988,-5670,9172,163855,,,,337882,377234,,,-137925.0,-105696,163855,2826,52826,131116,183942,88.0,,84,,213379,1652988,-48612,-2673,8507.0,0.0
2014-11-13,3,2014,,76188.0,,54900,7535,3362,-37386,0.0,-189.0,0.0,,1527,,-22747,5956.0,318,-45874,,,,18198,33195,,-8690.0,-173202,339269,-136,-70764,-817,-189.0,-4662,51317,11,-6473.0,20502,,2014年01月01日至2014年09月30日,1643816,1608228,-9147,-35588,351638,,49816.0,,456203,550209,-320642.0,,-200000.0,-487447,351638,4075,397206,-274823,122383,86.0,0.0,90,0.0,198571,1608228,-108035,1923,24985.0,
2015-03-18,4,2014,,95461.0,,32006,14386,3020,-28730,0.0,-192.0,,0.0,1406,,-29189,7448.0,1437,-45179,-13952.0,,,23899,33599,-9721.0,0.0,-83336,35002,70,-45522,-303,421.0,45531,67482,1361,-7906.0,27998,,2014年度,1643816,1831298,-21091,187482,563404,,114296.0,,477557,585687,-320642.0,0.0,-50000.0,-337043,563404,4091,70519,-143697,-73178,87.0,0.0,123,0.0,22283,1831298,-128222,65,39866.0,
2015-05-13,1,2015,,,,-21632,-23223,-3384,-10176,,0.0,-43000.0,,6826,,-5589,1879.0,-5173,-20855,,,0.0,833,19424,-5979.0,,-144748,68113,-256,162066,-1875,,-68916,17265,741,-1875.0,5091,-760.0,2015年01月01日至2015年03月31日,1831298,1844354,-27407,13056,50215,-330.0,,808.0,67721,74010,,0.0,,19424,50215,234,42511,-17956,24555,110.0,,113,,23795,1844354,-9505,-1625,5970.0,
2015-08-12,2,2015,263.0,,,20995,-15448,-5352,3939,,-4128.0,,,6447,,-11198,4007.0,-7940,-37999,-2800.0,,0.0,6175,26874,,-4655.0,-86736,87274,-249,-223087,-5361,,40423,34388,1465,-3957.0,11111,37282.0,2015年01月01日至2015年06月30日,1831298,1970711,-16468,139413,212450,-289.0,,85757.0,-19944,21290,,100000.0,,126874,212450,234,102379,-330821,-228442,120.0,,958,,-191160,1970711,-48388,-1625,12636.0,
