date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2014-07-28,2,2014,-674,,,10410,30292,,,,,,,,-2915,14144,,-28335,-1496000,,,,-839,,0,-9912,-337,205168,,528012,-827648,-286,-28912,13160,,9576,-5565,2296,,2014年01月01日至2014年06月30日,383389,521156,-45400,137767,310422,,,184584,255696,,,0,-7993,,-17905,310422,18414,538136,-592188,-54052,,1496599,,-599,,-54726,,521156,-67843,-7054,,,,,
2014-11-13,3,2014,263713,,,-109464,121905,,,,,,,29387,-4266,20879,,-29276,-1496000,,,,-4680,103428,0,-5429,-1072,87342,,120607,-265938,-415,-34429,18010,,12518,-8992,4833,,2014年01月01日至2014年09月30日,383389,591726,69149,208337,231767,,,361490,449517,,-280417,0,167122,,-118724,231767,10355,10728,-56691,-45963,,1496599,,-599,,217750,,591726,-83868,4852,,,,,
2015-04-24,1,2015,,,-112016,31254,-10714,0,-528,376736,,1400,-712,,-19900,4516,-18163,-13354,-148000,,,0,,,22854,-5457,,-219949,,-191084,364798,,1099471,15684,0,12011,-1386,19403,-32298,2015年01月01日至2015年03月31日,1725308,2502285,305,776977,-50382,717370,2833,-225200,-218579,,,,,-97400,-79131,-50382,20752,-269013,133114,-135899,,148028,0,-28,,-168197,,2502285,-5235,-96333,,,30695,0,-1021
2015-07-31,2,2015,,,56379,18021,13705,,-775,-26492,,1400,-673,,-45309,8813,-27992,-20123,-188000,,,0,-190,,32325,-2450,,150227,,17499,78041,,732459,31889,0,22268,-2005,62534,2984,2015年01月01日至2015年06月30日,1725308,2488125,497,762817,5609,717370,2704,282630,324729,,,,,-254780,-224280,5609,34924,94603,221533,316136,,188033,0,-33,,319120,,2488125,-40094,-108985,,,58920,0,-20440
2015-11-02,3,2015,,,8018,30616,8130,,-1591,230168,,1400,-609,,-69830,12951,58204,-27946,-188000,,-31585,0,-21557,0,34868,106,,388010,,-494500,494370,,938388,50530,0,30973,-2111,72514,-64871,2015年01月01日至2015年09月30日,1725308,3022616,279,1297308,191464,717370,2597,492330,540904,,-130005,,,-96392,-191614,191464,53222,-453269,867580,414311,,188033,0,-33,,349440,,3022616,-46463,-221157,,,78194,0,-22930
2016-03-18,4,2015,,,95350,51953,26195,,-1665,101183,,,-31965,0,-94849,17533,11429,-39286,-188000,-130620,-31585,0,-28251,,39558,45274,,149341,,-396726,575745,,671132,69243,0,41639,-2778,81435,-70899,2015年度,1725308,1680546,17652,-44762,241697,717370,-533,622282,672123,-1248440,-130005,,,-54327,-1349605,241697,76334,-249956,751281,501325,,188033,0,-167,32818,430426,,1680546,-47063,-233196,0,,34912,0,
2016-05-05,1,2016,,,-169730,45937,32161,,-112,218592,,0,273,,-13214,4763,-27444,-2139,0,,,,-5441,,16169,-8082,,114798,,-116469,468556,,228024,13847,,11446,-804,16239,84519,2016年01月01日至2016年03月31日,1680546,2224926,-1167,544380,-102177,0,-101,355939,357494,,,,,-20114,-12139,-102177,6562,-240363,615515,375152,500,0,1986,0,,459671,,2224926,-751,-2092,,0,62388,,
2016-08-12,2,2016,,-990326,-62519,17329,-40294,,-326,1918411,,0,-34194,,-34605,7254,-53275,-5765,0,,,,-34548,,17145,-9022,,-306593,-132607,443103,147675,,1897679,27866,,24049,-1264,43408,149800,2016年01月01日至2016年06月30日,1680546,2785133,625,1104587,-23959,9867,-198,316968,324344,,,,58351,0,-1056785,-23959,13583,397715,-199212,198503,500,0,1986,0,,348303,32022,2785133,-6112,-17882,,0,94902,,
2016-11-10,3,2016,,-990617,14934,65991,-50318,,-376,,2831283,0,-1474441,,-45402,8098,-63935,-12786,-29359,,-16355,,-80877,,41757,-10128,,-324308,-132607,2803,145809,,1271809,40497,,40477,-1987,53844,227872,2016年01月01日至2016年09月30日,1690441,1808230,1932,117789,83402,0,-279,156811,165906,,-212240,,57289,0,-1246896,83402,24490,83449,-228817,-145368,500,0,1986,0,,82504,32021,1808230,-7108,-17858,,26,141631,,
