date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款增加,非控制權益變動,非金融資產減損損失,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,6842.0,304780.0,,,-34278,-24146,,,3827,10141,,-311433.0,,-78706,,-2721,10937,29465,-334513,,,,0.0,,,-366.0,630.0,,-1019.0,,336702,1756.0,,814820,0.0,-415000.0,75171,,,-694964,9403,-5720.0,-744771,174381,-24086,147853,-10837,889,3753,,2013年01月01日至2013年03月31日,507427,216154,-291273,261372,,1203766,1214310,,0.0,-367119.0,-779733,261372,-8966,861800,-213642,648158,0.0,111,0.0,,,540,,0.0,0.0,952938,-588,216154,-4349,0.0,,,,,,,149222,-18845,8568
2013-08-13,2,2013,12171.0,566731.0,,,26181,-3096,-276.0,0.0,1086,107636,,-679310.0,,-189499,,-5637,20646,37424,-496766,,0.0,,0.0,,,-490.0,0.0,,-1455.0,,610591,,,733607,0.0,-850000.0,137787,,,-672783,-20009,-19945.0,-863437,384239,-66617,265128,-20528,5401,8966,,2013年01月01日至2013年06月30日,507427,622546,115119,1038096,,2384026,2563559,,0.0,-694650.0,-1442894,1038096,-8966,888883,69849,958732,100000.0,166,435191.0,121868.0,,989,,-35222.0,0.0,1525463,-927,622546,-173372,,,,1756.0,0.0,,,47786,-53142,11094
2013-11-12,3,2013,15590.0,958106.0,0.0,,86352,19761,,,3393,59847,9320.0,-688453.0,,-366319,67221.0,-9716,29542,3607,-559656,0.0,0.0,,0.0,160613.0,,-490.0,0.0,,-2209.0,,325203,1756.0,,625883,,-405000.0,52365,,,-511066,6598,-29397.0,-1068447,598716,-105101,417366,-29391,8094,36364,,2013年01月01日至2013年09月30日,507427,707413,199986,1870815,,3409637,3656490,-1043796.0,,-807091.0,-2144811,1870815,-36364,738097,89472,827569,100000.0,166,435191.0,,,7319,,-35222.0,0.0,1785675,1903,707413,-261920,,,,,8755.0,,,189129,-47290,-2402
2014-03-25,4,2013,18790.0,1006039.0,6.0,-200000.0,150020,2659,,,-16976,76989,9320.0,-629118.0,,-559912,67480.0,-14957,38223,25640,-592606,0.0,0.0,,0.0,,0.0,-789.0,,0.0,-6115.0,,364811,1756.0,0.0,643061,0.0,-800000.0,50259,,,-455016,4427,-46778.0,-1288600,848333,-218658,551694,-38247,14038,281742,,2013年01月01日至2013年12月31日,507427,855816,348389,2608287,,4615155,4620672,-1043794.0,0.0,-1171088.0,-3003806,2608287,-281742,798658,207688,1006346,200000.0,772,435193.0,160612.0,,6200,,-35222.0,0.0,2012385,3108,855816,-263050,,25898.0,,,0.0,,,213818,-96643,15964
2014-05-13,1,2014,5095.0,370002.0,,-400000.0,-190779,-26038,,,5661,-16958,,-244695.0,,-80083,,-5886,6540,16189,-129678,,,,0.0,,,-477.0,-12.0,,4564.0,,-322551,0.0,,245089,0.0,225000.0,-9398,,,321775,-9379,-5675.0,-459080,216851,6113,144873,-6595,3423,3753,,2014年01月01日至2014年03月31日,855816,802214,-53602,193624,,508219,513064,,,-143918.0,-118930,193624,-3753,30302,-80864,-50562,200000.0,57,0.0,,,169,,,0.0,319440,-332,802214,-5426,,,,,,,,-27713,-8768,-14264
2014-08-12,2,2014,,638201.0,,-600000.0,-115290,15586,0.0,,4418,-12316,0.0,-76868.0,,-239099,14663.0,-12425,13997,-3268,-323427,,,,0.0,,-127105.0,-626.0,,-13.0,5392.0,,25879,,,262974,,110000.0,15483,,,-209715,-23399,-9733.0,-901636,411544,-85564,280545,-13843,12614,181822,,2014年01月01日至2014年06月30日,855816,983070,127254,514841,,940462,1088612,,,381709.0,91696,514841,-16264,154787,-219217,-64430,200000.0,65,0.0,0.0,,4995,,0.0,,573771,-198,983070,-328743,,10930.0,,,15780.0,-123380.0,,-15252,-16588,-2867
2014-11-13,3,2014,,1078407.0,,-600000.0,-208757,-12764,,,7021,-21827,9320.0,44601.0,,-421426,185167.0,-19198,22720,14800,-387563,,,-87947.0,,,-128148.0,-627.0,,-14.0,5633.0,,-70946,0.0,,180516,,265000.0,-5231,,,-93165,-41689,-13840.0,-1140513,625204,-170626,480883,-22207,16907,77807,,2014年01月01日至2014年09月30日,855816,927617,71801,798140,,1214064,1537453,-1019093.0,,928237.0,-16550,798140,-77807,-35871,-303223,-339094,400000.0,731,0.0,0.0,,5309,,-125.0,,739313,817,927617,-395896,-18.0,11118.0,,,15780.0,-124980.0,,-62832,-40787,3603
2015-03-24,4,2014,21735.0,1462466.0,0.0,-600000.0,-174072,-24428,,,1409,-237,9320.0,0.0,79122.0,-711961,166751.0,-25980,31683,52987,-452859,,,,,,-134702.0,-626.0,,6.0,4812.0,,295279,0.0,,-142993,,35000.0,9129,,,637816,5105,-55903.0,-1558750,862363,-156113,621692,-31383,24943,77807,,2014年度,855816,1081542,225726,753928,,2465951,2777174,-1019093.0,,640305.0,-734462,753928,-77807,-373247,934027,560780,200000.0,384,0.0,0.0,-59342.0,5606,,-286.0,,2023246,381,1081542,-382590,-16.0,12838.0,,,,-218811.0,,20492,-64767,-11198
2015-05-12,1,2015,1481.0,,,0.0,-100629,45904,,,6241,1688,,-173677.0,,-253553,,-5428,9675,-14175,-23913,,,,,,,0.0,0.0,,-886.0,,236254,,,-19717,,-92000.0,-4109,,,-220714,-13436,,-639328,207116,-89251,208365,-9786,3928,3217,335877.0,2015年01月01日至2015年03月31日,1081542,713687,-367855,387200,-4596.0,617862,622214,,,-240214.0,-332214,387200,-3217,-127177,26314,-100863,0.0,268,-58855.0,,-94334.0,83,,-52.0,,235014,-489,713687,-1711,-43.0,7148.0,,,,,8314.0,-23382,-42692,-3878
2015-08-13,2,2015,4544.0,,,-200000.0,68524,55917,,,5156,-1635,,-383851.0,,-299455,,-12528,14756,-33625,-109875,-1569.0,,-180183.0,,,0.0,0.0,,0.0,,321.0,102280,,,58899,-305000.0,,4099,,,-567960,-22160,,-776861,416690,-265749,366655,-15224,12932,249121,509046.0,2015年01月01日至2015年06月30日,1081542,862768,-218774,1499977,-9702.0,1713241,1654317,,-616529.0,,-1121529,1499977,-19481,124168,-478874,-354706,0.0,332,,,,-2724,254126.0,-209.0,,154340,-580,862768,-187905,-56.0,7148.0,0.0,,0.0,0.0,,-45316,-56707,-2228
