date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還特別股負債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-08,1,2013,88527.0,,,0.0,70257,10198.0,,,,,,,,395933.0,-3840,-87028,,,-362,,,,,-34420.0,0.0,,-922,65848,-5635,-608,,,,0.0,-2281.0,,,-1308067,101149,-22223,,,,30585,,162498,,,-12825,,118.0,360905,694,1991,-65848,922,,2013年01月01日至2013年03月31日,873627,1230925,20901.0,357298,-46287,,-830920,-765908,,,,-743976.0,832948,-46287,510119,-1318267,-808148,1569007,,15.0,-719621,,1230925,-86,,,-72845,334435
2013-08-09,2,2013,139139.0,,,,42676,53672.0,,,,,,,,218203.0,4310,-113665,,,-538,,,,,-46.0,,,-2706,136210,42240,-1413,,-91.0,0.0,,,-1529893.0,,-2496175,-68512,-5923,,28300.0,,54248,,151163,,,-8265,,237.0,-1313240,1685,3935,-140501,2706,,2013年01月01日至2013年06月30日,873627,683885,,-189742,342356,,-2007612,-1854425,-200000.0,,411566.0,,3088870,342356,780067,-3115987,-2335920,2150259,,15.0,-2196781,1181.0,683885,-15392,645073.0,,-649045,752388
2013-11-08,3,2013,220001.0,,,,104197,25334.0,,,,,,,,224996.0,35385,-110614,30476.0,,-996,,,,,-46.0,,,-2954,214940,3799,-3891,,-91.0,0.0,,,-1512001.0,,-3440229,-40370,-14740,,188300.0,,47302,,142967,-18000.0,,-1265,,278.0,-1317601,2136,5864,-216445,2954,,2013年01月01日至2013年09月30日,873627,873335,,-292,830384,,-1849774,-1620891,-200000.0,,-1001239.0,,3163284,830384,1132827,-3804103,-2671276,3519913,,15.0,-2451275,338.0,873335,-15392,630976.0,-26568.0,-376962,970957
2014-03-25,4,2013,51351.0,,,,-103104,2235742.0,,,,,,,-83.0,,28112,-70094,39048.0,,-814,-91217.0,,31177.0,,-147.0,,,-7320,47725,87850,-6060,,-90.0,0.0,,,-349526.0,,-4962747,750135,80652,,188300.0,,135080,,-757737,-820.0,,-71813,,-510.0,-447040,3231,7700,-47200,6198,,2013年01月01日至2013年12月31日,873627,1835075,,961448,2744538,,-2787083,-2434102,-400000.0,,-1234273.0,,4107721,2744538,978837,-6208828,-5229991,2100271,,15.0,-5178640,6749.0,1835075,-311979,1186504.0,,-345534,43489
2014-05-06,1,2014,17883.0,,,,226128,363763.0,-1240.0,,,,,,82.0,0.0,-6421,-10556,,,66,-937690.0,,30146.0,,,,,-5696,20595,-6836,-4718,,,,,,297064.0,,-765419,-302091,-90268,18553.0,,-37000.0,-50497,,757663,-23200.0,0.0,57430,,112.0,-645344,1171,1813,-26375,1785,,2014年01月01日至2014年03月31日,1835075,1294354,,-540721,-50780,,-202026,-162234,,,,-636478.0,313485,-50780,547820,-677157,-129337,599120,,0.0,-111454,1113.0,1294354,-15202,-6066.0,,-693157,752365
2014-08-08,2,2014,31124.0,,,,250715,1609557.0,-802.0,,,,-737894.0,,81.0,-1138205.0,-4376,-62473,,,-101,,,4699.0,,0.0,,,-14389,39507,-61424,-7702,,0.0,,,,311424.0,,-1015178,-115531,-86873,5634.0,0.0,-33500.0,-31946,,922555,-660.0,,48038,,-10.0,-1572377,2383,3623,-38747,13713,,2014年01月01日至2014年06月30日,1835075,3602990,,1767915,551998,,376423,535216,-200000.0,,364249.0,,3025293,551998,1008999,-1056905,-47906,1169312,,0.0,-16782,1052.0,3602990,-133759,110976.0,,-949268,991237
2014-11-06,3,2014,43166.0,,,,132369,2396027.0,-1327.0,,,-48536.0,-1750711.0,,50.0,-4078012.0,-10937,-43193,,,-40,,,32946.0,,-350.0,,,-34192,68267,-216538,-10829,,0.0,,,,320710.0,,-4716367,92143,-108313,4667.0,-66500.0,,-117379,,925618,-13660.0,,34349,,51.0,-5519183,3648,5443,-75938,33516,,2014年01月01日至2014年09月30日,1835075,1539071,,-296004,1013089,,-2096935,-1828538,-200000.0,,3000551.0,,7536652,1013089,1196896,-4081689,-2884793,1993878,9.0,0.0,-2841627,94.0,1539071,-225975,379750.0,0.0,-219950,1205568
2015-03-27,4,2014,20008.0,,,,189059,2931700.0,-897.0,,,-9038.0,-2804967.0,,79.0,,-15291,-16201,0.0,,142,-4409032.0,,57601.0,,-776.0,,,-91032,93207,107860,-14414,,0.0,,,,339501.0,,-6736070,780186,-32159,-8049.0,-113400.0,,-92259,,923868,-20963.0,,63671,,-118.0,-6889678,4946,12887,-100397,92326,,2014年度,1835075,2082427,,247352,1211316,,-3289907,-2997071,1280000.0,,3652632.0,,10319077,1211316,2099311,-6327706,-4228395,2300666,10.0,0.0,-4208387,235.0,2082427,-284765,209878.0,,-533052,1278462
2015-05-12,1,2015,,,,,142617,-1307406,-594,,,,438510,,-28,,-10740,-188125,,1624731,105,198490,,13542,,,,,-26034,26058,-28660,-443,,,,,,-5551,,-839145,-105641,-32003,0,,0,140402,,1496,0,,6737,,,631006,1944,5034,-18350,10123,7002,2015年01月01日至2015年03月31日,2082427,2316350,,233923,-167330,-32,-3333873,-3311697,,,,-477944,2965450,-167330,257747,-3409116,-3151369,868430,,0,-3144367,170,2316350,-13949,2244097,,-2390051,123463
2015-08-11,2,2015,,0.0,,,107880,,-451.0,-1014417.0,,,,384345.0,-5.0,,-16821,-147669,,,-528,,68695.0,0.0,,-220.0,,,-66614,81848,-96927,-14571,-750.0,,-38550.0,35447.0,,,26310.0,-1612547,-17378,-61674,0.0,313800.0,,98798,,-1538,-365.0,,-20933,,,425259,4093,10551,-71605,12516,29878.0,2015年01月01日至2015年06月30日,2082427,2187561,,105134,-343904,59.0,-1548406,-1389350,,,,-317835.0,1325208,-343904,607509,-1682833,-1075324,671838,,,-1045446,321.0,2187561,-99967,1636375.0,,100224,497303
