date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,119639.0,,25777,,-3464,,,,,3570,-456167.0,,-20361,1549.0,,,,-2833.0,,,,,,1945,-1846,-26928,,,,-23578,-8118,,,-3300.0,43503,0,,-199435,69649,16409,2159,-1974,,,,2013年01月01日至2013年03月31日,514449,198112,-316337,-140710,-31756,-29782,,,-80000,-83300,-166487,,-9012,301,-8711,,,,,,,283660.0,29477.0,110928,198112,,1021.0,,,,,
2013-08-14,2,2013,167607.0,,33228,,-23937,,,,-10960.0,-2262,-172812.0,6483.0,7165,5781.0,-6811.0,,,,,,,-4864.0,,3477,-4036,-97393,-2753.0,0.0,,-4821,-11807,-9022.0,41755.0,,66852,2233,-507.0,-272958,132724,3173,3620,-3522,,,,2013年01月01日至2013年06月30日,514449,126978,-387471,-254804,-72232,-68710,,157000.0,-237000,-38245,-288032,,-32909,51396,18487,,0.0,,,0.0,29477.0,0.0,,186094,126978,0.0,100.0,,0.0,0.0,,
2013-11-12,3,2013,180811.0,,33228,,-24680,,,,-4336.0,42273,-172812.0,6689.0,9578,5195.0,-2700.0,,,,,,,-13373.0,,5929,-6189,-108023,-6095.0,0.0,,33666,-29889,-31936.0,33591.0,,77568,8553,-507.0,-286930,140390,13442,4946,-5974,,,,2013年01月01日至2013年09月30日,514449,102624,-411825,-332322,-72297,-66323,,157000.0,-237000,-46409,-365550,,-79414,164602,85188,,0.0,0.0,,0.0,29477.0,,,265999,102624,0.0,-4286.0,,0.0,0.0,,
2014-03-28,4,2013,361655.0,,33228,,-22571,,,,-44477.0,-3471,-172812.0,2634.0,3711,-1123.0,-301.0,0.0,,,-9608.0,0.0,0.0,-10190.0,,8221,-4925,-132359,-6520.0,18133.0,,107845,-42200,4900.0,128854.0,-36876.0,68979,7234,-507.0,-311691,148022,-34429,6644,-6429,,38090.0,,2013年01月01日至2013年12月31日,514449,57388,-457061,-606784,-132815,-164476,0.0,157000.0,-247000,-7630,-640012,,-58867,139520,80653,,0.0,,,0.0,29477.0,,,442308,57388,0.0,,195777.0,0.0,0.0,,
2014-05-12,1,2014,-14739.0,,0,,9196,,,,47253.0,3316,0.0,-2266.0,-4914,-153.0,,,,,59.0,,,-4011.0,,2819,-286,-7994,-428.0,-171.0,,6306,15589,-31855.0,,-12832.0,12236,1689,0.0,17403,13385,-13346,1602,-2822,,,,2014年01月01日至2014年03月31日,57388,52861,-4527,-53851,-15015,-12193,,102191.0,-100000,-6629,-53851,,-9489,65886,56397,3953.0,,,,0.0,-15017.0,25825.0,,41658,52861,,,,,,,
2014-08-12,2,2014,-47940.0,,0,-576.0,4968,,,,48575.0,3463,0.0,-3349.0,-13193,-306.0,,,,,-2675.0,,,-7906.0,,5941,-504,-41060,0.0,171.0,,-24835,23191,-20363.0,15012.0,-30259.0,33891,-821,0.0,43858,25309,-21684,2345,-5865,,,,2014年01月01日至2014年06月30日,57388,64167,6779,-63232,-65816,-59951,,169151.0,-147000,29241,-63232,,4141,47080,51221,25588.0,,,,,-52116.0,84918.0,,3281,64167,,0.0,,,,,
2014-11-07,3,2014,-41162.0,289.0,0,-2608.0,10010,,,,48292.0,48562,0.0,-2803.0,-13288,,,-2999.0,,,-2804.0,,,-11830.0,,9084,529,-61250,-90.0,171.0,,-9109,10278,5252.0,15012.0,-50163.0,30865,1129,0.0,23867,41238,-31634,3604,-9015,,,,2014年01月01日至2014年09月30日,57388,17275,-40113,-141458,-62447,-53432,,285062.0,-269150,-2062,-141458,,22737,106451,129188,25588.0,,,,,321.0,84918.0,-52116.0,88026,17275,,,,,,,
2015-03-30,4,2014,95166.0,289.0,0,-4660.0,-10512,108000.0,8783.0,,48813.0,5438,0.0,-2959.0,-14938,,-3265.0,,3185.0,,,,,-15880.0,,11794,16212,-101229,-90.0,171.0,,53782,-1688,33341.0,15012.0,-70202.0,51788,-5064,0.0,-12927,61204,-62522,4773,-11726,,43114.0,,2014年度,57388,14385,-43003,-418350,-128277,-159665,,341293.0,-333042,81989,-418350,,26965,136554,163519,25588.0,,,,,321.0,84918.0,-52116.0,258685,14385,,,0.0,,147421.0,,
2015-05-11,1,2015,,,0,-2070.0,-6989,25000.0,2952.0,,265.0,469,,142.0,89,0.0,2137.0,,,,,,,-4079.0,,4279,-359,-3691,0.0,0.0,,8982,-9344,-43321.0,25000.0,-20793.0,8822,4089,,94213,14978,-11545,1006,-3124,,,-23993.0,2015年01月01日至2015年03月31日,14385,26265,11880,-46539,-105363,-102239,,103755.0,-107503,23389,-46539,,-56560,24853,-31707,0.0,,269.0,,,97.0,97635.0,-28729.0,-55700,26265,,,,,,,
2015-08-12,2,2015,,,0,-4158.0,-10800,1000.0,-7508.0,,-1512.0,1046,,-4.0,8495,0.0,10365.0,,,,,,,-8088.0,,8243,-987,-4462,,4113.0,,37040,-8668,-57600.0,25000.0,-44241.0,6130,5075,,152222,29939,-19352,1678,-5323,,,-35884.0,2015年01月01日至2015年06月30日,14385,10796,-3589,-107666,-130871,-125548,,156727.0,-158281,-23953,-107666,,-84580,102582,18002,0.0,,269.0,,,97.0,156415.0,-52514.0,-17882,10796,,,,,,35943.0,
