date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-13,1,2013,-5399.0,,,,12166,-1854,396,8286,-2490,-479,-13263.0,-102,3852,2489,-4202,,,-45733,,0.0,-25038,338,8817,27249,48518,4819,-45000,53199.0,-2266,1663,-3904,221,3609.0,,2013年01月01日至2013年03月31日,180309,184042,559,3733,5674,-56998,-56906,,9724,,9724,5674,,-14628,-42553,-57181,,0.0,,127,0.0,,-62580,184042,-18,-788,,,,5682
2013-08-09,2,2013,-1583.0,,14565.0,,24839,-2270,-1838,8067,-4981,-116835,-13263.0,-244,8286,2296,-12857,,2815.0,-132107,,0.0,-25128,6667,11907,18924,-61237,9781,-1001,53199.0,-9126,3325,-8227,365,20529.0,,2013年01月01日至2013年06月30日,180309,307599,2876,127290,5285,-71656,-82892,,57887,,257887,5285,-5448.0,-441,-86153,-86594,200000.0,691.0,,-531,0.0,,-88177,307599,-1431,-54,,,,10327
2013-11-12,3,2013,-2097.0,,14565.0,,30746,-1727,-2341,7161,-7357,-147815,-13263.0,-329,12450,-3341,-54176,,2346.0,-62582,,0.0,-22555,7097,13033,37686,-133536,14483,642,53199.0,-14197,4399,-11768,453,22231.0,,2013年01月01日至2013年09月30日,180309,156672,1380,-23637,-11307,-4464,-13944,-8804.0,0,-153492.0,117704,-11307,-7150.0,5590,-6130,-540,280000.0,691.0,,-531,0.0,,-2637,156672,-1436,-1685,,,,-343
2014-03-20,4,2013,-4139.0,,14565.0,0.0,23937,-16380,-5857,6877,-10062,-157087,-13263.0,-418,16771,-1347,-272377,0.0,11106.0,-94113,,0.0,-10136,-8727,-7443,45812,-361017,19070,3639,53199.0,-30111,4435,-17072,588,24460.0,,2013年01月01日至2013年12月31日,180309,187452,704,7143,-12286,-69959,-76489,-8804.0,68270,0.0,439466,-12286,-7150.0,-10845,-49219,-60064,380000.0,683.0,,-522,0.0,0.0,-64203,187452,-1446,-1155,,0.0,-3606.0,12389
2014-05-12,1,2014,-2235.0,,,,-15257,-10561,2852,-950,-2602,-16476,0.0,-93,6163,3215,-166911,,0.0,-11572,,0.0,-10964,9671,28405,-5665,-183054,4391,0,0.0,-9107,12,-5945,93,0.0,,2014年01月01日至2014年03月31日,187452,158629,-5506,-28823,-16054,-40814,-34957,0.0,139330,,191830,-16054,0.0,-16300,-368,-16668,52500.0,333.0,,-324,0.0,,-18903,158629,-5,2229,,,,-25
2014-08-11,2,2014,-3589.0,,0.0,,-8653,15134,11694,1621,-5124,-3469,0.0,-234,13297,5364,-211121,,79.0,-179315,,0.0,-12935,8600,30524,-2120,-214257,13232,0,0.0,-23470,24,-12860,234,22680.0,,2014年01月01日至2014年06月30日,187452,121918,-3187,-65534,-47473,-188825,-198867,0.0,90345,,332184,-47473,-4966.0,-6418,-141387,-147805,241839.0,333.0,,-324,0.0,,-151394,121918,-12,1960,,,,-7231
2014-11-11,3,2014,8946.0,,2896.0,,-5664,16619,21317,1504,-7739,-6696,0.0,-292,20417,2750,-242174,,566.0,-83742,,0.0,6502,5686,-4648,3650,-245641,26227,0,0.0,-31622,36,-19905,292,25171.0,,2014年01月01日至2014年09月30日,187452,158985,-3187,-28467,-108667,-166956,-172502,0.0,137725,0.0,381380,-108667,-7457.0,20102,-92883,-72781,243655.0,333.0,,-324,0.0,,-63835,158985,-12,4582,,,,-26266
2015-03-20,4,2014,38254.0,,2896.0,,-13052,20627,20697,1691,-10430,-4270,0.0,-392,28329,1322,-249045,-8358.0,16194.0,-67502,,0.0,7166,13385,-42785,8629,-258444,40874,0,0.0,-39878,1299,-27865,392,25171.0,,2014年度,187452,93317,-5549,-94135,-195915,-233700,-231381,0.0,206768,,396687,-195915,-7457.0,17766,-91486,-73720,189919.0,333.0,,-324,,,-35466,93317,-17,2919,2239.0,,0.0,-12146
2015-05-12,1,2015,,,,,3122,-5732,-5663,21,-2569,-1264,0.0,-58,8322,-2431,-9456,,513.0,-4949,0.0,,31177,1172,-8156,-3176,-10720,13808,1134,0.0,3133,943,-8381,58,0.0,31007.0,2015年01月01日至2015年03月31日,93317,213146,4467,119829,-34667,3026,11350,0.0,129954,,129954,-34667,0.0,27239,-12229,15010,0.0,0.0,,3,0.0,,46017,213146,-1,-124,,,,8629
2015-08-11,2,2015,,,4595.0,,13955,-12585,-16435,-3892,-5078,-3021,,-143,16825,-5550,-12639,,-271.0,-70448,,,5493,-6801,6261,-6690,-11065,27528,-6524,,-10174,1869,-17058,143,29654.0,38432.0,2015年01月01日至2015年06月30日,93317,124280,5339,30963,-45318,-83888,-96616,,39512,,131466,-45318,-4851.0,-8866,-80864,-89730,91954.0,0.0,,3,,,-51298,124280,-11,2307,,,,13014
2015-11-03,3,2015,,,5440.0,-84734.0,17019,3266,-16767,-886,-7442,-19926,,-190,25533,12580,-20797,-4500.0,60.0,9000,,,1071,-3126,-14060,2587,-9873,41417,-5863,,-19782,2879,-25818,190,32522.0,41431.0,2015年01月01日至2015年09月30日,93317,116827,-1989,23510,-62782,-18880,-25757,,0,-3583.0,39683,-62782,-7719.0,-9245,4839,-4406,128000.0,0.0,29910.0,3,-290.0,,37025,116827,-17,1509,,,,10795
2016-03-24,4,2015,,,5440.0,-885758.0,6097,1580,-15598,-15249,-9731,-43669,0.0,-273,34617,13342,-64901,-4706.0,-140.0,-89842,0.0,,-4668,-9118,21247,-3301,-77926,55771,-5495,0.0,-35894,4008,-34982,273,32522.0,50329.0,2015年度,93317,87458,-2256,-5859,-87468,-177377,-175185,0.0,179857,,236102,-87468,-7719.0,-33018,-105028,-138046,942003.0,0.0,29910.0,3,-290.0,,-87717,87458,-5,2502,0.0,,,-13968
2016-05-12,1,2016,,,,-234058.0,-11687,-1720,-703,12137,-2183,-77139,,-214,10717,-7662,-15102,-214.0,823.0,44455,,,-579,6625,-27726,12327,89298,14544,2400,,-3994,1058,-10318,214,,17466.0,2016年01月01日至2016年03月31日,87458,258216,2036,170758,-26237,38783,48887,,-15603,,50339,-26237,,-8527,66185,57658,300000.0,,,0,-10686.0,181753.0,75124,258216,0,3182,,,,24312
2016-08-10,2,2016,,,3809.0,-242995.0,19912,-7535,-1716,15177,-28886,-101227,,-740,20782,-4367,-170299,-214.0,-91.0,96064,,,-17872,-128,2072,8118,-86178,28938,6960,0.0,-9651,2109,-20249,740,15430.0,36467.0,2016年01月01日至2016年06月30日,87458,173811,2671,86353,-94232,36658,40737,,-81765,,140240,-94232,-4888.0,-28690,127192,98502,465000.0,,,0,-10686.0,181753.0,134969,173811,0,2333,,5690.0,,6336
2016-11-10,3,2016,,104.0,3809.0,-251749.0,14142,2841,-1647,8404,-30171,-2058,0.0,-863,33084,-36246,-548019,-214.0,-162.0,148211,0.0,,220,-6940,-10550,11190,-364625,43371,6479,0.0,-11077,3171,-32016,863,17856.0,78513.0,2016年01月01日至2016年09月30日,87458,179095,17149,91637,-162527,38765,52062,0.0,240492,,453743,-162527,-7314.0,-24396,160472,136076,465000.0,0.0,0.0,0,-10686.0,181753.0,214589,179095,0,6150,0.0,5690.0,,-6103
