date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-10,1,2013,24556.0,,8867,-844,2194,1405,,5758,-575,1752,-11544,-56412,,-199149,-961,,,,12.0,,-77,,95260,-24416,2135,4851,-32274,,-809.0,-256599,21247,,,1325,0.0,249,,2013年01月01日至2013年03月31日,587194,540608,-4978,,-46586,145001,,,,221545,225926,,,,,12.0,145001,,-7178,63547,56369,,0,,0,,,,,80925,540608,-4630,27.0,,,
2013-08-07,2,2013,48442.0,,31700,-353,-1311,-28640,,4727,-1625,3510,-14599,-120698,,-364350,-6041,,,,11.0,,310,,116211,9140,2552,9246,-90035,3.0,-1627.0,-280297,43352,,,2779,0.0,1524,,2013年01月01日至2013年06月30日,587194,239815,-3810,,-347379,321733,,,,390897,417061,,-443391.0,,,-443380.0,321733,,49700,-2814,46886,,210482,,-491,,,,,95328,239815,-27688,0.0,,,
2013-11-12,3,2013,93213.0,,29356,-5170,1478,-8364,,3343,-1946,5273,-14862,-166715,,-404850,-7154,,,,9.0,,-111,,103090,-14078,4395,17232,-211025,-29.0,-2472.0,-219521,66812,,5186.0,4472,0.0,1905,,2013年01月01日至2013年09月30日,587194,243755,9200,1646.0,-343439,381444,,,,334326,389070,0.0,-443391.0,0.0,,-443382.0,381444,0.0,35911,-121498,-85587,,359309,,-773,,,,,7626,243755,-56649,0.0,,0.0,
2014-03-25,4,2013,123045.0,,37811,3369,512,5527,,1409,-2294,6043,-17366,-230283,,-618350,-17404,-900.0,,0.0,9.0,,643,,69258,-21594,1826,18753,-122442,3.0,-3322.0,-291712,91725,,20999.0,5784,0.0,2332,,2013年01月01日至2013年12月31日,587194,319501,4312,,-267693,426379,,,,484767,539125,0.0,-443391.0,0.0,,-443382.0,426379,0.0,33986,-44285,-10299,114.0,478692,120.0,-964,95776.0,-4089.0,,,112746,319501,-56690,,,0.0,
2014-05-09,1,2014,31124.0,,-45164,-3005,2176,397,,5480,-74,1526,-4005,-25297,,-75000,-1016,,,,0.0,,0,,13755,25919,-87,-18895,-13658,-13737.0,-852.0,47388,26384,,,2102,,102,,2014年01月01日至2014年03月31日,319501,403690,-3472,,84189,72242,,,,40806,50215,,,,,0.0,72242,,-36903,-16248,-53151,,147801,,-822,,,900.0,,-22027,403690,-9511,0.0,,,
2014-08-08,2,2014,59560.0,,-27203,-56,604,-2930,,5137,-793,3311,2152,-38743,,-129500,-4341,,,,0.0,,-56,,-20628,40489,37,-10481,-113069,7592.0,-1727.0,-12037,52863,,,4232,-254.0,417,,2014年01月01日至2014年06月30日,319501,486906,-4079,,167405,145760,,,,26840,77948,,0.0,,150450.0,150450.0,145760,,1719,-129091,-127372,,309028,,-1111,,,-148425.0,,-67812,486906,-51271,,,,
2014-11-07,3,2014,94992.0,,-35870,-3996,973,-6129,,13356,-2106,5617,-1059,-46721,,-171500,-11247,,,,0.0,,-61,,-32076,31333,-285,-11781,-99633,-6256.0,-2600.0,-70451,79383,,0.0,6447,,596,,2014年01月01日至2014年09月30日,319501,140896,-6593,0.0,-178605,220224,,,,67609,148896,,-325154.0,,150450.0,-174704.0,220224,,-18230,-148090,-166320,,309028,,-1112,,,-149950.0,,-71328,140896,-81883,,,,
2015-03-27,4,2014,109546.0,,-10734,-287,1693,-5410,0.0,2356,-3096,7688,-9826,-51934,,-284500,-13480,0.0,,,0.0,,100,,5849,36919,-827,-12104,-55230,-36715.0,-3472.0,-34353,105710,,0.0,9133,-1550.0,3118,,2014年度,319501,217772,-10993,,-101729,318942,,900.0,,267604,348170,,-325154.0,,,-325154.0,318942,,11475,-91793,-80318,0.0,314561,0.0,-1252,0.0,0.0,,,29228,217772,-82134,,,,
2015-05-11,1,2015,,,-29719,-4454,393,1074,,4750,-173,1550,4532,-4692,,-40000,-2677,,,,,,-50,,11490,27373,811,13308,44171,-36013.0,,155095,26456,,,2394,,173,42240.0,2015年01月01日至2015年03月31日,217772,490521,7777,,272749,43198,-906.0,,,113122,112966,,,,,,43198,,11260,16268,27528,,202514,,-514,,,,0.0,69768,490521,-17,,,,
2015-08-11,2,2015,,,-20833,1518,3005,-1574,,2869,-524,3105,5760,-10799,,-40000,-3074,,,,18.0,,-15,,21641,-5722,1014,11959,43360,-33589.0,,148626,52199,,,4839,0.0,530,65830.0,2015年01月01日至2015年06月30日,217772,536177,3856,,318405,91227,-1828.0,,,164001,176008,,,,0.0,18.0,91227,,-12405,31356,18951,,202514,,-514,,,,0.0,84781,536177,-12537,,,,
