date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,金融資產減損損失,附買回票券及債券負債增加,附買回票券及債券負債減少,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,8012686.0,,-308372,-2083815,182732,375062,,-15505023,18768893,-645355,,-237843.0,-14881,,-151471,7974,-24604,-7534669,,-726282.0,0.0,0.0,-60000.0,-157739,108566,28752.0,-110280,-1161780,,-2802944,-407076,-1638503,75523,83490.0,-3797362,7659656,1035,16387.0,-99706,296588,-8059,168867,297058.0,,2013年01月01日至2013年03月31日,30938472,35065755,86575,4127283,11558824,,8532592,8564005,,138300,-93900,-583343,11558824,,-18044.0,-4631487,-6376018,-11007505,,27,0.0,0.0,0.0,4181,,,,-767,950000,,,,,-2994819,48367,35065755,-23354,246,1018,-29395.0,6564,,,,,112324,-3382000,376136
2013-08-13,2,2013,15569689.0,18000.0,-358372,-3622071,-32697,740238,,-17729546,33820230,-527227,,-84389.0,-1451126,,-324410,14347,95288,-15586069,-35785.0,-1761867.0,0.0,0.0,-60000.0,-321109,138262,30072.0,-95308,-598617,,-1875442,-300594,674216,-7501,128022.0,478478,15360856,4603,16387.0,-302359,601967,-22264,334297,361115.0,,2013年01月01日至2013年06月30日,30938472,58987872,-68631,28049400,24602870,,27900239,31234536,,227292,-143900,-424605,24602870,16950.0,-34451.0,-5813753,-3124270,-8938023,,35847,0.0,1341910.0,0.0,9909,,,,6951,1570692,,,,9635.0,6631666,18852,58987872,-3312033,-34756,-41617,,26772,,,-84133.0,0.0,158282,-3409982,-88206
2013-10-31,3,2013,23348391.0,18000.0,-358372,-2750149,-29394,517357,,-17845775,37724255,-216867,,-76533.0,-910676,,-471040,23920,23130,-23307270,-35785.0,-1762132.0,0.0,0.0,-60000.0,-511871,173374,36536.0,-70400,-1024052,,-1137278,-371062,-155459,-4428,213456.0,618029,23110206,9361,16387.0,-525180,914917,-24004,539364,424437.0,,2013年01月01日至2013年09月30日,30938472,34749913,-7881,3811441,37673536,,45003787,52531764,-41502339.0,1238522,-274773,-41833505,37673536,45303.0,-43989.0,-4529154,-3961009,-8490163,,35847,4985.0,3984458.0,0.0,21914,,,,-76291,2396950,,,,15288.0,14858228,-16611,34749913,-7503973,1075,-71470,,28692,,,-108433.0,-826146.0,153371,-3086921,-366646
2014-03-25,4,2013,31374755.0,36000.0,-358372,447383,88473,589110,,-18198714,37927854,-1283,,21590.0,-290818,,-562808,36412,-9159,-36381555,-60127.0,-1762132.0,0.0,0.0,-90000.0,-39871850,253090,49936.0,-49979,-854692,,2075671,-280521,1219112,-25366,285251.0,-49166620,30954469,9097,16387.0,-674977,1237820,-36361,672249,474905.0,,2013年01月01日至2013年12月31日,30938472,14585105,20728,-16353367,49110373,,75288224,82868751,-41502339.0,1398522,-1255638,-42465812,49110373,69579.0,-78612.0,1734550,649073,2383623,0.0,204519,4985.0,3984458.0,0.0,-85512,,,,-76291,4236182,24182.0,-15425.0,,15288.0,33758378,-13349,14585105,-7544166,676,-137905,,66342,,,-108433.0,-769532.0,229264,-286905,-730453
2014-05-13,1,2014,8301804.0,,0,-3077926,3077,-63673,,-230951,322212,-72805,,18225.0,-188118,,-59123,8726,33713,-5768063,-26719.0,0.0,,,-50000.0,-58272,51292,0.0,-78328,-1252509,,-3192133,-54025,-132198,7285,97291.0,-5239080,8043905,91,0.0,-172106,323496,-8711,60952,0.0,,2014年01月01日至2014年03月31日,14585105,18985956,-71990,4400851,12341702,,9616321,9651711,,50000,0,-10103,12341702,26566.0,0.0,-6369481,-4622314,-10991795,,5274,,44217.0,,8510,,,,-15662,650388,,,,0.0,-2689991,9540,18985956,-26679,713,-85918,,629,,,0.0,,156848,-3108505,-69387
2014-08-12,2,2014,16839591.0,43740.0,0,-4187853,6328,-1306006,,-411000,434607,-274231,,-4739.0,-340956,0.0,-142732,19285,-30690,-13089921,-47078.0,0.0,,,-133485.0,-149163,148370,0.0,-58707,-593196,,-3255927,82927,-855279,-376,194124.0,-11561066,16105591,91,0.0,-391722,784700,-19270,21857,451807.0,,2014年01月01日至2014年06月30日,14585105,28141343,107722,13556238,25130017,,24032797,28057280,,830643,0,1115197,25130017,53131.0,-76998.0,-7711531,-6200797,-13912328,348000.0,3808,3489.0,81229.0,,19505,,,,-44377,1570000,,,,0.0,2927263,-12966,28141343,-4005213,456,-134874,,8976,,,0.0,,247684,-3171800,-403290
2014-11-11,3,2014,25301682.0,43740.0,-50000,-3846431,9559,129080,,-411000,437273,-644967,,44817.0,-262246,,-215907,34127,-5104,-20971880,-59583.0,0.0,,,-133485.0,-342670,211405,0.0,-76901,-993550,,70864,-185402,-2990860,6305,302558.0,-18216736,23990235,91,0.0,-667017,1498752,-33749,36602,513205.0,,2014年01月01日至2014年09月30日,14585105,8099025,199190,-6486080,36809036,,42444542,50726820,-35103221.0,895000,-134357,-30708782,36809036,79696.0,-77658.0,-3431764,-7952134,-11383898,348000.0,3590,3489.0,81229.0,,33373,,,,-45795,2845000,,,,0.0,13917784,-13465,8099025,-8248529,-3830,-181943,,8976,4000000.0,,0.0,-632120.0,256135,-3458233,412496
2015-02-13,4,2014,32886710.0,83892.0,-148000,-1867671,12955,741399,,-411000,470666,1268003,180728.0,,-718670,,-288134,46148,87873,-32559459,-59583.0,0.0,,,-252485.0,-644165,325691,0.0,-69047,463214,,2972181,-148844,-3618366,-11705,489151.0,-27377505,31896394,91,0.0,-797473,2218298,-42718,339846,667067.0,,2014年度,14585105,23559603,-164039,8974498,46559138,,71380399,79795773,-35103221.0,895000,-584957,-35116269,46559138,93287.0,-77658.0,1623468,-1273543,349925,348000.0,149260,3489.0,81229.0,,-25276,,1214908.0,-605353.0,-45795,4257500,0.0,0.0,,0.0,33236635,19229,23559603,-8372656,-1142,-302862,,23334,13000000.0,-13000000.0,0.0,-634772.0,288428,-116179,449329
2015-05-11,1,2015,,,-50000,-1205451,-128225,302729,,-1000,135800,292428,,74194.0,238547,,-67297,8657,-32963,-5531847,0.0,,,,0.0,-74653,180264,,-123227,165821,,-3622725,-152314,-1545056,20451,,-4452093,7783538,1142,,-300526,770295,-8775,68850,,8377323.0,2015年01月01日至2015年03月31日,23559603,30801465,-113624,7241862,12523058,99942.0,11785223,11721455,,1050000,-1054400,-58305,12523058,14481.0,,-5032899,-4146027,-9178926,,397,966.0,0.0,,29100,45128.0,,,240,700000,10847.0,-7409.0,20.0,,-801603,25471,30801465,72543,288,319098,,25910,,,,,53386,-3383542,-368695
2015-08-11,2,2015,,0.0,-100000,-2233733,-125674,725534,,-11448339,553677,-254280,,466393.0,361789,,-162102,15502,-77431,-10320391,-22338.0,,,-1002167.0,-5607.0,-126593,189959,,-107203,292322,,-3191146,23877,-1494289,59370,,-19677603,15414664,1142,,-488890,1539430,-15569,138565,405702.0,16467711.0,2015年01月01日至2015年06月30日,23559603,34284519,-5874,10724916,26072936,201192.0,29915286,33125882,,2750000,-2454400,564664,26072936,28962.0,-218172.0,-5417467,-3997298,-9414765,0.0,1286,966.0,0.0,,43762,45128.0,,,240,1775000,10847.0,-8058.0,20.0,,7052946,30571,34284519,-3195027,1002,173859,,25910,,,,-35254.0,91356,-3327097,-296413
