date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得無形資產,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少
2013-05-09,1,2013,19345.0,-24794,-657,-58,,,,-168,0.0,-19042,-1000,,18845,29791,-2471,6672,40381,,-20042,16483,916.0,-300321,4263,0.0,18,,2013年01月01日至2013年03月31日,547705,353857,-1233,-193848,37800,-173806,-173824,,,0.0,0.0,37800,,3384,-234353,-230969,,-211624,353857,0,,,727
2013-08-06,2,2013,41005.0,-33244,-2935,181,13155.0,,,-729,0.0,-38643,-4542,,13875,24525,-4941,-6819,23256,,-43185,34403,-285.0,-301137,8645,0.0,431,,2013年01月01日至2013年06月30日,547705,330024,-1314,-217681,78160,-174496,-149886,,,0.0,0.0,78160,,-609,-268442,-269051,,-228046,330024,-25041,,0.0,5318
2013-11-06,3,2013,65559.0,-14280,-4259,786,0.0,,,-1304,0.0,-57678,-26034,-3.0,31442,11694,-5852,22034,11488,,-83715,51920,-447.0,-251918,13373,0.0,892,,2013年01月01日至2013年09月30日,547705,265859,1570,-281846,94460,-57161,-32965,,-140970.0,0.0,-140970.0,94460,,-8099,-184885,-192984,,-127425,265859,-25088,,0.0,6328
2014-03-20,4,2013,92375.0,-2553,-4159,-34,-304.0,,,-1714,0.0,-65273,-26327,-2822.0,-22249,57399,0,36995,5542,,-94422,68805,,-229511,18296,0.0,1447,,2013年01月01日至2013年12月31日,547705,338321,-1815,-209384,114847,26008,49683,0.0,-140970.0,0.0,-140970.0,114847,0.0,54508,-212047,-157539,,-65164,338321,-25122,4174.0,4629.0,1335
2014-05-02,1,2014,18228.0,-17841,-5855,20,,,,-553,,-2863,-2250,,-67397,-29236,-2070,-864,24796,,-5113,15482,,0,5411,,318,,2014年01月01日至2014年03月31日,338321,309444,-762,-28877,55658,-23764,-24081,,,,,55658,,-49127,-48840,-97967,,-79739,309444,-1,-1350.0,,480
2014-08-05,2,2014,40720.0,8059,128,64,0.0,,,-1451,,-22889,-10393,-170.0,-69443,1327,-4507,-43561,2795,,-33452,31623,,80000,11162,,1190,,2014年01月01日至2014年06月30日,338321,443624,1316,105303,133300,138755,152799,,,,,133300,,4943,-26164,-21221,,19499,443624,-15234,-1930.0,,3917
2014-11-10,3,2014,58912.0,33421,-2281,933,,,,-3466,,-39916,-25257,-2774.0,-114126,-16183,4350,-48283,15531,,-67947,47398,,238480,17203,,1585,,2014年01月01日至2014年09月30日,338321,541017,-2920,202696,198157,341128,365805,,-70485.0,,-70485.0,198157,0.0,22521,86215,108736,,167648,541017,-26262,697.0,0.0,-3106
2015-03-12,4,2014,73199.0,41776,5066,152,-280.0,,,-5754,,-54285,-27181,-2776.0,-26766,-60411,407,-66697,16074,,-84242,63023,,201243,23264,,1679,,2014年度,338321,602626,-7616,264305,262471,419032,443884,0.0,-70485.0,,-70485.0,262471,,-18356,126570,108214,,181413,602626,-26531,282.0,0.0,-2350
2015-04-29,1,2015,,-36933,-1703,2,0.0,,,-2777,,-16150,-1798,-464.0,6267,30442,-2300,21052,12317,,-18412,14365,,10181,6377,,2918,34892.0,2015年01月01日至2015年03月31日,602626,711520,1688,108894,40425,119986,117357,7320.0,,,7320.0,40425,14517.0,-8789,50829,42040,292.0,76932,711520,-289,430.0,,2715
2015-08-10,2,2015,,-33747,-975,20,,,,-5753,,-37152,-2209,-155.0,9195,2090,-4421,52828,22544,-24.0,-39516,29405,,-1648,13073,,5927,66116.0,2015年01月01日至2015年06月30日,602626,731178,228,128552,50298,160748,165486,7320.0,,,7320.0,50298,28885.0,-36058,85130,49072,292.0,115188,731178,-10665,-14.0,0.0,3210
2015-11-09,3,2015,,-10342,-1419,305,,7030.0,,-8325,,-61517,-18539,-152.0,51854,35908,4193,-50380,328,,-80208,44658,,43498,18347,,8577,92449.0,2015年01月01日至2015年09月30日,602626,658861,-7026,56235,153620,300773,317933,,-171360.0,,-164330.0,153620,44518.0,30064,41800,71864,292.0,164313,658861,-25737,-15.0,,-2081
2016-03-10,4,2015,,16572,-7130,26,-821.0,6990.0,,-10931,,-87070,-21471,-317.0,-9205,34032,1144,26524,29285,,-108858,60761,,-1203,22882,,11473,132074.0,2015年度,602626,769691,-924,167065,235191,440293,454841,,-171360.0,,-164370.0,235191,60170.0,50953,36623,87576,292.0,219650,769691,-26021,-176.0,,-1648
2016-04-27,1,2016,,-54372,6590,-20,-204,0,,-2459,,-21655,-1799,0,28169,-5103,-2650,33365,2892,,-23454,17372,,0,4478,,2103,32366,2016年01月01日至2016年03月31日,769691,862436,4420,92745,71958,116199,114275,0,0,,0,71958,8523,-62349,72300,9951,450,42317,862436,-179,-418,0,1284
2016-07-26,2,2016,,-43705,1143,-187,-204.0,0.0,-3000.0,-4363,,-52147,-848,0.0,-17211,-2687,-5868,-6343,21326,0.0,-55995,35433,,-20000,8797,,5034,58178.0,2016年01月01日至2016年06月30日,769691,824290,1509,54599,133505,110594,123090,0.0,0.0,,0.0,133505,17046.0,-52651,-15942,-68593,450.0,-10415,824290,-17530,-694.0,,5143
2016-11-09,3,2016,,-7241,-2876,284,-204,-21,-3000,-5860,,-84942,-20791,0,-51060,91137,4473,-143108,-35773,,-108733,54150,,10000,15136,,6528,91582,2016年01月01日至2016年09月30日,769691,668459,3054,-101232,260619,178783,211782,,-171261,,-171282,260619,25570,88449,-228868,-140419,450,-48837,668459,-39527,-918,,-6051
