date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-04-25,1,2013,,18024584.0,,0.0,-15624254,,-434381,-2951914,-10111.0,-4190.0,,-13424,,-33293,-69854,1280470,300595,-7462746,-135167,0.0,0,,-154484,0.0,159840.0,-4699325,0.0,,486784,491009,-191222,43.0,5294580,-826070,-32059,,-7235409,16513734,,-75661,205525,-1115380,98962,,,2013年01月01日至2013年03月31日,76655675,64975641,1180007,-11680034,-3205390,,1862903,3020601,,,,-2684535,-6608123,-3205390,,-8579615,-3218978,-11798593,11611591,54345,7552,0.0,-2989,,,,-47703,154191.0,6225991,-8921737,,64975641,-141280,-925652,,243559,
2013-08-14,2,2013,,35607807.0,,0.0,-23861838,,-2702507,801155,-34150.0,24077.0,-1520380.0,-8609,,-80027,-151909,2519647,-75062,-13512448,-140654,0.0,-194743,,-155411,0.0,158636.0,355189,,-62329.0,-2607617,1088159,-97445,44.0,-3771214,1201599,47718,0.0,-11844425,32427868,,-334848,413461,-2180849,176541,10.0,,2013年01月01日至2013年06月30日,76655675,77652749,2460318,997074,939838,,17491801,19833695,10280650.0,,,-6052397,-4575240,939838,-2761.0,-15372474,-1341476,-16713950,16566007,420501,7552,46997.0,-66275,-260210.0,,,-518441,1638553.0,18893857,-11018958,-111525.0,77652749,-337596,-885372,0.0,168129,
2013-11-07,3,2013,,51345763.0,,0.0,-37296876,,12789,32682,514.0,-20805.0,-2544796.0,0,334724.0,-99701,-228857,3704815,-100725,-20106024,-144650,-939.0,-1216343,,-145217,,160813.0,558459,,-102630.0,421897,973715,-41269,,-7525349,1635419,-31524,,-18958516,47698558,,-416187,630936,-3295490,252533,230861.0,,2013年01月01日至2013年09月30日,76655675,69974592,1851280,-6681083,3690195,,30278433,33523025,10280650.0,,,-7713629,-17900275,3690195,-2814.0,-16161815,-5351118,-21512933,19501762,559183,7552,47019.0,-76456,-260210.0,,,-540411,1660359.0,29832830,-17529461,-191461.0,69974592,-432496,-881309,0.0,17831,
2014-03-11,4,2013,,67169547.0,,0.0,-48378183,,-530671,462182,,-12393.0,-3147405.0,0,193209.0,-115451,-329360,4782832,23381,-25457759,-209478,-939.0,-1654318,,-145746,,160295.0,4388083,,-134210.0,-3893896,161941,-105292,140.0,-3016479,1949337,-3516,,-23223792,62763514,,-454268,874233,-4148281,345215,233302.0,,2013年01月01日至2013年12月31日,76655675,76312272,1598293,-343403,5236028,,49642444,53889797,10280650.0,,,-5162876,-26785436,5236028,-2855.0,-22282992,3767214,-18515778,19629576,587337,1063157,625185.0,-70569,-260210.0,,,-1813751,1729729.0,48653769,-17915214,-222192.0,76312272,-677589,-462303,596102.0,138548,159532.0
2014-05-12,1,2014,,17028605.0,,-634845.0,-25972359,,-2637420,4300100,,,-64613.0,-300748,,-24568,-104987,1007533,-288339,-5594213,-1682,,-18150,,-106640,,-3390.0,-65162,,-15550.0,-3988012,-1298823,-59339,-140.0,-1610670,-265445,58121,,-5008454,14859815,,-82522,204795,-844148,107216,,,2014年01月01日至2014年03月31日,76312272,73077313,1530893,-3234959,299357,,10448970,11443477,,,,-2209057,-8387136,299357,,-8301429,2416944,-5884485,20249378,826482,56000,1774.0,-51751,,,,-62237,25473.0,11144120,-317695,-29088.0,73077313,-257575,-203728,,351000,
2014-08-13,2,2014,,30955183.0,,,-38458207,,-1328637,4037293,,,-2177048.0,-292154,,-49636,-234458,2388107,-263789,-10545332,-1682,,-17723,,-108549,,4126.0,1993164,,-64302.0,-3397838,-1373291,-88129,-140.0,-6763091,30231,70339,,-8798366,29105766,48258.0,-227198,416215,-1641339,233337,0.0,,2014年01月01日至2014年06月30日,76312272,76535803,920107,223531,4479100,,25864838,27952618,0.0,,,-2134124,-16579152,4479100,-4349.0,-6849601,-632064,-7481665,26242252,857031,1121865,1772.0,198863,0.0,,,-1003437,25473.0,23473518,-661566,-51438.0,76535803,-679778,-439057,,56524,
2014-11-14,3,2014,,45213426.0,,,-52441145,,-365500,1616266,,,-5050706.0,-142824,,-74974,-341455,3265476,159037,-13919432,-1681,0.0,-17724,,-94454,,15412.0,1936869,,-161105.0,-906854,-1268902,-26049,-140.0,-6943506,-329571,70377,,-11566578,42759050,48258.0,-343333,628059,-2419906,334951,322236.0,,2014年01月01日至2014年09月30日,76312272,75413600,644510,-898672,12047262,,45520227,48081557,0.0,-1443637.0,,-2780674,-35011358,12047262,-4350.0,-5529566,-3649565,-9179131,26679985,888083,1120462,417395.0,342199,0.0,,,-1315079,25473.0,36034295,-2962121,-58786.0,75413600,-798611,-126786,,119273,
2015-02-12,4,2014,,59686325.0,,,-67382137,3104271.0,2438673,3975103,,,-5978884.0,-83640,0.0,-3076167,-468390,4045133,408617,-16970961,-1681,-2529360.0,-291337,,-87132,,14735.0,1465257,,-176823.0,-4143917,-3632680,-213371,223.0,-13877774,2402424,60153,,-13106837,56064469,48258.0,-499865,838259,-3145859,442638,322236.0,,2014年度,76312272,81965333,1605972,5653061,19980459,,63392732,66700641,0.0,-1443637.0,,-3075852,-45041451,19980459,-4350.0,-6991306,-5974837,-12966143,32956812,941439,1122214,452455.0,307630,0.0,1061297.0,-279729.0,-713222,25473.0,46720182,-1440234,-63445.0,81965333,-926924,-264181,107494.0,-30621,2263540.0
2015-05-11,1,2015,,,,,-12842882,,-2465370,-597986,,,-1877223.0,0,129183.0,-6805,-116440,858280,55631,-5218015,0,,0,35035.0,0,0.0,5039.0,-1794514,,39747.0,-5104740,-662139,14013,-363.0,2209329,-483595,-4318,,-5055176,13178547,,-177085,208050,-769952,108962,,13775236.0,2015年01月01日至2015年03月31日,81965333,78324641,263499,-3640692,5773833,-20288.0,12456849,13372551,,,,-381322,-11097996,5773833,,-5505434,-671084,-6176518,4097416,28617,0,0.0,-34545,,,,0,0.0,7598718,2733453,5384.0,78324641,-254712,-443396,,-129020,
2015-08-10,2,2015,,,,,-22325036,,-372324,-6171857,,,-3333896.0,0,131407.0,-6738,-262649,1560498,35289,-10178280,0,,0,37843.0,0,-2158.0,0.0,-1294178,,20056.0,-8048676,-2542461,42491,-363.0,8456975,454291,-40140,,-9088481,25295568,0.0,-290271,430550,-1345367,271960,8962.0,26027665.0,2015年01月01日至2015年06月30日,81965333,89753829,-518366,7788496,11720403,-49215.0,28656192,30280112,,,,-381322,-11814504,11720403,0.0,-8873047,1405091,-7467956,14265845,863566,96984,0.0,-162476,,,,13152,0.0,18559709,2097501,15202.0,89753829,-559475,-66861,,-77938,
