date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,343293.0,-272905,-168052,,552,42405,25816,0,-2000.0,,,6619,5623.0,,-13965.0,-1158,28268,-19776,-135841,,,,-583,-9947,,91232,,-319217,80.0,0.0,100000.0,281,61292,2822,-9346.0,-138032,340568,,-13543,2174,-28434,944,,,2013年01月01日至2013年03月31日,1107318,778617,-328701,1816,,28538,56067,,,,-26526.0,-199431,1816,-453849,164807,-289042,0.0,295,0.0,1838.0,1280,,0.0,,,54251,778617,-39.0,252.0,0.0,,,-21526
2013-08-13,2,2013,741573.0,-401685,102897,,582,-3327,14726,5478,-6045.0,,,31017,,5543.0,9864.0,-2929,56669,-18050,-516876,,,,1107,0,514.0,286,-25265.0,-246565,98.0,50000.0,,1205,-221025,3352,-3258.0,-508246,684543,,-17679,3304,-56909,2820,,,2013年01月01日至2013年06月30日,1107318,1022698,-84620,197394,,512284,566500,,,315174.0,0.0,-70608,197394,-143472,-228995,-372467,,735,1838.0,0.0,6720,0.0,-26.0,,,369106,1022698,-127.0,,-8832.0,,,-51888
2013-11-12,3,2013,1124858.0,-7081178,103923,54.0,563,14870,739,5231,-6496.0,,,38549,-8114.0,0.0,-8191.0,-4251,88141,-10482,-779826,,,-2363.0,10597,0,426.0,18162,-25265.0,-148015,,0.0,-80463.0,-51,-274997,-13479,41869.0,-776223,1041773,,-16668,6341,-88057,3728,,,2013年01月01日至2013年09月30日,1107318,1138092,30774,263480,,1071257,1155755,0.0,,84828.0,0.0,-253778,263480,17881,-250464,-232583,6857238.0,2343,0.0,11311.0,6615,0.0,501.0,,,892275,1138092,-169.0,,-8938.0,,,-13505
2014-03-18,4,2013,1516652.0,-1200270,120501,78.0,532,-11649,39073,9904,-3043.0,0.0,,55109,,,0.0,-6768,119703,-5367,-998442,,,-17753.0,18013,-3306,0.0,148076,-25265.0,-424265,,,-79918.0,0,-7337,4496,13476.0,-1016657,1398405,-6378.0,-7357,8994,-119573,6122,0.0,,2013年01月01日至2013年12月31日,1107318,1157785,50467,286022,,1636569,1756178,0.0,,,-50514.0,-564078,286022,-291955,245459,-46496,799841.0,2844,,,13622,,0.0,0.0,0.0,1470156,1157785,-6158.0,992.0,-7952.0,,-28952.0,14931
2014-05-08,1,2014,401556.0,-1195273,-161576,,187,-4963,15852,-478,-609.0,,,9581,,0.0,,-3289,30866,-4859,-200688,,,,1539,0,6859.0,-99787,,-216660,68.0,,199697.0,-51,352843,-2274,-26999.0,-193509,360242,3996.0,6153,2179,-30547,3096,,,2014年01月01日至2014年03月31日,1157785,1153301,-4484,-59658,,149630,177081,,,,179962.0,44254,-59658,-410659,245842,-164817,858563.0,320,,,4401,,,,,236739,1153301,0.0,-535.0,1305.0,,,-33947
2014-08-07,2,2014,753313,-1195273,-123289,6,-9155,-11308,-3900,-961,0,,,34100,,-4116,,-5382,57755,-4027,-394025,,,,1941,0,6107,-114510,0,136832,0,,149800,-51,-407081,1065,-22722,-382355,681372,2880,6128,4139,-58280,6172,9326,,2014年01月01日至2014年06月30日,1157785,915517,-242268,14590,,161642,213870,,,,376855,-17528,14590,-21493,-532540,-554033,651088,353,0,,9082,,0,,,199280,915517,-120,-1722,2,,,-35939
2014-11-06,3,2014,1150774,-1195273,-22899,63,199,-1681,11976,-1446,,,,31340,,-1583,,-7096,83501,-4829,-784301,,,0,11701,,6107,-128754,0,419261,,,0,449,-912550,502,-18457,-769494,1043492,-8622,2575,5779,-84283,7597,9321,,2014年01月01日至2014年09月30日,1157785,881776,-276009,241835,,643492,717029,-226527,,,262285,-145178,241835,375290,-1050870,-675580,1023169,962,,0,11989,,0,,,475194,881776,3149,-1167,-8832,,,-44961
2015-03-20,4,2014,1579574.0,-1195273,110871,188.0,-155,-5557,-10294,589,0.0,0.0,,29215,0.0,3450.0,0.0,-10696,108864,-5089,-1027789,-46949.0,,0.0,19494,0,6044.0,16682,0.0,412432,,,0.0,0,-975027,-19443,-17486.0,-1054282,1406924,-818.0,-9279,7589,-109425,10963,9323.0,,2014年度,1157785,1241265,83480,525313,,1526158,1614503,-226527.0,,91908.0,0.0,-383307,525313,501037,-991421,-490384,952503.0,1639,,,14366,,0.0,0.0,0.0,1089190,1241265,10117.0,-959.0,-5918.0,43271.0,0.0,-31581
2015-05-07,1,2015,,-682473,-88452,,334,-1018,36173,81,0.0,,,-7547,1966.0,0.0,,-3874,22514,-3139,-327867,,,,45,-8,0.0,20836,,-258125,-35.0,0.0,0.0,-51,385649,17836,,-325672,355271,2694.0,-9022,2182,-23029,3572,,371852.0,2015年01月01日至2015年03月31日,1241265,1213379,-27886,167172,1692.0,591356,610813,,,0.0,-99284.0,-290431,167172,-345908,417697,71789,491326.0,237,,,6321,,,,,443641,1213379,,-1585.0,0.0,,,-38278
2015-08-06,2,2015,,-682473,220131,-80.0,340,4977,882,-578,0.0,,,-519,,2794.0,108803.0,-7753,43644,-3115,-923545,,-10895.0,,228,-8,0.0,-325624,-28437.0,-190720,0.0,0.0,,2448,844170,-17816,,-928822,690942,-8034.0,-20206,4430,-44082,8177,0.0,800678.0,2015年01月01日至2015年06月30日,1241265,1494777,253512,114578,3538.0,1347733,1383638,,,102928.0,,-162284,114578,39716,428666,468382,445698.0,715,2117.0,,10529,,-139.0,,,1269060,1494777,0.0,199.0,0.0,,-29999.0,-64733
