date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非金融資產減損損失,預收款項增加（減少）
2013-05-13,1,2013,21612,-91690,5773,8866,-493480,,,,-1875,1661,346,,-15770,,81,-15546,2757,11129,-2188,,-76804,-16144,-113,,,,760,441400,-195077,-1353,11538,834,-765,71,-112021,8339,,4994,20900,1362,,2183,,,2013年01月01日至2013年03月31日,1159332,1350159,,190827,65150,,-222375,-225920,,513748,,514094,65150,,-279643,-33039,-312682,,,,200,,-291070,-524,1350159,0,,,64,,
2013-08-13,2,2013,43140,-94301,10786,5771,14228,,,,-1625,-965613,-300,,-37605,,555,-34844,6901,12821,-2795,,-111801,-27216,2374,,,,2247,433192,-454538,-1357,45329,3980,2607,-10354,-178338,16502,,9949,41533,-6787,,20782,,,2013年01月01日至2013年06月30日,1159332,1079203,,-80129,-53048,,-1006745,-1020740,,1092433,,1092133,-53048,,-555341,-455491,-1010832,457,,,170,,-967692,-677,1079203,0,,,115,,
2013-11-12,3,2013,52577.0,-55385,3318,13392,5124,493.0,,-1199164.0,,,-276.0,,-43947,,-7801,-58375,12580,8634,-5071,,-119872.0,-58009,2524,,,,4414.0,396354,-352632,-1245.0,-45291,6541,2583,-24122.0,-1420803,24243,,15208,63001,-12343,0.0,32062,,,2013年01月01日至2013年09月30日,1159332,843034,,-316298,-141918,,-120492,-140211,,1216639.0,,1216363,-141918,,-419499,368629,-50870,846.0,,,1197,,1707,0,843034,0.0,,,,,
2014-03-25,4,2013,247094.0,-66666,-9296,46576,-15386,,,-793208.0,,,,,-44898,,383,-82343,18298,13170,-6393,,-145322.0,-70004,9704,0.0,-970.0,,6087.0,154114,-189581,-867.0,78823,10126,3036,-34056.0,-885826,31778,,26081,87046,-18267,0.0,78966,,,2013年01月01日至2013年12月31日,1159332,695846,-16257.0,-463486,-450210,,-166461,-226293,,576601.0,,575631,-450210,,-244594,221417,-23177,1443.0,,166469.0,2837,,223917,65,695846,-867.0,0.0,,-65.0,169567.0,
2014-05-13,1,2014,24990,-73342,11142,-33409,43853,,,,-1167852,,0,,-953,,13314,-23138,6048,7757,-396,,-14839,-9142,-2937,282,,,610,313965,-36711,-73,-56260,-27418,-898,210,-1192572,5520,,4412,21707,-5389,,12509,,,2014年01月01日至2014年03月31日,695846,394681,,-301165,-8999,,162873,155753,,720495,,720777,-8999,,-144622,284384,139762,,,,64,,164752,-1389,394681,,,,92,,
2014-08-12,2,2014,46273.0,-78528,20044,-31607,31864,-260.0,,-1270127.0,,0.0,0.0,,-6718,,20463,-48167,12801,-3930,-1125,,-14704.0,-24255,259,517.0,,,865.0,222359,-212639,77.0,-22112,-11645,217,765.0,-1316064,10851,,8824,41175,-12167,,34410,,,2014年01月01日至2014年06月30日,695846,293992,,-401854,-86729,,-101092,-123335,,1018715.0,,1019232,-86729,,-323606,240727,-82879,0.0,,,67,,-36606,-1414,293992,,,,,,
2014-11-07,3,2014,49452.0,-84480,28296,-39564,43067,935.0,,-1272348.0,0.0,0.0,,24.0,-2475,,19546,-74412,19118,2107,-4133,-5400.0,-14835.0,-30516,298,0.0,,,1089.0,295669,-299191,-64.0,-5831,-19272,-1763,1015.0,-1328618,17638,,11793,55390,-18465,,50994,,,2014年01月01日至2014年09月30日,695846,262732,,-433114,-104970,,-104082,-137889,,997455.0,,997479,-104970,,-422537,340166,-82371,0.0,,,81,,-32919,-1188,262732,1278.0,0.0,,,,
2015-03-24,4,2014,63046.0,-6127,35193,-40232,43932,,,-709466.0,,,,,-22522,,14303,-99975,24829,12060,-4309,-5400.0,-45927.0,-40347,22,,-756.0,,2607.0,193522,-193208,-704.0,28136,-21323,303,-33912.0,-824881,28189,,12431,75384,-24502,,86250,,,2014年度,695846,292402,9257.0,-403444,-210819,,-74645,-137671,,484778.0,,484022,-210819,,-269661,279763,10102,483.0,,0.0,-368,,73148,-1403,292402,1278.0,,-1026.0,777.0,0.0,5148.0
2015-05-11,1,2015,,-62369,-501,-527,4070,346.0,,1138868.0,0.0,,,,19813,0.0,-1129,-15938,2312,-3594,-942,-21000.0,0.0,-8350,-82,154.0,,,90.0,171789,-107422,182.0,-16718,-19821,-646,,1156345,2875,,1514,10362,-2474,,31445,,940.0,2015年01月01日至2015年03月31日,292402,447676,,155274,-27984,-5481.0,4086,-24885,,0.0,-1001717.0,-1001563,-27984,,-136014,138173,2159,,,27866.0,0,,3099,-835,447676,,,1026.0,,,40092.0
2015-08-11,2,2015,,-89125,-26767,-988,2221,454.0,,0.0,1458152.0,,,,-1772,,-914,-26153,3086,-6274,-1101,,-98564.0,-12373,-79,263.0,,-94.0,0.0,230450,-92036,0.0,7603,-68357,397,,1464948,4805,,2734,23401,-3361,,45210,,9525.0,2015年01月01日至2015年06月30日,292402,497311,,204909,-87255,-5485.0,-80084,-121933,,0.0,-1173944.0,-1173681,-87255,,-189750,145547,-44203,58.0,,120642.0,81,1538.0,-34678,-1207,497311,,,1026.0,,,-1363.0
