date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付投資款增加,預付投資款減少,預付款項（增加）減少
2013-05-14,1,2013,12108.0,-108000,-80730,,,29955.0,-21081,,898,-30248.0,525,4478.0,,,2714.0,0.0,144818.0,,,-17996,3362.0,-2654,10014,3822,-236369,,,,1570,7448.0,,-496.0,,32112,,20851,-66955.0,,-8950,10595,-34931,-381.0,-201006,46384,,-25537,162,-14151,1606,,,2013年01月01日至2013年03月31日,716836,767564,50728,51844,-74376,-46552,,-5023,322288,51844,,-67787,-42717,-110504,350000,-172,,,165,,,-98396,,767564,-15279,,,,,-3642
2013-08-08,2,2013,82737.0,-150000,8616,,48885.0,,-11136,147534.0,-40413,-35819.0,3584,-313.0,,,,,,,,-4755,,-4267,19565,-1473,-313867,,,,1570,8140.0,,,282.0,-19267,,-82695,,-86955.0,4832,-75557,18250,,-116954,94473,,-49176,328,-19565,3505,,,2013年01月01日至2013年06月30日,716836,760900,44064,159091,-9818,18615,,-8876,172309,159091,24834.0,-106076,-117137,-223213,410000,212,0.0,,165,0.0,,-140476,,760900,-12373,,,,,6705
2013-11-12,3,2013,103034.0,-705000,-53112,,34930.0,,2672,149968.0,6517,-20187.0,-5944,,,,,,,,12352.0,0,,-6087,31311,11594,-600569,,,,4809,5476.0,,-2362.0,,-73303,,50891,,-116955.0,7640,-54748,27270,,-405435,143455,,-63884,587,-30873,5923,58047.0,,2013年01月01日至2013年09月30日,716836,788958,72122,247522,230423,232005,-149041.0,446060,235540,247522,-7216.0,5992,-124543,-118551,755000,246,0.0,,59,0.0,,-15517,,788958,-34679,,,,,-6247
2014-03-28,4,2013,147722.0,-965000,10368,,60568.0,,-9103,144645.0,9492,,-15277,,,,,,,,20139.0,7559,,-21039,41111,3696,-788234,,,,10686,9950.0,,-7411.0,,-152129,,79633,,-54031.0,4833,-32178,22764,,-569341,193047,0.0,-77219,771,-40862,21629,76689.0,,2013年01月01日至2013年12月31日,716836,818655,101819,326583,402583,398390,-149041.0,468003,264881,326583,-7216.0,89049,-164964,-75915,955000,952,0.0,,22,0.0,,71807,,818655,-53263,,,,,5682
2014-05-08,1,2014,37587.0,-610000,-46506,-51749.0,0.0,,-20879,0.0,-8561,,-2590,,,-6143.0,0.0,,,-918.0,0.0,-8834,,-1630,11243,2098,-92862,,-1202.0,,2598,2388.0,,0.0,5677.0,27784,,21030,207076.0,0.0,30749,-8437,3696,,-137587,48871,,-12896,171,-11244,3010,,,2014年01月01日至2014年03月31日,818655,783401,-35254,88557,96496,111292,,-325725,3739,88557,,-5878,-8974,-14852,730000,5514,,4096.0,-1193,-743.0,,22735,,783401,-6562,,,,,-11138
2014-08-14,2,2014,67276.0,-640000,-28140,,-61887.0,,-14789,-1202.0,-9150,,-5514,,,,-11271.0,,,,8011.0,-10052,,-8623,23081,-4592,-198374,,,,2432,-1349.0,,9980.0,,-71112,,15173,,35076.0,59031,-1306,34950,,-245133,99543,,-31135,335,-23409,9062,32184.0,,2014年01月01日至2014年06月30日,818655,655571,-163084,215318,226244,245471,,-263330,-139603,215318,-6351.0,31400,-68523,-37123,730000,5514,,4096.0,-1211,-743.0,,30153,,655571,-37064,,,,,-16266
2014-11-12,3,2014,94656.0,-670000,-93511,,-60816.0,,-33399,135966.0,5342,,-8310,,,,-6117.0,,,,19215.0,-41791,,-12876,34440,-1128,-230309,-15000.0,,,3425,-1792.0,,11013.0,,-76074,,-16812,,35076.0,28578,28917,63160,,-136304,157611,,-38438,502,-34373,10847,49515.0,,2014年01月01日至2014年09月30日,818655,802577,-16078,293527,268953,295178,-149041.0,-280709,-147599,293527,-6351.0,-84713,-8292,-93005,920000,5648,0.0,4096.0,-1123,-743.0,,1651,,802577,-52214,,-1133.0,,,9104
2015-03-25,4,2014,31258.0,-850000,-42535,,-51525.0,,5171,142250.0,2426,,-14256,,-1133.0,,,,,,9141.0,-44413,,-26443,44807,25645,-289128,-15000.0,-1202.0,,-758,1630.0,,7910.0,,-79745,,2607,,-9945.0,-29346,-10360,70631,,-46292,217112,,-54007,1249,-44261,26391,49515.0,,2014年度,818655,795907,-22748,432874,330409,362497,-149041.0,-244021,-332510,432874,-6351.0,-81104,-20531,-101635,920000,13177,0.0,168085.0,-1739,-98199.0,,-70377,,795907,-63733,,,-30000.0,,-6228
2015-05-13,1,2015,,-30000,-34353,,2234.0,,-14668,,18358,,-2957,,,8448.0,,,,-270.0,,1396,,-3140,9639,-4462,-70560,,,,-1569,-1936.0,,,534.0,3112,,32920,,-1146.0,-41000,-16155,-56305,,-29604,59824,,-52704,423,-9990,3162,,13869.0,2015年01月01日至2015年03月31日,795907,682285,-113622,122450,-9947,-1261,,-206527,-69609,122450,0.0,-27032,-110548,-137580,150000,10,,0.0,0,0.0,,-123711,,682285,-1858,,20000.0,,30000.0,-26532
2015-08-11,2,2015,,-410000,-24412,,3290.0,,-25288,,14488,,-6765,,,3021.0,,,,-1837.0,,7089,,-5864,19506,-11350,-120873,,0.0,,-580,2464.0,,626.0,,-37581,,452,86022.0,,-13028,12305,-59211,,-85751,119710,,-69956,874,-20473,5884,37971.0,59766.0,2015年01月01日至2015年06月30日,795907,692939,-102968,262732,149624,180885,,-3977,-155491,262732,-11013.0,-29265,-112348,-141613,150000,22,,0.0,0,0.0,,-81847,,692939,-54643,,20000.0,30000.0,,-2573
