date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他項目,其他預付款項增加,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-08,1,2013,-180716.0,,22041,-4436,,9102,-13461,,,,1803.0,,5559,-22214,0.0,0.0,0.0,-7785.0,,,,,-1336.0,0.0,-6584.0,272680,-123771.0,29546,-49472,,350036.0,0.0,35197,-44397,21824.0,-71913,-5358,-6110.0,-24098,65370,,133,-5946,,,,2013年01月01日至2013年03月31日,511671,156927,-354744,234164,,242745,248691,-93.0,0.0,-790442.0,-573391,234164,,40304,154939,195243,43,0.0,0.0,2854.0,146,,,10,,14527,156927,0,-251934,0.0,,,,0.0
2013-08-08,2,2013,152637.0,,-72538,-55989,,5750,4608,,,,3605.0,-220.0,11835,-41276,0.0,0.0,0.0,-7785.0,,0.0,,,-4416.0,0.0,-4691.0,503058,-154716.0,137465,-51490,,,-150000.0,4747,-167806,21824.0,-69706,824,-11747.0,-37424,131786,,258,-11284,233.0,,,2013年01月01日至2013年06月30日,511671,483188,-28483,-142193,,244262,259444,-5944.0,87540.0,,-235321,-142193,-11392.0,12187,236813,249000,2042,0.0,0.0,2896.0,-790,,,10,,401637,483188,-4131,-213893,235043.0,,,,0.0
2013-11-06,3,2013,-52843.0,,-33830,29256,,5009,-3931,,,,5408.0,-275.0,17811,-64598,0.0,0.0,,-7785.0,,-19.0,-5141.0,,-5038.0,-3382.0,0.0,599900,-189452.0,51843,-53506,,,-150000.0,11202,199895,21824.0,-27442,6456,-11048.0,-46263,198545,,382,-17866,279.0,277104.0,,2013年01月01日至2013年09月30日,511671,367449,-144222,98964,,1097135,841749,-404947.0,,-437872.0,-1195094,98964,-277104.0,-30330,825958,795628,2566,42.0,15390.0,,-1209,,,-8979,3471.0,742785,367449,-4131,-217056,235042.0,,,,0.0
2014-03-20,4,2013,-385659.0,,17469,5324,42.0,-278,-12444,,,7210.0,,-433.0,23606,-75532,0.0,0.0,,-88801.0,,-54.0,-5141.0,,-6117.0,,229.0,835737,-292473.0,24850,-54017,,,-300000.0,7413,146352,21824.0,40423,14839,-12899.0,-54682,265007,-16964.0,478,-23553,438.0,277104.0,,2013年01月01日至2013年12月31日,511671,397570,-114101,455238,,1352951,1104172,-405237.0,,-319742.0,-1412370,455238,-277104.0,-17462,1052055,1034593,3872,0.0,15390.0,,6750,,,-8968,6512.0,648934,397570,-5210,-257751,235042.0,,,-362532.0,0.0
2014-05-12,1,2014,73675.0,,5600,23385,3138.0,-2576,-7802,,,1803.0,,-84.0,7052,-15208,,,,-32919.0,,-20.0,-72896.0,,-155.0,-293.0,,-357776,-30153.0,25338,-105,,400000.0,,-476,-49689,-11.0,360,2480,-554.0,-70407,66285,29.0,87,-6737,85.0,,,2014年01月01日至2014年03月31日,397570,335165,-62405,-34365,,-329152,-322516,0.0,381.0,0.0,337154,-34365,,27227,-389053,-361826,10028,,,,-4754,,,17,4844.0,-288151,335165,16,3240,,,,,
2014-08-04,2,2014,-65001.0,,6106,5215,3138.0,-5004,12917,,,3605.0,,-235.0,13135,-34660,,,,-38828.0,,-33.0,-72896.0,,-155.0,-343.0,,-515198,-31270.0,-12338,-107,,400000.0,0.0,-2122,370,-11.0,-15535,-5607,-836.0,117964,131974,256.0,169,-13204,238.0,,,2014年01月01日至2014年06月30日,397570,389582,-7988,146514,,-481521,-450637,-9140.0,34962.0,,355569,146514,-135919.0,-14301,-517849,-532150,9564,,,,-4261,,,735,213194.0,-597151,389582,-17918,-74460,0.0,,,,
2014-11-10,3,2014,-22063.0,24533.0,12862,-9033,3138.0,33793,-84579,-126534.0,,5407.0,,-274.0,20391,-66263,,-379000.0,,-38828.0,,-354.0,-72896.0,,-258.0,-840.0,,-731674,-31270.0,-43583,-103,133314.0,450000.0,0.0,-2626,72096,0.0,-24634,1401,-2638.0,-25909,195183,456.0,255,-19845,273.0,252166.0,,2014年01月01日至2014年09月30日,397570,410224,12654,167902,,-284889,-499565,-390499.0,460841.0,0.0,323452,167902,-252166.0,131019,-776423,-645404,9566,0.0,0.0,,-4255,,,1574,456207.0,-667467,410224,-17918,-4281,0.0,,15647.0,,
2015-03-25,4,2014,52439.0,24533.0,-50281,81269,3138.0,40031,-61130,,,18610.0,-120347.0,-426.0,28326,-76888,-31240.0,-379000.0,,-38828.0,,-454.0,-72896.0,,-40.0,-439.0,0.0,-916069,-31270.0,-24724,3,133314.0,,410000.0,9294,-54184,0.0,25508,53,-11575.0,-187818,254769,583.0,328,-28303,425.0,252168.0,,2014年度,397570,376152,-21418,97447,,-473253,-678605,-517118.0,,816909.0,639653,97447,-252168.0,96062,-924553,-828491,9568,,0.0,,-4237,,,1574,456207.0,-776052,376152,-18938,-10567,0.0,,,15647.0,
2015-05-11,1,2015,,,-8606,22060,0.0,-13930,-26220,,,7116.0,,-48.0,7973,-30375,,,,0.0,,0.0,0.0,,2138.0,-24080.0,,214343,0.0,-9694,-14,,290000.0,,-7255,-20097,0.0,-11041,7636,,-53105,58456,302.0,58,-8528,52.0,,40413.0,2015年01月01日至2015年03月31日,376152,397475,21323,-123911,-1672.0,53536,62012,-7.0,-271239.0,,20892,-123911,,-41171,186681,145510,31,,1319.0,,-30,,,2056,0.0,185923,397475,0,-35470,,,,,
2015-08-11,2,2015,,20150.0,-6473,21538,0.0,-44847,-24544,,,2818.0,,-191.0,15407,-42192,,,,0.0,,0.0,0.0,,6084.0,-3764.0,,226150,0.0,-67237,-14,,390000.0,,-15182,-82776,0.0,-12892,-5972,,1824,114430,584.0,118,-15723,192.0,,154594.0,2015年01月01日至2015年06月30日,376152,537272,161120,-156683,-15981.0,-55108,-30319,-9.0,-181671.0,,214404,-156683,-20698.0,-149734,121504,-28230,34,,27596.0,,-32,,,-5844,0.0,126364,537272,-9258,48002,,,,,
2015-11-10,3,2015,,20150.0,-552,30717,0.0,-37865,-18968,,,4251.0,,-240.0,23121,-78058,,0.0,,0.0,-194.0,-41.0,0.0,,4641.0,-7115.0,,361488,0.0,-82573,-1484,0.0,290000.0,,-11282,-76642,,-11483,-10580,,-39459,167584,898.0,177,-23329,245.0,85765.0,369805.0,2015年01月01日至2015年09月30日,376152,325120,-51032,-447050,-21638.0,95316,41893,-91537.0,-309993.0,,-106889,-447050,-85765.0,-155394,274532,119138,592,,27597.0,,-221,610.0,-257.0,-5844,0.0,488943,325120,-9258,266101,,,0.0,,-3000.0
2016-03-22,4,2015,,20150.0,-4763,46038,,-11605,38629,,0.0,961.0,0.0,-374.0,29441,-99119,0.0,0.0,,0.0,-194.0,-41.0,0.0,4980.0,0.0,-5978.0,,886047,0.0,-76922,-1079,28522.0,40000.0,,-17889,-387802,,-68404,-12444,,-59129,219637,1069.0,236,-29878,371.0,85765.0,370949.0,2015年度,376152,279876,-96276,-403026,-31054.0,402100,355197,-91744.0,0.0,-392483.0,-439247,-403026,-85765.0,-114790,502064,387274,696,,27597.0,,-221,610.0,-257.0,-5844,150.0,758223,279876,-9355,215496,,,,-3430.0,-3000.0
