date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,合併發行新股追溯調整,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加
2013-10-14,3,2013,201763.0,-118815,44346,0.0,-9790.0,0.0,,-8738,-570,-1045.0,-20200.0,,26216,0.0,,48172,21436,-675819,,,,-786,7784,-25327,21643,299652,28102.0,-722299,137891,4163,-48937,5592,,2013年01月01日至2013年09月30日,189562,1925764,-15035.0,1736202,943744,1459574,1654750,,1483108.0,,-377012.0,,977491,943744,-6272.0,40092,469151,509243,0.0,3066.0,2932.0,0.0,,711006,1925764,-151831,3696.0,143396,-28560
2014-03-01,4,2013,273909.0,-263554,75549,0.0,-9790.0,,0.0,-9060,-2187,281.0,-16288.0,,27722,0.0,-8760.0,68286,51630,-988132,,,,-28,5739,-25026,56552,23862,28102.0,-1040760,189509,5559,-81750,7835,,2013年01月01日至2013年12月31日,189562,1681382,-15035.0,1491820,1344711,1639247,1917348,,,1483108.0,-368061.0,,841703,1344711,,104888,193840,298728,0.0,3066.0,2932.0,0.0,,572637,1681382,-204186,3696.0,144916,-39378
2014-05-12,1,2014,83545.0,-49480,-29356,,0.0,,,10679,1207,-742.0,3822.0,,1546,,-2595.0,19533,16101,-240741,0.0,,0.0,-34,-55096,3138,-67671,-52807,0.0,-379045,63276,1433,-19597,3007,,2014年01月01日至2014年03月31日,1681382,3389686,0.0,1708304,459964,243389,323636,1884000.0,,0.0,,-6661.0,1827859,459964,,-92682,-127191,-219873,,,352.0,,,-136328,3389686,-63657,0.0,-29225,-142092
2014-08-12,2,2014,167121.0,-196727,-55177,,0.0,,,11704,-2641,-1386.0,57797.0,,3074,,-4418.0,37068,-61838,-882140,0.0,,0.0,416,-47846,1017,-214616,-32124,0.0,-1131915,128137,2849,-37389,5164,,2014年01月01日至2014年06月30日,1681382,2568027,0.0,886645,904560,381953,587323,1884000.0,,0.0,,11172.0,1698445,904560,,-271417,-212941,-484358,,,411.0,,,-317237,2568027,-173145,0.0,-143289,-307988
2014-11-11,3,2014,250964.0,-196727,-45564,,0.0,,,10472,-2628,-5200.0,6177.0,,4597,,-6635.0,53936,-559,-1195642,,,0.0,400,-55677,1797,-49773,-82215,0.0,-1660117,194482,4261,-54210,7489,,2014年01月01日至2014年09月30日,1681382,2447803,0.0,766421,1356629,969596,1301889,1884000.0,-337500.0,0.0,,107728.0,1457501,1356629,,-96168,-209536,-305704,,88.0,323.0,,,-54740,2447803,-285572,0.0,-76916,-471140
2015-03-11,4,2014,334358.0,-394707,-23636,,0.0,,,10398,-130,0.0,-19435.0,,6168,,-13014.0,69168,96988,-1362142,-1233460.0,,0.0,426,-20029,2504,110262,-70816,0.0,-3126004,265387,5717,-69701,9598,,2014年度,1681382,1471675,0.0,-209707,1810392,1591688,2057708,1884000.0,-337500.0,0.0,,75828.0,1227621,1810392,,89000,-176042,-87042,,88.0,932.0,,,247316,1471675,-405917,0.0,-95595,-511481
2015-05-13,1,2015,,-51363,-10181,,,,,-514,2683,-672.0,30422.0,,1605,,-10817.0,15352,-19423,-171944,,,,-13,-28479,189,-91522,193222,,-810203,73872,1488,-15599,1559,81500.0,2015年01月01日至2015年03月31日,1471675,1135806,,-335869,412547,540010,554050,0.0,,,,5110.0,-46253,412547,,-98831,158834,60003,,,0.0,,,141503,1135806,0,,-4723,-668668
2015-08-12,2,2015,,-279805,3167,,,,,-587,-1414,-624.0,3878.0,,2523,,-20413.0,26336,-33693,-179517,,,,-16,-33739,-84,-21475,35818,,-991481,171428,2947,-27111,21042,182821.0,2015年01月01日至2015年06月30日,1471675,1180668,,-291007,881276,1056709,1062778,0.0,,,,-42737.0,-322542,881276,,-19806,18487,-1319,,,0.0,,,181502,1180668,0,,17619,-815826
2015-11-11,3,2015,,-279805,21680,,,,,-809,-134,-513.0,4152.0,,2809,,-29758.0,34711,-9504,-499184,,,,3,-9425,7173,-8520,52788,,-1394866,273990,4425,-35521,22619,289099.0,2015年01月01日至2015年09月30日,1471675,1132604,,-339071,1358616,1673263,1748796,0.0,-371250.0,,,43091.0,-607964,1358616,,20199,80882,101081,,0.0,2922.0,,,390180,1132604,-62631,,38841,-899837
2016-03-25,4,2015,,-611620,59153,,,,,8437,854,,11372.0,,3094,,-37526.0,41433,-36471,-731642,,-2548415.0,,-12,57599,2319,-32186,54350,,-1721849,384760,5905,-42765,39419,400600.0,2015年度,1471675,1049969,,-421706,1836564,2359503,2496183,0.0,-371250.0,,,-40019.0,-1022889,1836564,,30140,228879,259019,,0.0,2934.0,,2548415.0,659619,1049969,-133334,,108493,-1001567
2016-05-11,1,2016,,-152263,-29295,,,,,-88,1909,-744.0,-1313.0,,0,,-6381.0,3081,-19061,-76532,,,,-3,-45144,12038,-13672,70519,,-126806,125676,1470,-3283,1344,123846.0,2016年01月01日至2016年03月31日,1049969,1232139,,182170,463963,481308,558002,,,,,-1008.0,-153271,463963,,-29020,-787,-29807,,,,,,94039,1232139,-74755,,-25330,-48958
