date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,,7980.0,,-14505,,,25714,-6319,,,6784,-4475,,161.0,,,-108,813,787,-3283,,,-9047,-72,196.0,,,26.0,-86990,,-38407,,60060,,-13819,-219.0,-16959,5723,10000.0,,1258,-296,76,,2013年01月01日至2013年03月31日,175324,209600,,34276,-36144,,-96108,-95830,146065,,146556,-36144,-50900,-16766,-67666,,0,,,0,,,-59686,,209600,-58,205.0,,295,,,-17478,-180.0,,-1037,8550
2013-08-02,2,2013,0.0,11381.0,,-923,,,23410,7779,,239.0,6314,-14403,,,-15000.0,,-297,2022,990,-6639,,,-10674,532,110.0,,,2907.0,-24612,,-131537,,38342,155.0,-15713,-608.0,-35907,11721,14065.0,,3555,-1537,234,,2013年01月01日至2013年06月30日,175324,160110,,-15214,-73475,,-176997,-175638,196295,,196700,-73475,-123555,10011,-113544,,0,,8302.0,0,-6567.0,,-102163,-2126.0,160110,-56,415.0,,295,,,-33917,-400.0,,1967,3621
2013-11-06,3,2013,0.0,20105.0,,-4974,,,35092,6447,,149.0,5747,-32855,,,-42876.0,,-447,3557,665,-9561,0.0,,-13888,1009,2.0,,,6254.0,-34755,782.0,-131763,,23529,,-22527,-989.0,-84625,17396,14065.0,,4742,-2642,337,,2013年01月01日至2013年09月30日,175324,192641,,17317,-75476,,-179903,-177542,279049,,281180,-75476,-116323,-5848,-122171,,0,,8302.0,0,-6567.0,,-102066,-2648.0,192641,-56,415.0,,2129,,,-13845,-783.0,,-13154,17455
2014-03-18,4,2013,0.0,35096.0,,52316,,,-21355,1030,,0.0,7165,-10150,12000.0,,-86434.0,,-874,5405,1378,-12175,0.0,-2800.0,-15983,4418,,-2717.0,0.0,4982.0,-12556,782.0,-94048,,52567,,-31941,-1528.0,-102390,23244,14065.0,49.0,7006,-4974,872,,2013年01月01日至2013年12月31日,175324,204726,,29402,-99635,,-83480,-77420,214482,,213894,-99635,-16406,3525,-12881,,0,0.0,8302.0,0,-6567.0,,22215,-3111.0,204726,-1958,415.0,2000.0,2129,,,2135,-914.0,0.0,-6555,28935
2014-05-05,1,2014,,16542.0,,-34930,,,-3318,-1977,,0.0,362,-3106,,,-3453.0,,-353,2002,344,-1060,,,-291,6818,3016.0,,,248.0,-45507,,-102,,-10939,,27275,0.0,-7220,6184,0.0,219.0,1203,-1617,326,,2014年01月01日至2014年03月31日,204726,236534,,31808,-32492,,-78694,-77349,113352,,117378,-32492,-36052,-25347,-61399,,64,,,469,,20.0,-44857,-667.0,236534,-54,0.0,,1010,,,4632,0.0,358.0,2148,1624
2014-08-11,2,2014,,28122.0,-2494.0,-28168,,,-3024,-1163,0.0,0.0,1173,-20469,6000.0,,-46462.0,,-368,4512,-204,-4563,,,-5035,7025,2885.0,,-5446.0,0.0,-6377,,-31925,,23484,0.0,38383,0.0,-76390,11979,0.0,485.0,3990,-4213,317,,2014年01月01日至2014年06月30日,204726,260166,29.0,55440,-81183,,-66648,-62699,124768,,198682,-81183,-64002,54364,-9638,59730.0,55,,0.0,470,0.0,,18484,-1093.0,260166,-53,0.0,,13793,,,-5392,-470.0,,6117,-1653
2014-11-11,3,2014,,39969.0,-10072.0,-13507,200.0,,-4332,3430,,0.0,415,-22632,,,-84120.0,,-509,7562,1208,-8760,,,-8640,7164,2948.0,,-5388.0,0.0,-30127,0.0,5662,,-30293,,39185,0.0,-128899,17010,0.0,823.0,7501,-7138,458,,2014年01月01日至2014年09月30日,204726,216690,,11964,-101447,,-99542,-92809,172014,,239197,-101447,-965,-30366,-31331,60314.0,283,,0.0,418,0.0,,8638,-1267.0,216690,-53,0.0,,13793,,,-9271,0.0,358.0,4057,4717
2015-02-11,4,2014,,67719.0,-17751.0,1005,335.0,,5468,-1432,,0.0,-1859,-24168,6000.0,,-95897.0,,-742,10632,5499,-10221,,0.0,-11298,7301,3490.0,0.0,-5618.0,0.0,-37912,0.0,-29875,,-72868,,36449,0.0,-140394,21548,0.0,1296.0,15120,-10056,745,,2014年度,204726,197832,,-6894,-141044,,-176106,-166483,243500,,304107,-141044,-17107,-76051,-93158,60740.0,294,,0.0,416,0.0,,-25439,-1476.0,197832,-312,0.0,0.0,13793,12148.0,,-8539,0.0,514.0,3210,14671
2015-05-07,1,2015,,,-7866.0,-27150,,,-1194,-3123,,,6160,-6000,9312.0,,0.0,1839.0,-136,3086,-1415,-1385,-14000.0,,-2380,-377,0.0,-143.0,,317.0,-99109,,9303,,25442,,4998,,205177,4039,,296.0,2245,-3458,108,-129301.0,2015年01月01日至2015年03月31日,197832,228780,,30948,162280,,-50833,-47435,0,-116622.0,-121981,162280,-4459,-75955,-80414,,217474,,,-142973,,0.0,-209715,2968.0,228780,-48,,,2650,4519.0,,-13425,,0.0,1173,13543
2015-08-11,2,2015,,,-15563.0,-20580,,,-2842,-464,,,-2757,-6000,2193.0,,0.0,,-355,5426,-2913,-6235,-14000.0,-1000.0,-8470,-383,0.0,-117.0,0.0,320.0,-68704,,34832,,56698,,4997,,181232,7354,,879.0,5013,-5940,302,-124439.0,2015年01月01日至2015年06月30日,197832,206672,0.0,8840,122988,,-12057,-3012,0,-144392.0,-157422,122988,19206,-20767,-1561,0.0,221906,,,-146892,,,-126000,3538.0,206672,-3407,0.0,,2650,4519.0,,-10541,-7482.0,,2382,1880
2015-11-13,3,2015,,,-24980.0,636,0.0,,-4164,3612,,5411.0,-1201,-911,,,-3825.0,,-496,8092,-1490,-9349,-14000.0,-1000.0,-18855,223,0.0,-2226.0,-3770.0,,-102821,,93341,,28075,,4998,,161837,10924,,1417.0,8282,-8418,447,-113929.0,2015年01月01日至2015年09月30日,197832,201654,2.0,3822,81665,0.0,-12049,-670,0,-180151.0,-144476,81665,109312,-77718,31594,31481.0,221906,,,-146892,,,-82335,3334.0,201654,-3408,,,31400,4519.0,-3500.0,-5381,-4859.0,0.0,2776,2978
2016-02-26,4,2015,,,-37165.0,19666,0.0,,-5155,-3155,,4301.0,-4080,-3420,0.0,,-3825.0,,-716,10853,-2786,-45707,-17500.0,-1000.0,-21977,481,0.0,-2233.0,-4404.0,,-20015,,40077,,45473,,4998,,122736,14359,,1828.0,12132,-11282,716,-102468.0,2015年度,197832,219453,,21621,48844,,31349,45396,0,-153445.0,-129678,48844,72999,26021,99020,31765.0,222699,,,-147652,,,-3448,8122.0,219453,-3481,,,31400,6247.0,,3363,-2130.0,0.0,1437,3988
2016-05-10,1,2016,,,-17781.0,-44090,,,-903,1308,1588.0,-2743.0,-191,0,-913.0,3000.0,0.0,0.0,-126,3065,2207,-9178,-1309.0,-17348.0,-8533,4177,505.0,0.0,0.0,6435.0,41313,,-10905,,8109,,0,,-30334,5337,,2622.0,4478,-2394,109,22553.0,2016年01月01日至2016年03月31日,219453,214209,,-5244,-41431,,-32457,-30121,72616,0.0,55340,-41431,-59073,47830,-11243,,4,,,0,,0.0,11310,-3963.0,214209,-51,,,0,0.0,,-4444,,508.0,2358,1320
