date,season,year,不動產及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產（增加）減少,償還公司債,償還金融債券,其他借款增加,其他借款減少,其他投資活動,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產及設備,取得待出售資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,因合併產生之現金流入,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分待出售資產,處分待出售資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加,附買回票券及債券負債增加（減少）,附買回票券及債券負債減少,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-28,1,2013,,-1818339.0,-6678397,,,185250.0,,-2258.0,,,0,-5417179.0,-934699,-320674,-3731391,-315497,,-3376272,1020405,425897,,-144135,,,,,,253739,,258976,,6200486,,-1115865.0,6107999,,-146529,-3735468,-127352,275353,202738,60242,247520,-853723,3479834,,,2013年01月01日至2013年03月31日,113461702,110568953,-2892749,2014282,-2916314,-5545719,,,,81403137,1041424,-274980,2014282,,4530371,-10272033,-5741662,19041,,16171,,,,,,,,,-7560001,72462,-3625571,28124392,3294,-160389,8230755,,0.0,,-1373961.0,,,-35185,,
2013-08-27,2,2013,,-3797105.0,-10751342,0.0,0.0,-343168.0,,-16559.0,,,-7963015,,-1242209,-1570720,-3531805,-605259,,-6852774,2048068,712587,,-1194931,,,,,,643286,,5653771,-314366.0,14638138,,-1115865.0,8583000,,131325,-10551902,-1171983,546279,205511,76316,491837,-2008937,6824876,83416.0,,2013年01月01日至2013年06月30日,101275238,94437639,-6837599,4044362,-13186935,-17006186,,,,67080016,3119995,6808732,4044362,-161128.0,5640881,-22894324,-17253443,39507,,22139,,,,9787.0,,,,,-21050548,48372,-4236492,24237628,-1080104,4760984,7528281,,805.0,,-10057974.0,,,-315235,,-16461.0
2013-11-26,3,2013,,-6909877.0,21713402,0.0,0.0,-1461974.0,,-15790.0,,,1632042,0.0,807760,-3486279,-28206052,-1309282,,-10078425,3091166,330093,,-432849,0.0,-892456.0,,,,996737,,-4416932,-652644.0,31228232,,-1115865.0,4298000,,9933122,-13157400,-1184591,811615,-4779513,101653,735280,-3017168,10355750,1077067.0,,2013年01月01日至2013年09月30日,101275238,99290073,-1985165,6713318,2897596,-3653805,-5441548.0,,,75124858,3338743,-4028263,6713318,-1216286.0,34423713,-37880959,-3457246,33256,,-13090,,,101923.0,-3872.0,,,21325.0,,-10367123,58387,-12777279,20826472,-1864248,7490368,-829233,,805.0,,-8015227.0,,,-306876,-26178.0,
2014-03-25,4,2013,,-8976539.0,-6922375,0.0,0.0,-1232149.0,,-238782.0,,0.0,-3616038,,-376749,-5192502,-3021762,-1212705,,-13584232,4003258,503017,,-716844,0.0,-312934.0,,,,1329710,,2140,-942360.0,35106199,,-1115865.0,3079000,,11925956,-12943862,-1113041,1065528,206942,123359,972775,-4098783,13688255,1804662.0,,2013年01月01日至2013年12月31日,101275238,99970276,-1304962,9096871,4330191,-5118057,-5441548.0,,,72490441,250724,-5025129,9096871,-1672546.0,38436760,-43675149,-5238389,24615,,2919,,,111705.0,3799.0,,,19199.0,,-14214928,-50501,-22804828,27229111,-1945886,7500074,3129845,,26415.0,,-7238568.0,,,-314567,,-34819.0
2014-05-27,1,2014,16.0,-1688049.0,-1414002,,,844073.0,,,,,-3447932,,-1534623,-1795114,-8215524,-1319082,-69831.0,-4220057,1036316,351587,,-133433,-590.0,-255716.0,0.0,-822.0,1564787.0,591126,1277787.0,117512,-381269.0,29926742,,0.0,9340000,,-6129212,-5844589,2388688,253908,-280618,20840,242014,-838273,4273130,11590.0,,2014年01月01日至2014年03月31日,99970276,109373142,9402866,4248560,-6605208,-9983105,,,,82467641,202883,13267799,4248560,-11590.0,27301023,-39844639,-12543616,18781,1455246.0,1870,,,27435.0,-13533.0,,,,,-14231665,-15545,-6468706,26702618,-68550,3130827,-15635477,281.0,,3136036.0,5513745.0,,,-52310,165055.0,
2014-08-29,2,2014,6579.0,-10611525.0,116931,-9931860.0,,,12393849.0,,,,-9536344,,-654453,-5129855,-6340099,-7189955,-73070.0,-8799193,2309013,-30811,,-324981,-591.0,-260437.0,0.0,-34189.0,1506755.0,545322,,3502748,-2187909.0,56596773,5092403.0,0.0,14023424,,-6530290,-21751214,5946003,532222,379912,28079,509457,-152556,7148980,362420.0,,2014年01月01日至2014年06月30日,99970276,122944306,22974030,12778561,-1848898,-8303171,,,,90496696,0,18907736,12778561,-288614.0,50181441,-60651648,-10470207,37242,1455246.0,-1089,1238.0,-95.0,-19928.0,92655.0,,,,0.0,-21081732,4003453,-6914480,32447610,904571,3388181,-18290836,-348.0,,2760974.0,3886775.0,,-4936430.0,-338651,137687.0,
2014-11-25,3,2014,160.0,-10015994.0,-404426,-9931860.0,,5771822.0,0.0,,,,4079527,,-1495760,-4462561,-7938421,-6720578,51903.0,-14379153,4338853,-370752,,-476457,-590.0,-282610.0,0.0,-100762.0,7754847.0,-873929,,-3144324,-2141719.0,5998862,5092403.0,0.0,14660093,,71201220,-39126550,6209781,834900,-808332,16963,868234,-2271329,12796755,9196495.0,,2014年01月01日至2014年09月30日,99970276,121566310,21596034,15285918,1255923,-15813534,-7021912.0,,6300000.0,83924495,648311,14501082,15285918,-1878828.0,94174600,-115258058,-21083458,52812,1455246.0,-2196,1238.0,-95.0,363994.0,-130183.0,,,104507.0,,-31099452,-3826178,-15176024,36993504,-2652464,10056804,-45986341,19681.0,,4762307.0,14271250.0,,-2232388.0,-39368,135330.0,
2015-03-30,4,2014,756.0,-11325464.0,-9594123,-9931860.0,0.0,-1626414.0,,,,,-1325645,,-3918778,-3015799,-12890366,-6735966,35940.0,-20008841,6494033,444544,,-733750,,-283370.0,0.0,-119329.0,10045027.0,-467104,,-7391475,-2135619.0,25779163,5092403.0,0.0,6080925,,61170207,-19629240,11879017,1125583,-16044265,17384,1214185,-5431291,17009740,1868321.0,,2014年度,99970276,128914454,28944178,17887822,-25140835,-35920404,-7021912.0,5030000.0,8000000.0,64210064,17643207,41761452,17887822,-1909896.0,100499790,-142982552,-42482762,112851,1455246.0,714,1309941.0,-149159.0,4849679.0,-1333002.0,,1515.0,193831.0,,-53808226,-4425164,-34749945,47061183,-2667201,29708503,-50921522,206547.0,,41279488.0,,0.0,6865366.0,-48775,174275.0,
2015-05-26,1,2015,0.0,,-4552545,0.0,0.0,8205674.0,,,,,3295461,,606260,2433519,-9231314,42982,10520.0,-5916785,2125139,-567845,2606415.0,-353674,0.0,-2775.0,-264856.0,-19185.0,1683844.0,-1108793,,-759460,293489.0,31767783,0.0,0.0,21200276,,15060729,-35798847,-227932,276618,-7461662,1353,343308,-2085985,5753068,24465.0,-2748627.0,2015年01月01日至2015年03月31日,128914454,137489432,8574978,4689301,-51038735,-54837298,,0.0,0.0,69081813,25965212,60409490,4689301,-180119.0,52307937,-109085909,-56777972,17927,0.0,6811,69246.0,-36150.0,271559.0,-47454.0,,53826.0,,,-59526599,-278126,-5672215,42442407,107015,788031,-47279595,60991.0,,28559215.0,,,0.0,-162090,0.0,-372.0
2015-08-26,2,2015,0.0,,-11532494,-2829230.0,0.0,11474831.0,,-49526.0,,,-1585469,,-2612537,7488688,-23225066,55263,87283.0,-12194003,4386105,-1491506,2602265.0,-3236838,,-2731.0,-322120.0,,6068835.0,-4521,,20911267,-320513.0,43738604,603389.0,0.0,3096133,,45776533,-46222322,-1313910,542058,-15634044,-71715,605528,-4418204,11795180,259162.0,-1256312.0,2015年01月01日至2015年06月30日,128914454,121031701,-7882753,8763360,-51987339,-59005959,,0.0,0.0,64056654,20245571,46910002,8763360,-398688.0,120158042,-186671049,-66513007,36120,,12259,69246.0,-36150.0,1041213.0,-304236.0,1761.0,547337.0,,,-67769319,-330078,-24058885,36729476,-617518,4158497,-63152471,73890.0,0.0,33214011.0,,,0.0,-648008,7302.0,
2015-11-25,3,2015,0.0,,-16634285,-4129630.0,0.0,16726445.0,,,,,887591,0.0,-4422148,12990283,-35705894,55304,34033.0,-18445173,6493772,-587552,2602265.0,-3599818,0.0,-30864.0,-459437.0,-103985.0,14213741.0,49050,,10001929,-409584.0,61666067,603389.0,0.0,0,-13791416.0,17265771,4883409,-1801776,796221,-26294917,-112597,860026,-6121989,18258208,1261775.0,2641108.0,2015年01月01日至2015年09月30日,128948729,140527589,11578860,12507840,-41556646,-53846836,-6449718.0,1304194.0,10000000.0,72145787,23789351,55524834,12507840,-1317424.0,116926948,-185922732,-68995784,82292,0.0,12222,69246.0,-36150.0,967828.0,-72800.0,1778.0,668279.0,1294.0,-24.0,-66354676,-381197,-33180119,44592451,-1107804,14496504,-74193227,134266.0,,49787882.0,,,0.0,-525188,8896.0,
2016-03-28,4,2015,0.0,,-19443075,-4129630.0,,19915452.0,,,,,7458648,,-4606241,13020907,-53001771,49417,-21378.0,-24636845,8756733,-384601,2602265.0,-6470497,,-57061.0,-781136.0,-123234.0,25669205.0,614529,603389.0,27063358,-278027.0,69792760,,-197606.0,-10096416,,10716455,981083,-4723909,1035990,-29652685,-57079,1116134,-8967850,23979044,1436087.0,11330708.0,2015年度,128948729,134112980,5164251,13116553,-69760905,-84736297,-6449718.0,3374921.0,10000000.0,65287479,27052332,80033666,13116553,-1408055.0,136152759,-245336317,-109183558,87632,0.0,41064,69246.0,-36150.0,1235333.0,-122914.0,,705894.0,6525.0,,-97852850,-832766,-34866326,41773169,-1471889,8933397,-104447897,293387.0,,65679009.0,,,0.0,-664611,15292.0,
2016-05-25,1,2016,,,-4855801,-4218944.0,0.0,488354.0,,-468756.0,0.0,0.0,-4409224,,5213391,11625903,10564957,2849,21303.0,-6502115,2323744,-306720,0.0,-272161,,-13972.0,-185793.0,-45682.0,4162247.0,345919,0.0,5770287,-7239757.0,2092353,,0.0,43385421,,-5952359,-1237206,-792758,236618,-2872009,-87725,249423,-1123510,5943654,31737.0,696967.0,2016年01月01日至2016年03月31日,134112980,166339997,32227017,4077143,-7218369,-11822544,,0.0,5000000.0,71960713,34990259,40544864,4077143,-131922.0,12001689,-28598343,-16596654,2645,,2971,0.0,0.0,190961.0,-3619.0,,0.0,,,-15899687,23184,-9060992,59389025,-247706,2851545,-19132229,98577.0,,0.0,,-4059969.0,,-49998,,0.0
2016-08-25,2,2016,,,-1457699,-8718944.0,,9849977.0,,142915.0,,,-3558991,,1532150,12932701,12275957,-21453,-30944.0,-15186462,5395396,-712443,0.0,-629795,,-40169.0,-225475.0,-184687.0,9000273.0,874143,1368969.0,-24163062,-7524123.0,37740730,,,13889421,,-6315238,6675281,730942,493168,-11075000,-9577,609076,-4221076,14729239,232520.0,888287.0,2016年01月01日至2016年06月30日,134112980,192469316,58356336,8212602,21127520,10575835,,15000000.0,5000000.0,94819881,37310443,37210317,8212602,-395561.0,22673670,-21198724,1474946,4947,,17664,0.0,0.0,224578.0,-9455.0,,69583.0,76.0,,2363233,70756,-4642961,60338992,-188998,5966774,-16951385,126436.0,,2584280.0,,,,-394417,0.0,-5361.0
