date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,償還金融債券,其他各項負債準備淨變動,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分待出售資產,處分待出售資產損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,附買回票券及債券負債增加,附賣回票券及債券投資增加,附賣回票券及債券投資減少
2013-04-30,1,2013,-1256609.0,,5230,0.0,,,,,146.0,-5795.0,,210742.0,-616591,-227372,,-1894373,894006,45595,-1671,-20071855.0,,-1986,-46268,0.0,-2779227,121173,17606584,-65676,1154910,-4976363,28421,10610,-732114,1882244,,2013年01月01日至2013年03月31日,3309584,3779148,469564,1123599,4969174,3850481,,431158,1123599,14062741,-10079250,3983491,340.0,22418.0,14743897.0,173,,,-7418.0,,,,2726882,-9463671,3779148,-31437,-82495,-1664290,-233135,-13855.0,436953,121752.0,
2013-08-29,2,2013,-2644114.0,,8609,0.0,-22866761.0,-1190000.0,,125492.0,-2276.0,,-896674.0,,-636132,-267919,-22810.0,-3990573,1816844,59676,-21709,,,-37454,-49187,0.0,12759917,-1244921,22196049,3770990,-3136548,198831,55498,22081,-1672940,3996928,,2013年01月01日至2013年06月30日,3309584,6511031,3201447,2258388,-3002156,-5259851,-1007806.0,5945096,2258388,36932285,-41806410,-4874125,8088.0,24082.0,,-2825,0.0,0.0,-7775.0,1.0,,,-7518239,-10364021,6511031,-66293,-1156263,-3926240,-460122,-13855.0,8017410,1122498.0,
2013-11-05,3,2013,-3236882.0,16307.0,9656,,-7158782.0,-1190000.0,-2194.0,16073.0,,,-926562.0,,-508194,-421151,0.0,-5936052,2726992,32568,-26061,,,-38421,211490,0.0,3805076,-4267307,-1070913,-154953,858957,661356,79292,33876,-2580763,5978976,,2013年01月01日至2013年09月30日,3309584,3766458,456874,2299738,-2739305,-6026899,-1007806.0,2502255,2299738,1059793,-6149548,-5089755,8088.0,0.0,,-2115,50016.0,-30544.0,,1.0,,,-8326637,8375985,3766458,-110619,-1011223,-3537250,-313429,-13855.0,4683988,1577989.0,
2014-02-27,4,2013,-3939265.0,16307.0,14814,,-4481113.0,-1190000.0,-2211.0,,,-41876.0,-911595.0,,-249860,-488511,103669.0,-7804163,3578216,49421,-88587,,,-41865,181746,-99351.0,6133384,5917945,-18231905,-1353921,1053362,387020,102294,45577,-3748548,7894376,,2013年01月01日至2013年12月31日,3309584,4193198,883614,3348375,-618752,-4608958,-1007806.0,1065925,3348375,-14974939,10956871,-4018068,8088.0,0.0,,4993,50016.0,-30544.0,,1.0,,,-7957333,13921032,4193198,-155622,-1173286,-4965844,-119802,-13855.0,3305607,1354656.0,
2014-04-24,1,2014,-1080540.0,,7347,0.0,1444548.0,,363.0,10170.0,,,,-46046.0,-778544,-467122,,-1821578,864469,22059,-2151,0.0,,-392,168278,,3166988,-1231745,10276758,1340500,-1703202,184548,23697,11276,-664627,1764352,,2014年01月01日至2014年03月31日,4193198,6838687,2645489,757602,1496884,432725,,941998,757602,14058248,-13302585,755663,0.0,0.0,0.0,25,,,0.0,,,,-324877,-11441172,6838687,-35566,52546,96108,-334417,0.0,931828,,233137.0
2014-08-06,2,2014,-2372722.0,,8536,0.0,711994.0,0.0,307.0,20796.0,,,78649.0,,-364971,242329,-81377.0,-3714664,1726125,1457,-68940,,,-2428,2607,,-1780641,-893474,-1706309,1479453,-1970634,1187709,47763,22498,-1568057,3644910,,2014年01月01日至2014年06月30日,4193198,6933386,2740188,1913799,2411284,375569,-1007806.0,-860262,1913799,-2359258,3193750,834492,0.0,0.0,,1633,,,0.0,0.0,,,-1538230,-6489469,6933386,-41138,13210,11593004,-386150,0.0,126748,,1180428.0
2014-10-23,3,2014,-2581489.0,0.0,14094,,21400219.0,0.0,37.0,-6164.0,,,466037.0,,-161901,-144091,-4181.0,-5666821,2574349,23813,-109528,,,-9060,98603,,-4203391,-1445841,-5387668,-795363,1042624,2112371,72955,33598,-2332443,5528012,,2014年01月01日至2014年09月30日,4193198,8149855,3956657,2705678,2382556,-762946,-1007806.0,-562083,2705678,-10371441,9484306,-887135,0.0,,,3222,0.0,0.0,,0.0,-8412.0,,-3468624,-6656940,8149855,-50067,176882,-4711665,309459,-16804.0,451887,1773334.0,
2015-02-06,4,2014,-3868411.0,1268.0,43200,,25309920.0,0.0,34.0,13002.0,,,-430889.0,,192412,-330601,-15635.0,-7561484,3422669,123948,-137812,,,-30525,153845,-19281.0,-2126017,4433369,-13883496,-641434,902468,137902,98312,44039,-3450512,7442140,,2014年度,4193198,7567361,3374163,3728924,4921095,971510,-1007806.0,-1808782,3728924,-16116499,17227496,1110997,0.0,,,4046,0.0,0.0,,0.0,-8412.0,,-2757414,-5356813,7567361,-42043,361317,-7730847,-40633,-16804.0,-813978,,744272.0
2015-04-23,1,2015,,,13236,0.0,-3222124.0,,0.0,44350.0,,,,-568163.0,160278,-182894,-24769.0,-1848443,833043,-62242,-32395,,,-3699,348144,,-78824,3995616,-4094070,69549,-1118727,-23783,24441,11170,-718320,1830386,-560688.0,2015年01月01日至2015年03月31日,7567361,5591153,-1976208,666467,-4036036,-5148097,,2145853,666467,-3634929,-1618947,-5253876,,,,849,,,,,,,-5814564,-1149573,5591153,-5,308138,58755,81641,,2101503,,580474.0
2015-08-20,2,2015,,,985,0.0,-5080969.0,,-407.0,13027.0,,,-587815.0,,454803,643019,-25948.0,-3727926,1632760,-98685,-43975,,-465900.0,-4717,317632,,-5970447,6875431,-4002502,473229,-1194107,-621839,49390,21531,-1541668,3712662,-1733955.0,2015年01月01日至2015年06月30日,7567361,5775456,-1791905,1728511,-5705162,-7870450,-1007806.0,4633781,1728511,-13569197,5704191,-7865006,20.0,,,1671,,,,,,,-9598961,-190426,5775456,-5706,-4524280,4651243,-3643,,5628560,,480548.0
