date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-04-26,1,2013,,16156.0,12265,1463,13035,-9266,,,,89.0,-3519,8,-1142,,,-5.0,,,202,382,,144,4685,0,11472,0.0,30233,146,1990,13761,-2747,5052,,-585.0,1631,-8,3345,,,2013年01月01日至2013年03月31日,1506106,1568412,2568,62306,-21049,61084,61445,,0.0,374,-21049,0.0,34025,32313,66338,,,858,,,-1494.0,,82494,,1568412,-361,,1143.0,,0.0
2013-08-08,2,2013,,34848.0,28092,2111,4489,54,,,0.0,89.0,-6933,21,-4697,-2434.0,,-5.0,,,-235,459,,20,-8161,0,19774,150.0,22555,1510,4863,26940,-3131,94874,,3595.0,3179,-21,7282,,,2013年01月01日至2013年06月30日,1506106,1633434,5048,127328,-69699,126724,127466,,0.0,438,-69699,0.0,49374,112943,162317,,,1352,,,,,197165,,1633434,-742,,1792.0,0.0,
2013-11-07,3,2013,,24086.0,40112,536,-1242,2375,,,0.0,-20134.0,-10621,26,3309,-5001.0,-131542.0,-5.0,-20000.0,,-198,448,,20581,23557,0,-15767,0.0,-13526,1659,-107949,40170,-3674,141028,,6646.0,4707,-26,10882,16944.0,,2013年01月01日至2013年09月30日,1506106,1432930,-952,-73176,-82255,112840,116889,-81798.0,0.0,-81376,-82255,0.0,19429,155629,175058,192.0,,2005,,,,,199144,,1432930,-4049,,2437.0,0.0,
2014-03-26,4,2013,,34055.0,78710,3137,-1244,-3072,,,0.0,-20082.0,-13821,27,7308,-6060.0,-131385.0,-5.0,-20000.0,,-121,426,,20623,54605,-27486,-6467,0.0,13731,1730,-102273,52796,-3674,2728,,21657.0,6182,-27,13868,16944.0,,2013年01月01日至2013年12月31日,1506106,1320257,-6608,-185849,-151088,18001,23151,-81798.0,0.0,-108885,-151088,0.0,67325,72859,140184,3742.0,,5511,,,,,174239,0.0,1320257,-5150,,,-11486.0,
2014-05-06,1,2014,,4087.0,-22644,-5623,-1036,-5566,,,0.0,0.0,-2709,2,6942,-398.0,,-4.0,20000.0,,452,16,,157,12613,-72354,-8914,,31641,189,22285,11271,0,42486,,-1615.0,1529,-2,2530,,,2014年01月01日至2014年03月31日,1320257,1302446,-4482,-17811,-21212,25302,26021,,,-72340,-21212,,-32594,75740,43146,,,493,,,,,47233,,1302446,-719,,0.0,-854.0,
2014-08-13,2,2014,,5010.0,-17131,-386,1084,-12293,,,0.0,0.0,-5651,43,-1165,-5690.0,,0.0,,,487,808,,2448,-4195,-72354,1564,0.0,66589,-222,22535,21947,0,183128,,-16648.0,3060,-43,5777,,,2014年01月01日至2014年06月30日,1320257,1434881,2356,114624,-55224,164843,167924,,,-71589,-55224,,-14483,232621,218138,,,986,,,,20000.0,223148,,1434881,-3081,,0.0,-1570.0,
2014-11-14,3,2014,,14743.0,-18805,2082,1517,-4033,,,0.0,0.0,-8346,43,482,-6030.0,0.0,0.0,20000.0,,551,-6,,3203,222,-72354,-26747,,93817,-37,34291,32373,0,-119456,,-22122.0,4588,-43,8811,8211.0,,2014年01月01日至2014年09月30日,1320257,1104399,1854,-215858,-97985,-158557,-154682,-19671.0,,-92074,-97985,,-44035,-27405,-71440,96.0,,1458,,,,,-56697,,1104399,-3875,,4344.0,,
2015-03-10,4,2014,,32360.0,-22093,6132,2732,1478,,,0.0,0.0,-10716,85,6921,-11095.0,0.0,0.0,20000.0,,554,179,,3284,7857,-72354,-34485,0.0,102827,-575,31526,42868,0,-45985,,-9233.0,6121,-85,10996,8211.0,,2014年度,1320257,1163113,-3119,-157144,-149855,-103660,-99607,-19671.0,0.0,-91931,-149855,0.0,-53846,71734,17888,130.0,,1951,,,,,50248,0.0,1163113,-4053,,3849.0,0.0,
2015-05-05,1,2015,1732.0,,-49729,-3360,-881,-5659,-138.0,,0.0,,-3523,1,-12028,-9071.0,,0.0,,,-1576,0,-2304.0,740,-43947,0,-15500,,13179,3966,-2586,31939,-132,88003,0.0,,3168,-1,3349,,59143.0,2015年01月01日至2015年03月31日,2091599,2008442,19519,-83157,-106547,-66238,-61162,,,-2305,-106547,,-65940,52182,-13758,93.0,2303.0,10,,-2303.0,,,45385,440.0,2008442,-5076,,10176.0,0.0,
2015-08-11,2,2015,3115.0,,-41454,-2536,-3224,-4583,-256.0,,0.0,,-7099,21,-11855,-19274.0,,,,0.0,-1375,0,-15.0,238,-29957,0,-35680,,13651,2415,-8461,63915,720,97111,,,6205,-21,7220,,81861.0,2015年01月01日至2015年06月30日,2091599,1899916,11578,-191683,-178052,-110425,-98464,,,-60942,-178052,,-78374,76101,-2273,1052.0,2303.0,1,-2303.0,,,,79588,1520.0,1899916,-11961,-60906.0,7803.0,0.0,
2015-11-03,3,2015,5135.0,,-23816,-1899,-4374,-5444,-265.0,,0.0,,-10363,21,9099,-25394.0,,-709.0,,0.0,-1137,13,0.0,529,6928,-39268,-21831,,-46094,2935,-11615,95181,3306,114043,,,8466,-21,10396,,94530.0,2015年01月01日至2015年09月30日,2091599,1809068,-6841,-282531,-214126,-114062,-94059,-19671.0,,-165953,-214126,,-44932,70469,25537,1260.0,2303.0,-53,,-2303.0,,,120067,2048.0,1809068,-20003,-107006.0,6424.0,,
2016-03-10,4,2015,6771.0,,7563,2202,-4224,-1729,-316.0,,,,-13485,22,7714,-57761.0,,-709.0,,0.0,2666,534,,734,27583,-39268,-27423,,-34151,4554,-12012,123340,62,166271,,,11266,-22,13518,,119084.0,2015年度,2091599,1867339,-4806,-224260,-289864,-48156,-27955,-19671.0,,-171806,-289864,,-21905,164730,142825,29903.0,2303.0,-1257,,-2303.0,,,261909,2433.0,1867339,-20201,-113379.0,0.0,-3130.0,
2016-04-29,1,2016,0.0,,-87930,2819,2467,-1818,-215.0,,0.0,,-2490,0,-6835,-12413.0,,0.0,,,-953,86,0.0,657,-15269,0,3431,,-2406,-2205,-9291,26560,135,61390,0.0,,1067,0,2465,,30869.0,2016年01月01日至2016年03月31日,1867339,1789572,3849,-77767,-45459,-56274,-56425,,,-5367,-45459,,-84346,42511,-41835,0.0,0.0,0,,0.0,,,-10966,-2234.0,1789572,151,-5453.0,2836.0,0.0,
2016-08-11,2,2016,0.0,,-19592,347,-858,-363,-422.0,,0.0,,-4900,201,-8133,-20693.0,,,,0.0,-5382,119,0.0,99963,-34141,0,19555,,-47271,-1722,84783,52894,881,32090,,,1611,-201,5501,,58240.0,2016年01月01日至2016年06月30日,1867339,1839954,4568,-27385,-33477,-25787,-26746,,,-78248,-33477,,-449,-51060,-51509,12.0,0.0,326,0.0,,,,6731,-13.0,1839954,959,-78166.0,8922.0,0.0,
2016-11-10,3,2016,591.0,,22037,-2047,2144,-3957,-626.0,-14188.0,0.0,,-6497,28,-13429,-31420.0,,-263.0,,0.0,-5146,114,0.0,99404,-8221,0,2199,,-46293,-1151,75234,79038,-211,26518,,,2120,-28,7501,,94917.0,2016年01月01日至2016年09月30日,1867339,1881675,17543,14336,-7230,65439,66435,-19289.0,,-112908,-7230,,28087,-49339,-21252,12.0,0.0,326,,0.0,,,73665,2544.0,1881675,-996,-93705.0,6914.0,,
