date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-13,1,2013,14045.0,,,-3747,-2477,1652,4640,,82,-1632,63,1645,-3498,-155800,,,-37450.0,,0.0,,-1.0,-13404,,-17407,,19513,-16633,-53.0,-40739,18232,40,-128,2939,,,2013年01月01日至2013年03月31日,120352,93284,-1339,-27068,29758,,18405,15887,,,-6379.0,-6379,29758,,-19555,-8361,-27916,,,156010,8.0,-3877,,,-13871,93284,-293,3013.0,0.0,-545.0
2013-08-13,2,2013,27109.0,3737.0,,-2180,763,-198,9030,,165,-3800,125,-8965,-9599,-191000,,,-100146.0,,0.0,,-2.0,2211,,-17596,0.0,6623,-15095,-96.0,-54501,36436,80,-197,3586,,,2013年01月01日至2013年06月30日,120352,91815,-4493,-28537,50517,,56221,61088,,,-21292.0,-21292,50517,,-20070,3532,-16538,,,242509,8.0,-3938,,,10571,91815,-8256,3013.0,0.0,-487.0
2013-11-12,3,2013,45314.0,3737.0,,-4727,-592,1579,11553,,249,-6288,132,2465,-19484,-231000,-4078.0,,-30035.0,,0.0,,50.0,-27181,,10080,,-9288,-13071,-137.0,68278,53825,121,-204,4079,,,2013年01月01日至2013年09月30日,120352,184070,-1054,63718,62942,,63652,76472,-45307.0,,-21292.0,-70677,62942,,6795,-38579,-31784,,,345010,12.0,-4134,,,13530,184070,-16695,3013.0,0.0,-562.0
2014-03-27,4,2013,55691.0,3737.0,,-1010,-893,5763,12209,-172.0,333,-9069,159,3447,-34180,-341000,-4078.0,,0.0,,0.0,,49.0,-43086,,22969,,-25528,-15879,,53869,71988,160,-226,6932,562.0,,2013年01月01日至2013年12月31日,120352,198686,-5292,78334,88601,,88416,98665,-45307.0,,-21292.0,-67398,88601,-562.0,27550,-73177,-45627,3279.0,,403010,21.0,-4197,21691.0,,10064,198686,-16955,3013.0,0.0,-863.0
2014-05-09,1,2014,16189.0,,,-5351,900,-3705,-6705,6.0,86,-3233,32,860,-10727,-124000,,,0.0,,,-1.0,,17166,,-38183,,31921,12396,,44421,17556,40,-34,5847,,,2014年01月01日至2014年03月31日,198686,299117,1470,100431,25233,,55150,49867,,,0.0,0,25233,,-47233,55678,8445,,,101500,0.0,-63,77649.0,,24634,299117,-530,0.0,301.0,0.0
2014-08-12,2,2014,35434.0,0.0,,2475,-51,-2263,-4401,,171,-6775,56,-306,-34820,-176000,,,0.0,,,0.0,,16323,,-32607,,52064,-1360,11.0,22428,34969,80,-43,8487,40.0,,2014年01月01日至2014年06月30日,198686,310055,6711,111369,22141,,89247,87766,,,0.0,0,22141,-40.0,-32384,62575,30191,,,180500,0.0,-147,52708.0,,65625,310055,-6963,0.0,409.0,0.0
2014-11-12,3,2014,44092.0,0.0,,-1068,1370,-5526,-7242,,256,-10432,82,600,-43047,-260000,-4067.0,,0.0,,,-1.0,0.0,175,-5572.0,-21471,,49034,23903,18.0,162308,51960,120,-85,12255,546.0,,2014年01月01日至2014年09月30日,198686,412282,2534,213596,34968,,116542,118253,-65444.0,9229.0,0.0,-65854,34968,-619.0,-28047,67240,39193,,,267234,30.0,-304,197576.0,,83285,412282,-13881,0.0,465.0,0.0
2015-03-26,4,2014,48098.0,0.0,-187.0,1392,-2193,-4090,-4324,,343,-13612,111,2337,-55156,-330000,-4067.0,,,,,-2.0,0.0,13675,-6497.0,-52173,,-14428,23213,24.0,29733,69935,161,-100,16973,619.0,,2014年度,198686,237629,-8457,38943,71248,,83068,80442,-65444.0,,0.0,-76195,71248,-619.0,-54847,15943,-38904,0.0,35.0,289704,81.0,-385,124533.0,,9194,237629,-14247,0.0,540.0,0.0
2015-05-08,1,2015,,,-192.0,-4743,2731,993,-3576,,89,-2874,19,-605,-13000,-55281,,,,,,0.0,,4723,,-6516,,49352,10958,,31180,18180,42,-21,2984,,25576.0,2015年01月01日至2015年03月31日,237629,378294,10525,140665,22140,9.0,104376,101647,,5906.0,,5714,22140,,-10257,64188,53931,,,52058,,-84,,47403.0,79507,378294,-234,,0.0,-321.0
2015-08-12,2,2015,,,-405.0,363,3715,1245,7107,,177,-5976,35,-1007,-19885,-98281,,-133.0,,,,,,294,,-10842,,46724,261,,115142,35952,69,-38,6705,0.0,45283.0,2015年01月01日至2015年06月30日,237629,487787,15418,250158,43885,-4807.0,136428,133228,,,,-405,43885,-204.0,-14041,58101,44060,,,70637,,-134,,162804.0,89343,487787,-3467,,0.0,-54.0
2015-11-11,3,2015,,10378.0,-711.0,1613,3585,1227,9248,,266,-8416,39,231,-24780,-149271,-4405.0,-133.0,,-31718.0,,0.0,,16683,0.0,3543,,71806,-2321,,-80063,54112,80,-54,9414,1124.0,52299.0,2015年01月01日至2015年09月30日,237629,341184,7374,103555,87004,-11515.0,233652,233172,-45149.0,0.0,,-50265,87004,-1124.0,-5132,99001,93869,,,114337,16.0,-156,,0.0,146168,341184,-8880,,108.0,
2016-03-29,4,2015,,10378.0,-3234.0,1853,2480,-1199,4951,,355,-10599,55,-1103,-30001,-203271,-4405.0,-133.0,,-246773.0,,0.0,,40797,0.0,18933,,44821,4783,,-319735,71463,91,-71,10918,1124.0,66223.0,2015年度,237629,152665,5853,-84964,121485,-18213.0,288662,286914,-45149.0,,,-52788,121485,-1124.0,1374,97832,99206,,4.0,148937,63.0,-190,,0.0,165429,152665,-9099,,256.0,
2016-05-12,1,2016,,,0.0,-2305,-131,2176,8364,,87,-1868,4,-1027,-4160,-33000,,,,-166077.0,,,,12795,,-31298,,16972,-3160,,-153237,16831,11,-4,711,,27094.0,2016年01月01日至2016年03月31日,152665,62164,12454,-90501,42213,-9597.0,63763,63123,,0.0,,0,42213,,-41024,34840,-6184,,,50000,2.0,-69,,0.0,20910,62164,-67,,,-358.0
