date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,67095.0,,,,-3026,-20075,-5669,-961,5849,5754.0,0.0,,,-19654.0,,-5483,-295,4555,-8811,,,-50363,,-9282.0,-1298,,,-1628,,-45.0,23607,-5336.0,13058,,3047,,-23427,,1752,,2477.0,-81907,65366,,-962,4921,-4105,295,,,2013年01月01日至2013年03月31日,380936,432672,51736,32139,,82802,87641,,8533.0,,59652,32139,0.0,-2454,-9139,-11593,54190,4026.0,,218,,,55502,426918,-1029,403,,,,,-11251
2013-08-09,2,2013,89540.0,,,-27400.0,-99492,-5748,-9288,205,8353,5396.0,-93.0,,,-56467.0,,-59246,-643,8941,-17876,113.0,,-111720,-23457.0,-9282.0,-3925,,,3904,,-45.0,109377,2578.0,-4755,,8717,0.0,-89128,,-1546,0.0,2235.0,-202273,120781,,-536,9253,-8527,643,,,2013年01月01日至2013年06月30日,380936,393911,12975,88248,,163862,182343,,7509.0,,69262,88248,,654,3901,4555,188577,,,6559,,,94095,388515,-10597,527,,,0.0,,-13774
2013-11-08,3,2013,169425.0,,,-27400.0,-110140,6541,-1792,2770,13941,14255.0,6.0,31.0,,-84829.0,,-43719,-756,13655,-77127,,-12.0,-181548,-23457.0,-9282.0,-4221,,,3713,,,98798,-8949.0,-20087,,61565,,-107516,,-1245,,1984.0,-184683,180973,,-1086,13231,-13247,756,0.0,,2013年01月01日至2013年09月30日,380936,509927,128991,137869,,336618,360762,,4847.0,-1720.0,54183,137869,,52773,695,53468,188577,127603.0,,3370,,,222893,495672,-11653,44,,,,,-1497
2014-03-14,4,2013,257290.0,,,-27400.0,-266135,13081,-30995,-5332,10193,,110.0,26.0,,19722.0,,-18597,-1555,16606,-31903,237.0,,-208763,-23404.0,-9282.0,-4221,,,-1344,,,124574,-8949.0,50099,,69178,,-115307,,-1185,,1656.0,-178467,239783,,-1958,17283,-16154,1555,2883.0,,2013年01月01日至2013年12月31日,380936,621894,240958,180408,,530103,553718,,,-2610.0,-78775,180408,,128682,-12662,116020,217107,56430.0,0.0,6420,0.0,,373310,621894,-11899,652,0.0,,0.0,,-52
2014-05-08,1,2014,63169.0,,,,-509412,-18120,461,9989,-19,0.0,,,3.0,-6995.0,,-3535,-167,5789,65,,,-10629,,-54653.0,0,,,0,,,-15087,0.0,-49362,,-24831,,58143,,1819,,146.0,-69762,59005,,-4155,3959,-5701,167,,,2014年01月01日至2014年03月31日,621894,494206,-127688,50496,,68256,74041,,0.0,-14265.0,-126247,50496,,-82178,42554,-39624,397427,2515.0,,2228,,,23545,494206,-251,45,,,,,-2763
2014-08-06,2,2014,115226.0,,,0.0,-529087,-20847,-810,3338,-4988,0.0,0.0,3.0,,-5265.0,,-10345,-598,8105,5271,0.0,,-35368,0.0,-54653.0,0,-30000.0,,-286,1321.0,,-11865,0.0,-32766,,-66356,,-2237,,-2472,,162.0,-124339,117551,,-8885,6479,-7905,598,,,2014年01月01日至2014年06月30日,621894,437520,-184374,102179,,49295,77728,,0.0,-14265.0,-114601,102179,,-116469,-23208,-139677,427427,947.0,,3781,,,-24451,437520,-21126,-576,,,,,-836
2014-11-07,3,2014,189248.0,490.0,,0.0,-527420,-22132,-3455,4061,-2560,0.0,0.0,-1.0,,-5684.0,,-3558,-911,11597,6537,,0.0,-66332,0.0,-54653.0,-247,-30000.0,,2021,11788.0,,10807,0.0,-20396,,-1093,,-168460,,36,,-32.0,-154878,174464,,-14011,8133,-11060,911,824.0,,2014年01月01日至2014年09月30日,621894,434444,-187450,194469,,138839,179071,-94486.0,0.0,-14265.0,-177948,194469,,-39592,-165054,-204646,446436,1548.0,,4569,,,-15398,434444,-30907,476,6468.0,,,,-1422
2015-03-11,4,2014,257110.0,490.0,,0.0,-528229,-4975,32606,-834,-1549,,0.0,-5.0,,-9832.0,,0,-1162,11977,-20156,0.0,,-83082,0.0,-130042.0,-1891,,,-32,36683.0,,21141,0.0,7035,,8562,,-178410,,-970,,-342.0,-224188,231010,,-18353,9391,-12074,1162,823.0,,2014年度,621894,662850,40956,324690,,429467,470537,-94486.0,6135.0,-14265.0,-144167,324690,,9446,-120709,-111263,450000,169.0,,6560,,,145847,662850,-30981,213,6468.0,,11038.0,,6473
2015-05-08,1,2015,,,,,-80227,-21435,-5484,131,2034,,,0.0,,-6494.0,,3615,-265,3139,1651,,,-39851,,0.0,-617,,,3687,,,-28048,,-55528,,-6585,,-29867,,803,,,-36473,54248,,-11084,1122,-2976,265,,52390.0,2015年01月01日至2015年03月31日,662850,576006,-86844,62451,3368.0,-41795,-37566,,,0.0,-10227,62451,,-80049,-72358,-152407,70000,10489.0,,17528,,,-100017,576006,-1518,-628,,-18972.0,,,-11796
2015-08-07,2,2015,,,0.0,,-83574,-20506,-5931,-986,1722,,,0.0,-2.0,0.0,-37103.0,-5964,-683,6186,-253,,,-45121,,0.0,-743,,0.0,5202,0.0,,-7923,,-56374,,-65301,,-13257,,3162,,,-60405,108470,,-19761,2024,-6736,683,,91317.0,2015年01月01日至2015年06月30日,662850,630160,-32690,129300,3079.0,41544,47597,,,0.0,-13576,129300,,-140088,-32932,-173020,70000,22562.0,,-2041,,,-81703,630160,0,-506,,,,-1610.0,-10705
