date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付設備款增加,預付設備款減少
2013-05-14,1,2013,135272.0,,-81642.0,-6680,17599.0,,,,,717.0,44071,-1085.0,,-38.0,-645,10038,15594,-128864,,-75314.0,0.0,-230000.0,2196,78322,31258,,,-132129,-219556,24592,-3905.0,,-275047,102949,2770,237,-11600,645,,,2013年01月01日至2013年03月31日,946125,829932,-116193,96487,,-23427,-16311,,,-14247.0,166687,96487,,-193098,-54972,-248070,200000.0,682,9917.0,,-73,,0.0,0.0,180246.0,-112798,829932,-7761,711,17127.0,-7466,-31346.0,0.0
2013-08-13,2,2013,252553.0,,,2248,,-55087.0,-1938.0,,0.0,62.0,49642,,1356.0,,-2337,20421,21725,-294451,-24000.0,-117699.0,,-260000.0,8599,176,-1957,2.0,,-77233,-286039,-8799,-8087.0,,-432322,207146,-1137,334,-21266,2337,,,2013年01月01日至2013年06月30日,946125,838202,-107923,306118,,102134,171597,,34439.0,,200540,306118,,-140116,-246958,-387074,200000.0,1836,44770.0,,-200,1042.0,0.0,0.0,240315.0,-134521,838202,-71800,1558,17127.0,-12635,-24511.0,
2013-11-14,3,2013,313696.0,,-25917.0,17873,-28392.0,,,,0.0,926.0,35059,-2046.0,0.0,15324.0,-4354,30351,14970,-425447,-24000.0,-125086.0,,-400000.0,2400,-26097,-7931,,-4993.0,-80026,-211218,336,-10756.0,,-650478,312730,-3453,1331,-37226,4354,41134.0,,2013年01月01日至2013年09月30日,946125,963449,17324,537934,,463525,514561,-225319.0,0.0,-30573.0,189307,537934,-41134.0,-106757,-230312,-337069,500000.0,2725,120464.0,,-398,,0.0,0.0,350457.0,-23373,963449,-96524,899,,-12582,-148471.0,
2014-03-27,4,2013,461694.0,-120000.0,51666.0,-3197,-13314.0,,,-5205.0,-102.0,0.0,13931,-5216.0,0.0,13342.0,-6096,42409,22367,-774756,-24000.0,-125088.0,,-460000.0,18073,-291748,28891,,-5029.0,-87416,-235450,-70339,-16334.0,,-832114,416711,-2270,2102,-41689,6111,40852.0,,2013年01月01日至2013年12月31日,946125,845451,-100674,712005,,497786,550389,-225319.0,115995.0,0.0,211287,712005,-40852.0,-26390,-596920,-623310,500000.0,3724,135020.0,,512,,0.0,0.0,470604.0,-161616,845451,-99566,-507,18270.0,-7466,-52300.0,
2014-05-14,1,2014,99717.0,,-74312.0,17361,26579.0,,,,,0.0,-39210,-4086.0,,-11235.0,-1612,13078,6042,-193805,,-27853.0,0.0,0.0,-1679,-314343,157967,,-4988.0,-16255,-111687,-24961,-5478.0,,-122286,104374,-8858,230,-11104,1630,,,2014年01月01日至2014年03月31日,845451,827931,-17520,237908,,-59131,-46714,,178399.0,0.0,157855,237908,,79283,-463622,-384339,0.0,317,35935.0,,-37,,0.0,0.0,60036.0,-284622,827931,-14047,5456,0.0,-4452,7170.0,0.0
2014-08-13,2,2014,220428.0,-120000.0,,16137,,-19702.0,-1730.0,,0.0,-3306.0,-3975,,-5925.0,-11235.0,-3193,25821,-7336,-456272,0.0,-118368.0,,0.0,3499,-458743,117011,-4987.0,,8019,-307670,14203,-9306.0,,-521801,209575,-8361,513,-23788,3185,,,2014年01月01日至2014年06月30日,845451,740936,-104515,560201,,43612,134873,,546744.0,,381010,560201,,112159,-757915,-645756,0.0,743,35935.0,,580,,0.0,0.0,60036.0,-425328,740936,-94446,3229,0.0,-16959,-34644.0,
2014-11-13,3,2014,308976.0,-120000.0,-12423.0,13859,20843.0,,,,-3971.0,0.0,-7431,-3948.0,0.0,-11235.0,-4802,40252,5093,-755560,-11400.0,-153649.0,,0.0,4456,-758909,-37084,,-4987.0,28803,-178474,6873,-12543.0,,-815448,322242,-2352,727,-38674,5000,42130.0,,2014年01月01日至2014年09月30日,845451,714221,-131230,731039,,-10431,103529,-236584.0,,1065837.0,689556,731039,-42130.0,-19388,-917098,-936486,20923.0,1659,35935.0,,425,,,,60036.0,-627510,714221,-161090,1393,,3041,15450.0,
2015-03-26,4,2014,432226.0,-240000.0,8153.0,21763,-6542.0,,,,-1160.0,,-1155,0.0,3933.0,-11235.0,-5246,53610,26362,-1050936,-48400.0,-209906.0,-30000.0,0.0,-2250,-342764,-149145,,-4979.0,-19856,-82993,16396,-22985.0,,-1233088,436867,399,1655,-52103,5255,45154.0,,2014年度,845451,635857,-209594,748350,,476159,601448,-236584.0,1028305.0,0.0,520973,748350,-45154.0,-162070,-417058,-579128,20923.0,1906,35935.0,,1202,,,,60037.0,-146902,635857,-175698,-16,2394.0,5411,0.0,5503.0
2015-05-14,1,2015,,,-75146.0,-24893,22524.0,,,,-237.0,,-3733,-27051.0,,0.0,-947,12765,-12494,-246665,,0.0,,,2069,16698,218713,,0.0,14298,-134666,36010,,,-220039,123233,5120,394,-14557,962,,133583.0,2015年01月01日至2015年03月31日,635857,646903,11046,187992,-1903.0,379265,389477,,-112153.0,,-135686,187992,,131069,-63167,67902,,30130,0.0,,-10375,,,,0.0,201485,646903,-11174,1324,,-8976,23784.0,
2015-08-13,2,2015,,-180000.0,,-24923,,-39658.0,39875.0,,-11273.0,,-608,-25166.0,,,-2741,25672,-21484,-440334,,0.0,,,12461,12244,84347,,0.0,48353,-187852,-12079,,0.0,-418985,246149,9483,621,-26679,2742,617.0,284669.0,2015年01月01日至2015年06月30日,635857,824079,188222,324779,-5158.0,471324,523989,,122896.0,,157367,324779,-617.0,62961,-148420,-85459,250000.0,31555,0.0,,-10338,0.0,,,0.0,199210,824079,-56024,3979,,-8850,0.0,26233.0
