date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他現金流入（出）,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-04-25,1,2013,-33364,,,-29309,-279,398,-182,,0,,19241,-18000,,43,-1436,-3208,,-3,-463,0,0,-82000,,-7913,,464,,,,,-25110,-6108,-1807,4698,-22689,-35,92440,7359,,4414,0,0,3208,0,,2013年01月01日至2013年03月31日,112351,110494,,-1857,7878,,,,-113535,-116431,,19241,7878,0,,-36567,-54378,-90945,,,59566,123207,,-41005,,-124309,110494,-312,,48,294,,7184,
2013-07-25,2,2013,-24932.0,,,-24667,-1000,379,-1948,,0.0,,13357.0,427225,,53,-1436.0,-6122,,-10.0,-6251,0.0,-86974.0,-447000.0,,-8095,,80,19241.0,,,,-41648,-2685,-1762,7984,-28628,-71.0,-326935,14830,,8841,,,6275.0,,,2013年01月01日至2013年06月30日,112351,98397,0.0,-13954,-21677,,,280393.0,280393,274751,,32598,-21677,0,,-29977,351337,321360,114.0,0.0,59566.0,162259.0,-33.0,-41049,,296428,98397,-633,,-43,-1171.0,0.0,-10648,-607.0
2013-10-29,3,2013,-22546.0,,,-20551,-2437,411,-4335,,0.0,,6011.0,357225,,211,-1436.0,-8488,0.0,15.0,-8798,0.0,-111349.0,-462000.0,,-11166,,-5,28988.0,0.0,,,-56911,-13467,-1512,-9324,993,-107.0,-214595,22320,,13281,0.0,,8734.0,6613.0,,2013年01月01日至2013年09月30日,112351,101929,,-10422,-67057,,,169159.0,169159,154668,,34999,-67057,0,-6613.0,-36224,280495,244271,600.0,0.0,59566.0,321396.0,-44.0,-41239,,221725,101929,-856,,-322,-998.0,0.0,-4716,-3055.0
2014-02-27,4,2013,4942.0,,,-6800,-174,2388,1210,,0.0,,0.0,104585,,258,-1436.0,-11339,0.0,-5.0,-10222,0.0,-111349.0,-606474.0,-71840.0,-11272,,-58,34999.0,0.0,,,-39392,-8072,-1807,20677,-18877,-142.0,-91748,29920,,18345,0.0,,11475.0,6613.0,,2013年01月01日至2013年12月31日,112351,94217,,-18134,-192239,,,,-123180,-140320,161800.0,196799,-192239,16,-6613.0,-16173,63150,46977,600.0,2388.0,59566.0,615342.0,-44.0,-42125,44865.0,51919,94217,-948,,86,-1740.0,18190.0,-4879,-3610.0
2014-04-24,1,2014,10202.0,,,-17323,154,422,-1647,,0.0,,0.0,65980,,30,0.0,-2969,,-61.0,-1116,0.0,0.0,-40000.0,,0,,91,,,,,-28365,40703,0,-16554,8108,-31.0,10881,7745,,5392,0.0,0.0,2969.0,0.0,,2014年01月01日至2014年03月31日,94217,120177,,25960,-39184,,,,15140,12478,,0,-39184,0,,23799,17661,41460,,,0.0,53147.0,,-18,,51662,120177,-307,,-39,28.0,,-10015,-1180.0
2014-07-28,2,2014,20550.0,,,-10751,-56,-1984,103,,0.0,,0.0,165980,,19,0.0,-5971,,-3.0,-1868,0.0,0.0,-92000.0,,-394,,149,0.0,,,,24358,25072,5,19558,-22445,-61.0,-38333,15625,,10765,,,6037.0,,,2014年01月01日至2014年06月30日,94217,114297,0.0,20080,-157394,,,58416.0,58416,52993,,0,-157394,135,,12100,177737,189837,0.0,0.0,0.0,60090.0,0.0,-28,,210387,114297,-614,,-125,-181.0,0.0,-9761,-4180.0
2014-10-27,3,2014,49584.0,4932.0,,-10547,473,-2043,-723,,,,0.0,155980,,-69,0.0,-8717,,-57.0,-3616,,0.0,-112000.0,,-4914,,29,0.0,,,,24835,23914,55,-9488,1751,-92.0,-29418,23692,,16133,,,8782.0,7975.0,,2014年01月01日至2014年09月30日,94217,61180,,-33037,-243141,,,,-3562,-19430,,0,-243141,470,-7975.0,9900,164227,174127,0.0,,0.0,91750.0,456.0,-76,,223711,61180,-889,,-193,-1387.0,25765.0,-8601,-5501.0
2015-02-24,4,2014,60361.0,4932.0,,7019,495,-2108,-377,,,,,163480,,-43,0.0,-11510,,-27.0,-12951,-22615.0,0.0,-142000.0,0.0,-4996,,-56,0.0,,,,54825,12997,55,15711,-3221,-123.0,-13842,31843,,21501,,,11583.0,7975.0,,2014年度,94217,46605,,-47612,-347260,,,,-33743,-52132,0.0,0,-347260,713,-7975.0,14853,219914,234767,29.0,0.0,0.0,169983.0,436.0,-332,0.0,295128,46605,-1169,,-24,-2987.0,25765.0,-10999,-6181.0
2015-04-28,1,2015,,,,-16823,-84,202,-146,,,121739.0,,194000,,30,,-2717,,0.0,-1003,,,0.0,-9918.0,-434,-49000.0,-247,,,,,-2291,-20972,88,9163,20666,,-23623,8323,,3667,,,,,13558.0,2015年01月01日至2015年03月31日,46605,329891,,283286,-82314,41.0,0.0,0.0,124509,121739,182400.0,182400,-82314,2568,,-37464,227959,190495,,,,37064.0,,1943,,204053,329891,53,53.0,21,0.0,,6651,-362.0
2015-07-28,2,2015,,,,-17602,5,-291,41,,,,,73000,,21,,-5942,,0.0,-3154,,,-53000.0,-9918.0,-434,,-522,,,33.0,-50.0,4644,-41837,-60,10460,47806,,-8418,16737,,7479,,,5978.0,73.0,22407.0,2015年01月01日至2015年06月30日,957605,1094952,,137347,-148987,103.0,,,-36668,-42449,182400.0,182433,-148987,2807,-73.0,-59687,143818,84131,,,,61080.0,,1927,,106538,1094952,-270,,-6,0.0,,7862,-2963.0
2015-11-10,3,2015,,0.0,,-16461,2334,-584,277,,,,,133000,0.0,61,0.0,-9061,,0.0,-4131,,0.0,0.0,-16604.0,-434,,-583,,,33.0,-50.0,16,-43927,-60,12240,52145,,-27928,25029,9139.0,11248,,,9097.0,12036.0,19536.0,2015年01月01日至2015年09月30日,792605,949447,,156842,-191427,154.0,,,2337,-18214,182400.0,182433,-191427,3049,-12036.0,-62486,216163,153677,0.0,,0.0,0.0,0.0,1868,,173213,949447,-582,,22,-1608.0,0.0,7012,-6770.0
2016-02-24,4,2015,,0.0,,-6418,2513,-290,1265,,,,,24000,0.0,89,0.0,-12220,,0.0,-11035,0.0,0.0,,-16604.0,-510,,-663,700.0,,33.0,-50.0,-17708,-48444,518,8570,60508,,-37274,33543,22165.0,14971,,,12256.0,12036.0,29821.0,2015年度,792605,807247,,14642,-237173,205.0,,,-131217,-154612,182400.0,183133,-237173,3290,-12036.0,-56037,108777,52740,0.0,0.0,0.0,,0.0,1842,0.0,82561,807247,-897,,24,-1608.0,1070.0,7464,-9164.0
2016-05-04,1,2016,,,,-14540,0,-191,-1027,,,,,-164000,,32,,-2905,,0.0,0,,,,0.0,-1884,,-21,,,,,7989,-1738,161,2718,1778,,-4235,8557,-9997.0,3686,0.0,0.0,2905.0,0.0,9488.0,2016年01月01日至2016年03月31日,807247,572212,,-235035,-63679,33.0,,,-230800,-233884,0.0,0,-63679,174,,-16275,-163418,-179693,,,,,,-3,,-170205,572212,179,,0,0.0,,-879,-2383.0
2016-11-08,3,2016,,,0.0,-12675,0,13473,-1259,60920.0,,,,-583300,,63,,-9080,,,-3066,,,,-110111.0,-4427,,-25,,,0.0,0.0,-3374,654,-557,1770,2161,,-126172,25608,-15954.0,10912,,,9080.0,9969.0,20218.0,2016年01月01日至2016年09月30日,807247,373637,,-433610,-160586,98.0,,,-661438,-680584,354000.0,354000,-160586,2820,-9969.0,61913,-602129,-540216,,,,,,-46,,-519998,373637,97,,-2,,,-2173,-8631.0
