date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收款項增加,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付設備款增加
2013-05-13,1,2013,3391.0,-72000,-3915,,4145,13923,-6435,1399.0,-7329.0,-3799.0,-4534,-1731,3846,13352,-11530,,-134,,,,,,-39118,,-8076,,,3330,-22420,0.0,360,1030.0,-14385,22135,,62284,,3133,-4473,-4975.0,1731,,2013年01月01日至2013年03月31日,757202,785024,27822,48357,,43209,50926,,57646.0,,-14354,48357,7691,-8513,-822,,,,,,0.0,,-18235.0,1078.0,,2569,785024,,-1223,,
2013-08-12,2,2013,1455.0,-72000,1859,0.0,4869,9302,-9497,0.0,-3201.0,1411.0,-30586,-3364,9276,71476,-15119,,-15135,,,,,,-41458,,14539,,,16116,-86414,,1522,3315.0,35284,42696,,89794,,6614,-9599,,2611,,2013年01月01日至2013年06月30日,757202,899432,142230,108634,,-10960,110835,,118430.0,0.0,46430,108634,45131,-44385,746,,,70877.0,,0.0,0.0,-14137.0,-7259.0,-6750.0,,2201,899432,-114807.0,-1785,,
2013-11-13,3,2013,63111.0,-108000,5085,0.0,20348,-17823,-6931,2452.0,-2347.0,4483.0,9197,-7416,14716,3932,-53509,,-30096,,-7801.0,0.0,,,-47010,0.0,44879,,0.0,-3581,-98616,,-2905,0.0,-16008,61999,,143625,,10877,-14901,,6563,,2013年01月01日至2013年09月30日,757202,994438,237236,203300,,159356,303587,,197956.0,0.0,89956,203300,31012,6164,37176,,38.0,70877.0,-14137.0,659.0,0.0,,-7259.0,,,100287,994438,-135893.0,-5525,,
2014-03-26,4,2013,56591.0,-534000,23936,0.0,24328,-19585,4084,,,1034.0,-21551,-14308,20327,54060,-50988,,-30730,,-12831.0,-1579.0,,720.0,-37702,0.0,64269,,-40000.0,6408,-135818,,-2272,,-37156,84303,,-49630,,16358,-21375,,13455,,2013年01月01日至2013年12月31日,757202,886068,128866,295084,,92344,229693,-28427.0,196045.0,0.0,19618,295084,75028,-197010,-121982,426000.0,39.0,70877.0,,521.0,0.0,,-7620.0,,-14137.0,-65391,886068,-129429.0,-5723,,-15277.0
2014-05-09,1,2014,39055.0,0,-10763,,2395,-1927,-4401,0.0,-2590.0,,15872,-6092,4541,14723,-13659,,-25353,,0.0,0.0,,2234.0,925,,-5059,,,-14420,-1543,,-1744,192.0,-36684,20241,,38833,,3452,-4917,,5674,,2014年01月01日至2014年03月31日,886068,1007742,121674,116936,,144217,155889,,-582.0,,-582,116936,-31977,31875,-102,,94.0,,,-89.0,,,0.0,,,38953,1007742,-12429.0,1130,,
2014-08-11,2,2014,41630.0,0,5246,,-1019,-5800,-11242,,-957.0,,-2962,-10587,9146,32851,-20236,,-25353,,,0.0,,2215.0,-95986,0.0,48146,30000.0,,-5743,-7142,,8487,384.0,-39804,39828,,7546,,7053,-9082,,10587,,2014年01月01日至2014年06月30日,886068,948674,62606,170168,,69455,153718,,-29896.0,,104,170168,42233,-100313,-58080,0.0,505.0,0.0,0.0,564.0,0.0,,0.0,3065.0,,-16450,948674,-85768.0,-1412,,0.0
2014-11-12,3,2014,68247.0,39000,-8513,,-5186,5205,-14568,,1842.0,0.0,-1115,-15383,14442,12033,-36243,-12210.0,-25353,,,0.0,-2220.0,,-120778,0.0,9056,70000.0,,-18023,-14891,,-2770,576.0,-70655,59135,,121090,,9909,-14182,,16440,,2014年01月01日至2014年09月30日,886068,1007728,121660,228970,,167582,250257,-142136.0,45836.0,,12700,228970,-11699,-35261,-46960,,5434.0,0.0,0.0,2721.0,,,0.0,-63.0,,21287,1007728,-84933.0,-1462,,0.0
2015-03-20,4,2014,79675.0,-303000,13522,,-4357,1485,-6000,,-3592.0,,-25222,-19087,19688,55787,-55267,,-105974,,,615.0,,0.0,-105013,0.0,20118,20000.0,,-26615,-41762,,-8565,768.0,-171570,79068,,102989,,12799,-19439,,18534,,2014年度,886068,1027229,141161,313230,,240306,335883,-142136.0,99774.0,,16638,313230,9278,-66300,-57022,342000.0,6943.0,0.0,0.0,3935.0,,,9006.0,-17272.0,,22653,1027229,-94672.0,-1127,,0.0
2015-05-09,1,2015,,0,-17572,,4186,3431,-3564,,-2076.0,,8600,-3674,5045,-9850,-22916,,-1760,,0.0,2810.0,-2414.0,,-51086,0.0,-36636,0.0,,10382,40603,,6065,,-21518,24633,,-101009,,4108,-5506,,3447,43391.0,2015年01月01日至2015年03月31日,1027229,911244,-115985,25477,192.0,-84255,-78216,,,-362.0,-362,25477,-40203,-106881,-147084,0.0,5572.0,,,4285.0,,,,,,-103693,911244,-3980.0,-2416,,
2015-08-07,2,2015,,0,-30988,,-1098,-2076,-16773,,-507.0,,20025,-7265,10338,-19767,-31107,,-61036,,-1112.0,0.0,,175.0,-34667,0.0,-17577,0.0,,12903,-25721,,8393,,-73930,44615,,-107422,,8254,-10377,,7402,71262.0,2015年01月01日至2015年06月30日,1027229,813086,-214143,80789,364.0,-120030,-63118,,,-416.0,-416,80789,-37374,-177795,-215169,0.0,19150.0,,,-1833.0,,,,,,-143907,813086,-53937.0,-2872,,
