date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還特別股負債,償還長期借款,其他各項負債準備淨變動,其他投資活動,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他項目,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付款項增加（減少）,應付短期票券增加,應付短期票券減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債增加,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-15,1,2013,,21203893.0,,,,,0,39599,-1660046,40990,338864,-92768,,,,,,-4300000.0,500000.0,,,,-1499858,123188,-3631627,29446,8299,-434589,,-44065599,,0,0,,-2770,-31199498.0,,29419775,8066,0.0,,0,-333.0,0,9809.0,224801,,0.0,-358001,,0.0,-821417,-27167212,205130,0.0,,-57056,7354,-30654,,3852371,,,2013年01月01日至2013年03月31日,75687668,73449194,-5456871,-2238474,60078,,,24395760,20932472,,,,323434,0.0,,,524679,60078,,,-19137,-312362,-331499,302425,272,,40584759,,0,0.0,,0.0,0.0,,,13415914.0,,20872394,73449194,-358429,224030,2139935,,,-100847,,,-11186,-15464,0.0,
2013-08-14,2,2013,,41553621.0,0.0,0.0,,,0,88848,-4043840,9576,2447875,-38419,0.0,0.0,,,,-11200000.0,8500000.0,,,,2557129,6636,-7123067,58660,12880,-1455950,-98529.0,-95305522,,0,0,,-53232,-56020316.0,,48169056,445,,,2768,0.0,0,39585.0,257782,,,2051504,65070.0,0.0,-1382522,-38685000,408267,0.0,,54727,55071,-77821,,6795318,9162.0,,2013年01月01日至2013年06月30日,75687668,84972067,-5877071,9284399,1238158,16610000.0,,48804262,42391189,,-931.0,,299968,0.0,0.0,0.0,-847743,1238158,,-9162.0,2615395,-3015985,-400590,995016,1726,168972.0,103284047,,2362,,,,0.0,0.0,,1114149.0,,41153031,84972067,-313586,-1789917,3198740,-30384.0,,-2209634,,-136238.0,-79121,-89852,0.0,-1883984.0
2013-11-14,3,2013,579.0,57257345.0,138588.0,0.0,,,0,90941,-5828157,39124,-548396,-221230,0.0,,-1598.0,,,-11200000.0,11900000.0,,,,-4432633,35054,-10705338,88941,9552,-2790315,-152747.0,-156767707,-120000.0,0,0,,-58493,-100762218.0,,72498881,4244,1517.0,6554.0,6683,0.0,0,29622.0,272713,,0.0,-641171,0.0,-149930.0,-2089773,-74762616,579357,0.0,,22293,105890,-385017,,12823733,1146388.0,,2013年01月01日至2013年09月30日,75687668,65980356,-3172713,-9707312,1721507,0.0,,66682791,53188776,480524.0,-670796.0,597000.0,0,-361500.0,0.0,0.0,-1637039,1721507,32453.0,-12468.0,-2058815,-3731261,-5790076,1210322,126346,0.0,166676980,,-36122,,0.0,381.0,0.0,-141356.0,,24260848.0,,51467269,65980356,-91089,-1685610,2192659,0.0,,-2750859,,0.0,-81539,-72409,0.0,-875802.0
2014-03-28,4,2013,0.0,85491210.0,0.0,0.0,,,-43765760,273376,-7576106,-1428,592291,-46054,0.0,,12781.0,,-137.0,-13200000.0,11900000.0,23462.0,-18969.0,,-4339456,1917,-12176191,498973,44151,-3789712,-209177.0,-191455256,-180000.0,-6908965,0,-148017.0,-69069,-136481187.0,,102797370,132331,1517.0,0.0,207703,0.0,-210957,0.0,39329,,0.0,-45984,0.0,-150000.0,-5854367,-106010605,796300,0.0,172232.0,79443,175628,-471066,,15235836,1274458.0,,2013年01月01日至2013年12月31日,75687668,65867820,-5491912,-9819848,1913352,0.0,,95085891,79316980,480524.0,-671059.0,597000.0,0,-287010.0,0.0,0.0,1060715,1913352,32569.0,-22583.0,-622647,-7464935,-8087582,44841000,135831,216763.0,209849282,85051.0,-827235,,2746819.0,-207100.0,0.0,195272.0,,28993654.0,,77403628,65867820,-270317,-1589277,3760224,0.0,,-174231,9473.0,0.0,-38517,-89844,0.0,-1168817.0
2014-05-14,1,2014,0.0,21687064.0,0.0,0.0,,,-11849811,116787,-786283,47865,-126526,-84791,0.0,,0.0,,0.0,0.0,2000000.0,0.0,0.0,,-1075592,-104472,-4599793,130328,-6652,-894951,0.0,-44267767,0.0,-169210,0,0.0,-10728,-9118166.0,,27937234,7569,0.0,0.0,8059,0.0,-211240,0.0,491556,,0.0,-551560,0.0,0.0,476430,-14359376,215940,0.0,0.0,-49736,10338,-101061,,3277680,61646.0,,2014年01月01日至2014年03月31日,65867820,74851694,-4579027,8983874,-430359,0.0,,23096311,19953170,0.0,0.0,0.0,0,-62123.0,0.0,0.0,253591,-430359,0.0,0.0,-678086,-625449,-1303535,12155000,0,25000.0,33612178,136.0,11911,,0.0,0.0,0.0,0.0,,5478163.0,,20383529,74851694,-95124,-1434212,3561105,0.0,,2466,0.0,0.0,-17825,-16508,0.0,0.0
2014-08-14,2,2014,0.0,34851420.0,0.0,0.0,,,-22064818,18469,-2716996,51920,-2605289,-385447,0.0,,0.0,,0.0,0.0,2500000.0,0.0,0.0,,-3405259,91331,-8750917,233070,-15411,-1196928,0.0,-89204301,0.0,-4080819,0,0.0,-59761,-25332140.0,,44905218,24787,0.0,0.0,77327,0.0,-200809,0.0,385913,,0.0,23634,50000.0,0.0,2277431,-15654264,434680,0.0,0.0,39647,44826,-145300,,5523910,238640.0,,2014年01月01日至2014年06月30日,65867820,90561047,-148539,24693227,1309637,8247130.0,,38608365,33348505,733089.0,-1076.0,0.0,55329,0.0,0.0,0.0,1754537,1309637,4437.0,0.0,-2581655,-230897,-2812552,22886000,1633,0.0,89354146,0.0,8097,,0.0,0.0,0.0,0.0,-40117.0,7099257.0,,32038868,90561047,-357390,-2592756,1483021,0.0,,18686,0.0,0.0,-59289,-64676,0.0,0.0
2014-11-14,3,2014,0.0,51829891.0,0.0,0.0,,,-33506000,106592,-4481586,70206,-1113620,-307501,0.0,,-88803.0,,,0.0,2500000.0,,,,-5292766,107301,-13645973,325303,263,-1540916,-198000.0,-137617701,0.0,-4080818,0,,-67276,-66041090.0,,69933540,39660,0.0,0.0,85691,0.0,-234913,0.0,57926,,0.0,1200226,0.0,0.0,1088700,-67906439,599579,0.0,,34566,74061,-394307,,9675343,1502602.0,,2014年01月01日至2014年09月30日,65867820,62003575,-3873319,-3864245,2850124,14352014.0,,63090966,52751821,733089.0,-514254.0,0.0,26000,0.0,0.0,0.0,950965,2850124,7107.0,,86606,-2014800,-1928194,34088298,20965,52107.0,124391542,0.0,1307,,,,0.0,0.0,-40117.0,5153877.0,,49901697,62003575,-444493,-2997215,3560351,0.0,,38141,,0.0,-34217,-25841,0.0,
2015-03-31,4,2014,0.0,47135501.0,0.0,0.0,,-1007006.0,-55190000,291298,-6865010,48818,4758266,-319280,0.0,,-82486.0,0.0,0.0,0.0,2500000.0,0.0,,0.0,-6313193,4903,-19406225,401351,17262,-2248468,-198000.0,-168939955,0.0,-4080818,0,0.0,-73613,-108047291.0,,74883682,59967,0.0,0.0,89239,0.0,-248598,0.0,135521,,0.0,6440487,50000.0,0.0,1901828,-76886801,975548,0.0,0.0,344,92376,-371909,,13830021,1877830.0,,2014年度,65867820,66403677,-15268704,535857,2661242,42734949.0,,72168712,57362785,733089.0,-541602.0,5000000.0,69253,0.0,0.0,0.0,5236684,2661242,18967.0,-15033.0,10816863,-3250821,7566042,56121400,5361,78785.0,160409062,0.0,25152,,0.0,-40117.0,0.0,0.0,,8178424.0,,54701543,66403677,-530015,-4897158,11353069,0.0,,-87689,77019.0,0.0,-125453,-9143,0.0,-381890.0
2015-05-14,1,2015,,,0.0,0.0,,,-7158102,76742,-1588762,-341272,-5667245,-243859,0.0,,,33365.0,,,0.0,,,,-2280189,564791,-5284382,121107,-2548,-249642,,-42865366,0.0,0,-7658169,-1470000.0,-16753,,-40224325.0,7615070,14752,,,846,,-579929,,10291,,0.0,-6888864,100000.0,,-1126728,-31113514,203238,0.0,,-34628,14821,-44671,,3225727,102113.0,3285400.0,2015年01月01日至2015年03月31日,66340988,28864819,5451958,-37476169,1483183,,22097312.0,-9832938,-12950684,,,,554747,0.0,0.0,0.0,3472831,1483183,2115.0,,-12556109,-5163158,-17719267,6372000,4981,4976.0,32768945,0.0,7566,,,,0.0,,,,8654867.0,-14433867,28864819,-165423,-4046273,-2622770,0.0,3600528.0,2812,,0.0,19892,-25014,,
2015-08-14,2,2015,0.0,,0.0,0.0,,,-16719000,-121319,-3950318,36892,-7662783,-310376,0.0,,-6291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4412494,831922,-10848959,240507,-9286,-626294,-180000.0,-63177684,0.0,-203868,-21270632,-1545000.0,-70377,,-69893279.0,26591526,37855,0.0,0.0,5253,0.0,-637838,0.0,-57399,,0.0,-8459463,350000.0,0.0,-4447756,-26165170,412866,0.0,0.0,-19954,56140,-103110,-1287.0,6588112,484897.0,16725849.0,2015年01月01日至2015年06月30日,66340988,44097449,9269771,-22243539,3928723,,34270506.0,3655518,-3080051,0.0,0.0,0.0,906747,0.0,0.0,0.0,275399,3928723,2211.0,0.0,-16122246,-7612377,-23734623,15399898,7189,4976.0,91836768,0.0,15759,,0.0,0.0,0.0,0.0,,,9324380.0,-7008774,44097449,-233043,-3660427,-4498060,0.0,650344.0,-317843,0.0,0.0,-5233,-47408,0.0,0.0
