date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-06,1,2013,,359871.0,-591200.0,-187104,-916401,103958,7441,,-1427,,,-1173.0,,170.0,,-22966,9570,54356,-23663,,,-4364.0,,-20924,,66,0,-1758,196,-14461,,-519706,,,,1725656,-54481,143.0,-29286,225354,130062,,17770,-9669,21544,,,2013年01月01日至2013年03月31日,7568702,7468354,119680,-100348,312265,,1088411,1109019,,,,-621522,-1213829,312265,,-522415,959298,436883,,133,,5133,,,,,,796754,80294,7468354,-32483,274,,,25980,0,82909,0
2013-08-09,2,2013,,539672.0,-5001040.0,25050,-119871,51319,-13095,,-2829,,,-481.0,-4505.0,0.0,,-46852,20277,110457,-31828,,,-5263.0,,-46154,,403,0,-1741,2821,524647,,-886549,26039.0,,,745474,-31214,610.0,-45006,454992,271764,,35320,-21082,46294,,,2013年01月01日至2013年06月30日,7568702,8281645,83120,712943,776504,,1975990,2139847,,,787500.0,0,-1328498,776504,,-606737,1430408,823671,2885120.0,2039,,4838,,,,,,1363343,176794,8281645,-189069,-292,5855.0,,28568,0,55532,-6529
2013-11-07,3,2013,,729796.0,-5001040.0,263492,17068,73676,-601,,-4235,,,-491.0,-9440.0,,,-71290,24939,44312,-49212,,,-6843.0,,-38019,,177,0,-5175,2857,892235,,181738,,,,559479,-49281,573.0,-75077,682868,352945,,54797,-26511,76601,,,2013年01月01日至2013年09月30日,7568702,8193120,83120,624418,1279615,,4217756,4404863,,-591597.0,,-854742,-3562573,1279615,,527106,1868346,2395452,2885120.0,2039,,5580,,,,0.0,,3125248,7627,8193120,-237197,1456,5855.0,0.0,0,-19510,100736,-9303
2014-03-20,4,2013,,-1597264.0,-5001040.0,677678,502429,9245,16482,,-5627,,140.0,,-8990.0,,-1407.0,-89285,28343,167060,-176730,0.0,,-7151.0,,49803,,700,0,-207478,1021,1859385,0.0,287566,,,,-1237840,-9780,1021.0,6147855,914204,-3547055,,73392,-29923,95675,,,2013年01月01日至2013年12月31日,7568702,7189233,83120,-379469,4029715,,1057312,1426710,-4496136.0,-591597.0,,-548883,-7751696,4029715,,1229120,-2234861,-1005741,2885120.0,6575791,,-2930056,0.0,,,10624.0,,-2603005,253610,7189233,-435150,-889,5855.0,0.0,296764,-37732,187145,-28608
2014-05-09,1,2014,,204056.0,0.0,-291682,-601634,184376,-35397,,-1527,,,-134.0,,2514.0,-63787.0,-28615,5937,86615,-53924,,,0.0,,44579,,5420,-162,-385,3955,-13328,,-2000013,,,,2535160,8937,240.0,-47381,201727,805612,,16504,-4609,26744,,,2014年01月01日至2014年03月31日,7189233,8322635,20211,1133402,370640,,651836,941459,,,437208.0,0,442332,370640,,-2271720,2638483,366763,,1084,,593,,3315.0,-130.0,,,570819,-164641,8322635,-311758,-5918,,,14485,-1530,-59340,-3940
2014-08-07,2,2014,,365679.0,0.0,-224642,-1297677,71486,-25605,,-3037,,,-328.0,0.0,1466.0,-78331.0,-51340,10355,-13921,-97830,-3024.0,,-4589.0,,62650,,15453,-10490,-742,6646,-827814,,241336,0.0,,,1508938,9788,567.0,-83880,393080,1554049,,34991,-10409,48084,,,2014年01月01日至2014年06月30日,7189233,7563701,-8461,374468,1102476,,1889904,2258891,,,0.0,-1422270,-1417635,1102476,,-132933,923669,790736,0.0,27892,,-14147,,3315.0,-130.0,,,1156415,-221680,7563701,-406662,-8475,0.0,,27017,-1530,5027,-17014
2014-10-28,3,2014,,446809.0,0.0,-127875,-342002,37375,-30137,,-4554,,,-482.0,0.0,991.0,-43631.0,-75947,13062,115222,-198400,-3024.0,,-14414.0,,54970,52190.0,15695,-10759,-1227,7640,-2164906,,-732541,,,,3606980,9781,-4085.0,-108327,582511,3895296,,55383,-13115,72332,5090.0,,2014年01月01日至2014年09月30日,7189233,9073435,-8420,1884202,1589620,,5455541,5877875,,-2200740.0,,-1434138,-3578234,1589620,-5090.0,-971549,4812995,3841446,0.0,27913,117741.0,-12596,,3315.0,-130.0,-162361.0,,4288255,-144423,9073435,-481551,-9898,0.0,,60486,-1530,-157463,-53952
2015-03-23,4,2014,,745159,0,-161943,-770201,226951,-32600,6182,-6067,-3746419,0,-842,-31138,,-58175,-94028,17383,297107,-345715,-3154,,-15534,,39485,56690,16518,-14456,-1718,8417,-1378163,,-2097958,,,,2956348,9253,-4085,-245780,780738,3578474,,77733,-13115,92395,5090,,2014年度,7189233,5599168,-4488,-1590065,2036910,,195077,674383,-1797271,-2200740,2103632,0,-1836469,2036910,-5090,-2255522,147836,-2107686,0,28998,186277,-12926,,3315,-130,-178964,-49243,-1362527,-224669,5599168,-558586,-9290,0,,243684,-1530,-462789,-80618
2015-04-30,1,2015,,,,-135589,-162113,147977,30765,,-1465,3744639.0,,-199.0,-5141.0,0.0,-14544.0,-15933,16325,-135798,-105175,,,,,32577,6300.0,1690,-1041,-4055,3424,687927,,-668775,,,,-1013244,535,,-121664,171374,-320478,,24778,-14148,16503,,162720.0,2015年01月01日至2015年03月31日,5599168,6358819,-18606,759651,467497,0.0,2828331,2929871,,,0.0,-1817968,-1811218,467497,,-655902,2955556,2299654,,88,,813,,0.0,0.0,,0.0,2462374,485,6358819,-103895,-3248,,,0,-30816,-11010,-10805
2015-08-07,2,2015,,,,-86071,260531,496988,24684,,-2897,3612613.0,,-403.0,-3477.0,0.0,-29088.0,-33149,27552,-192189,-169377,0.0,,-157.0,,29695,6300.0,15029,-6801,-18565,5074,1654106,,578059,,,,-2872540,535,,-223195,338895,-89147,,47196,-27199,33099,,252917.0,2015年01月01日至2015年06月30日,5599168,8057735,-30668,2458567,856614,0.0,4504284,4801780,,,,-1644458,-1630333,856614,,994560,2697689,3692249,,5661,,16483,,0.0,0.0,,0.0,3945166,5584,8057735,-303396,-1192,,,0,-112807,109804,-42354
