date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-06,1,2013,98380.0,-13510,-30524,14084,,2528,-2812,,,-2142,4330,82096,-95732,,,0.0,,,28.0,17916,-205132,57043,184382,-1052,-888.0,-125363,120023,,223.0,-4375,2142,,,2013年01月01日至2013年03月31日,1009766,1140265,-25716,130499,8425,,136508,142350,,768.0,0,37258,8425,,,-176973,212518,35545,50000.0,355,0.0,,,-325,0.0,71042.0,,133925,,1140265,-1467,,,1987.0,,-103198
2013-08-09,2,2013,281869.0,-29520,16127,17356,,1348,10847,,,-4874,8928,45323,-235925,0.0,,-148828.0,,-25.0,,69004,-34110,54979,-6200,2317,-1937.0,-572687,245763,,450.0,-9036,4874,,,2013年01月01日至2013年06月30日,1009766,780581,29421,-229185,48819,,427699,460419,,,-150000,-129520,48819,,,36407,93324,129731,50000.0,8740,0.0,,,194,0.0,,,411600,,780581,-23684,,,1987.0,,-201523
2013-11-06,3,2013,400721.0,-45530,-11399,28775,,5546,5360,,,-7709,13361,9788,-508739,0.0,,-339365.0,,0.0,,50927,37346,35563,-76512,-432,-3691.0,-678718,373267,,679.0,-13546,7709,,,2013年01月01日至2013年09月30日,1009766,712240,10343,-297526,94625,,503279,566829,-260121.0,203710.0,-159934,-131875,94625,,,63365,8118,71483,130000.0,11488,0.0,,,8793,0.0,209816.0,,472204,,712240,-50004,,,,1987.0,-59627
2014-03-28,4,2013,613865.0,-78040,7282,40362,,-360,12406,,,-10532,17950,-59355,-610908,0.0,,-471109.0,,-42.0,0.0,111863,-91550,3872,-48041,1868,-5588.0,-547732,509603,,907.0,-18689,10532,155785.0,,2013年01月01日至2013年12月31日,1009766,911497,86992,-98269,138375,,726059,784354,-260121.0,445025.0,-564105,-217241,138375,,-1949.0,-86344,118458,32114,240000.0,11481,0.0,,,8907,0.0,461413.0,,645979,,911497,-50138,,,,1987.0,-94352
2014-05-07,1,2014,131480.0,-38010,-59500,6439,,-539,13714,,,-3699,5547,37284,-48784,-6038.0,,-466629.0,,-36.0,0.0,32288,-196976,-29443,108903,-1887,-1601.0,-386715,126880,,234.0,-5222,3699,,,2014年01月01日至2014年03月31日,911497,856985,1886,-54512,-43758,,-42653,-40880,,839441.0,-616859,337572,-43758,,,-288059,159457,-128602,153000.0,163,,,,632,,188990.0,,2878,,856985,-250,,,0.0,,-54381
2014-08-11,2,2014,258777.0,-83670,-97705,-981,,2615,5681,,412.0,-7830,11898,-1706,-83993,-6038.0,,-743827.0,,0.0,18.0,57007,-125049,-30823,102508,557,-3127.0,-664558,258899,,,-11555,7830,,,2014年01月01日至2014年06月30日,911497,607738,-20123,-303759,-56687,,76008,112773,,834026.0,-616859,286497,-56687,294.0,,-254089,164772,-89317,153000.0,22239,6054.0,,,-2757,-16.0,200256.0,,169460,,607738,-33040,,18000.0,0.0,,-59267
2014-11-12,3,2014,382873.0,-129330,-110833,243,,11872,-9595,0.0,696.0,-12022,17525,32251,-114988,-6038.0,-9045.0,-844920.0,,-31.0,,24782,-59966,-30281,76538,-281,-4612.0,-437896,387620,,,-17390,12022,,,2014年01月01日至2014年09月30日,911497,761502,-28994,-149995,-41877,,188376,238863,-97545.0,758317.0,-617168,67274,-41877,1172.0,,-193820,91687,-102133,153000.0,26936,6054.0,,,-1108,-16.0,598456.0,,280740,,761502,-45119,,18000.0,0.0,,-94320
2015-03-27,4,2014,635343.0,-174990,-105424,4160,,4062,-11841,0.0,933.0,-17968,23615,134199,-237434,-6038.0,-9045.0,-788620.0,,-9170.0,321.0,-31797,-185509,-21925,166695,-360,-4677.0,-605526,516377,,0.0,-23050,17968,681.0,,2014年度,911497,795784,92101,-115713,-140075,,254225,308652,-97545.0,1016787.0,-795863,101389,-140075,2052.0,-681.0,-313473,126857,-186616,153000.0,30899,6054.0,,9045.0,930,-16.0,435814.0,,448727,,795784,-49345,,18000.0,,0.0,-38033
2015-05-04,1,2015,,-45660,-53424,-877,,-4467,3990,,243.0,-5726,5370,-54313,-62355,0.0,,,-462340.0,-39.0,,-8711,-62220,-1255,96560,-232,,-175073,126506,,,-5688,5726,,226879.0,2015年01月01日至2015年03月31日,795784,617104,98519,-178680,-38308,612.0,158364,158981,,122546.0,-184544,-107658,-38308,839.0,,-120320,90730,-29590,0.0,392,,,,1128,,,367233.0,197289,434.0,617104,-655,,,0.0,,-17964
2015-08-10,2,2015,,-91320,-72093,-1148,-6158.0,-1666,-21579,,481.0,-9714,11210,-74396,-123897,0.0,,,-921778.0,-72.0,9235.0,17619,-3977,-3264,4897,616,,-319737,244251,,,-11136,9714,,340510.0,2015年01月01日至2015年06月30日,795784,631953,83455,-163831,-42663,-432.0,215034,217311,,511295.0,-404707,15268,-42663,1680.0,,-80941,405,-80536,0.0,3244,0.0,2962.0,,6185,0.0,,810969.0,259974,491.0,631953,-855,,0.0,,,-91280
