date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,134851.0,,,,,-61563,-29012,-16418,76547,,0.0,0.0,,3621.0,,-1199.0,-108,25119,18086,-298,0.0,,,,-3231.0,,15799,0.0,0.0,355.0,76459,,-926940,49995.0,,13573.0,,542260.0,-40.0,-113509,110600,53396,7880,3842,-21406,108.0,0.0,,2013年01月01日至2013年03月31日,733635,833608,37650,,99973,98480,8071,37222,,135164,187325,98480,-58960,-991215,795106,-196109,,0,,0,,,,31931,,,0.0,,-61258,0.0,833608,-7853,-55493.0,173.0,,641.0,2166,15950.0,,75456.0,-112757.0,
2013-08-09,2,2013,108277.0,,,,,22281,39462,18565,-75920,-92.0,,0.0,,0.0,,0.0,-3229,50882,20210,-168047,0.0,-13018.0,,,0.0,,16241,0.0,-1858.0,0.0,31149,,-947196,49984.0,,0.0,,616108.0,,-183089,179400,190220,11463,7902,-43431,,,,2013年01月01日至2013年06月30日,733635,1254268,-44737,,520633,214176,369248,418481,,153484,314264,214176,-126136,-906442,1002470,96028,,16015,,73093,111.0,,,17004,,,0.0,,204305,0.0,1254268,-9031,-47956.0,0.0,,7115.0,110796,40217.0,,201451.0,-89274.0,
2013-11-08,3,2013,329825.0,,,,,12147,50967,-14692,354703,-333.0,0.0,-290400.0,,-46459.0,,119.0,-1597,78646,11946,-176670,-15728.0,-13017.0,-47795.0,,,,43731,0.0,0.0,,110769,-143426.0,-1512528,49784.0,,,,763761.0,,-289260,244372,177050,20196,13420,-67432,1597.0,99217.0,,2013年01月01日至2013年09月30日,733635,1234205,71418,9874.0,500570,242770,439178,514439,-66077.0,678418,338706,242770,-164271,-1515406,1457250,-58156,0.0,16015,,144228,825.0,,,-17662,,,,,271669,13271.0,1234205,-9426,-22666.0,,24318.0,0.0,110407,15950.0,,0.0,-249170.0,
2014-03-26,4,2013,490394.0,,,-445189.0,0.0,-5059,125060,-12224,158626,-167.0,,,,-300673.0,,-3896.0,-2895,104464,11946,-226699,-198682.0,-13017.0,-76996.0,,-6159.0,,41149,0.0,-1864.0,,107392,-244814.0,-1052677,,150272.0,-2407.0,,980210.0,,-851928,383777,161645,13630,18787,-92350,2895.0,163925.0,,2013年01月01日至2013年12月31日,733635,835580,76316,4845.0,101945,219132,981784,1089045,-66077.0,458151,-39857,219132,-203362,-1072534,1452053,379519,0.0,81335,3739.0,140424,948.0,,,-17648,,,,,869913,13271.0,835580,-17806,,,31411.0,-7640.0,107800,33341.0,,-80880.0,-413365.0,
2014-05-09,1,2014,57417.0,,,,,-35039,44305,-6004,248030,-17.0,,,,654.0,1734.0,0.0,-1058,24253,14238,0,,,,,0.0,,15819,8235.0,,1934.0,-140735,,284526,,0.0,,-143705.0,,,43501,120135,14623,6674,5151,-23494,1058.0,12215.0,,2014年01月01日至2014年03月31日,835580,1240207,-31911,336.0,404627,178951,479916,502352,,-141263,-133028,178951,-2375,243466,22518,265984,,0,,262912,-157.0,,,-81184,,,,,323401,,1240207,0,0.0,,,0.0,0,0.0,,0.0,-234214.0,
2014-08-12,2,2014,151735.0,,,,,-22514,409720,54254,186072,-44.0,,0.0,,0.0,2456.0,0.0,-2580,48062,-5510,0,-59730.0,0.0,,,0.0,,31047,8235.0,1967.0,0.0,-261382,,693584,0.0,,0.0,-670521.0,,,-51188,248324,22432,14980,10591,-46303,,68272.0,,2014年01月01日至2014年06月30日,835580,1062450,-42592,-370.0,226870,319610,708093,755298,,-432760,-424525,319610,-38532,725280,-441327,283953,,0,,332697,-156.0,,,-97329,,,0.0,,435688,0.0,1062450,-3482,-30444.0,0.0,,0.0,0,8278.0,,-127648.0,-394394.0,
2014-11-06,3,2014,299193.0,,,,-200000.0,-34658,470865,30542,-51601,-70.0,0.0,0.0,-18169.0,0.0,3384.0,-16567.0,-3336,74945,12011,-1629621,-60840.0,0.0,0.0,,-2891.0,,5958,8235.0,0.0,1747.0,-267410,0.0,1089827,99367.0,,,-1544139.0,,,-1314337,336448,11861,35989,16041,-72641,3336.0,68486.0,,2014年01月01日至2014年09月30日,835580,860575,-32592,-240.0,24995,637933,567595,642343,0.0,852124,759726,637933,-38641,1085641,-1380424,-294783,0.0,966,,332214,697.0,,,-101050,,,,,4410,0.0,860575,-5443,-8396.0,,0.0,0.0,0,9986.0,,0.0,,10338.0
2015-03-27,4,2014,819958.0,,,0.0,-200000.0,56036,376971,-11801,91056,-81.0,,,-2265.0,,4986.0,0.0,-5323,104757,32314,-1692941,-60612.0,0.0,-1425.0,,-1999.0,,68244,8235.0,0.0,6855.0,-427525,0.0,1311947,249178.0,,-1158.0,,-1415027.0,,-1813411,391921,10943,47610,21719,-99387,5323.0,38646.0,,2014年度,835580,1133300,-28653,727.0,297720,438114,1004108,1103561,-128267.0,85563,1074709,438114,-38646,1354943,-1509454,-154511,1060000.0,1174,3685.0,333672,-2338.0,,,177338,,,,,665447,0.0,1133300,-5389,3368.0,,0.0,0.0,0,74248.0,,-145872.0,-438201.0,
2015-05-08,1,2015,,,,,,-33709,38632,1193,-76836,-40.0,,,,2408.0,996.0,0.0,-1540,30070,-9979,-72085,,,,,,-1259.0,271,0.0,,2512.0,-473106,,124888,32.0,,,625118.0,,,-121039,117134,82598,-2853,4803,-28521,1540.0,3417.0,137202.0,2015年01月01日至2015年03月31日,1133300,1755088,15640,475.0,621788,70581,460663,496521,,292111,292143,70581,-3417,92332,196406,288738,,1491,,67830,-390.0,,,-5336,,,,,425940,,1755088,-8877,0.0,,,0.0,0,0.0,-18651.0,0.0,-125353.0,
2015-08-07,2,2015,,,,,,10624,-34743,-1165,48354,-63.0,,0.0,9095.0,0.0,1790.0,0.0,-2540,60874,-9979,-91545,-23145.0,0.0,,,,-7669.0,20402,0.0,0.0,1949.0,-515742,,-540821,49889.0,,0.0,746673.0,,,170786,234641,103377,18361,9119,-58387,,7174.0,247243.0,2015年01月01日至2015年06月30日,1133300,1561092,-2249,293.0,427792,127219,-286792,-199864,,203888,553777,127219,-37263,-531425,-42901,-574326,300000.0,1491,,103956,-373.0,,,-62745,93315.0,,,0.0,-327083,0.0,1561092,-31081,14159.0,0.0,,0.0,0,0.0,-7226.0,-390820.0,,76165.0
