date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-04-24,1,2013,187319.0,-477960,-144031,-15581,14237,-7797,,3492.0,,-544,11808,31927,-193568,-17895,-1357,-7154,3511,229.0,0.0,-13155.0,0.0,58016,,-175879,497,783852,10241,-3.0,-269010,198461,0.0,-5440,3581,-9518,544,,,2013年01月01日至2013年03月31日,1636106,2241758,-697,605652,167998,,912030,921004,,,,-12047.0,-69295,167998,1169.0,,-304464,870151,565687,304090.0,10103,21634.0,,-9442,,-18434.0,753006,715,2241758,,-1907,,112882.0,15925.0,-7.0,41420,-78264
2013-08-13,2,2013,430281.0,-527960,-102351,8226,2456,-4766,-110928.0,0.0,,-1911,21162,58854,-298193,-17895,-9465,-14265,5666,371.0,0.0,-12308.0,0.0,-33513,,-292105,-923,898112,4775,-18.0,-544049,404251,0.0,-5262,7263,-17217,1911,18719.0,,2013年01月01日至2013年06月30日,1636106,2231625,-8886,595519,229733,,1144615,1159877,,,,-11172.0,-63901,229733,4293.0,,-393366,893229,499863,356312.0,12562,21634.0,,-11792,,-18434.0,930144,-425,2231625,-18675.0,-2578,,112882.0,56447.0,-7.0,20395,-129456
2013-11-11,3,2013,820224.0,-950000,-112325,-2392,-1407,-20425,-137834.0,0.0,,-3844,30838,6778,-714205,-17895,-11397,-17245,21227,344.0,0.0,-11981.0,0.0,63682,,-194236,-626,617216,13391,-28.0,-886027,752077,0.0,-20843,11084,-26131,3844,18719.0,,2013年01月01日至2013年09月30日,1636106,1665090,-9832,28984,276005,,1432013,1494149,-347263.0,,,-13322.0,-523780,276005,5152.0,,-309483,707403,397920,654610.0,169200,21634.0,,-10493,,65853.0,1218144,-861,1665090,-58568.0,-3645,,110624.0,21129.0,-7.0,35931,-183549
2014-03-13,4,2013,770711.0,-1653623,12323,1820,12347,2354,-136945.0,0.0,,-11788,44549,82431,-654084,-17895,-18614,-18927,27051,408.0,,,2873.0,199827,,-87547,-550,274481,10668,-39.0,-912678,806800,-1436.0,-45405,15253,-39200,11788,26769.0,,2013年01月01日至2013年12月31日,1636106,2014481,-8624,378375,581370,,1773293,1838272,-347263.0,0.0,,-12147.0,-564671,581370,5206.0,-2350.0,-61301,547492,486191,1310279.0,100873,21634.0,,-10530,,65745.0,1256902,2165,2014481,-64336.0,4655,0.0,110624.0,-73866.0,-7.0,59778,-210520
2014-05-08,1,2014,231058.0,-124685,-145652,-1683,-13820,-11821,-2233.0,0.0,,-2687,8703,17901,-158547,-60922,-296,-2346,9616,355.0,,0.0,434.0,-14368,,-211257,-512,628972,-15599,51.0,-233221,205282,-1373.0,-12201,4108,-7219,2687,,,2014年01月01日至2014年03月31日,2014481,2207618,-8083,193137,8938,,419846,431148,,,3325.0,0.0,-11389,8938,0.0,,-376371,567523,191152,100000.0,19370,10677.0,,-3515,,-8674.0,422210,-5181,2207618,-6770.0,-3161,,0.0,53632.0,0.0,-16605,-41704
2014-08-05,2,2014,405635.0,-129343,-22306,-55904,24744,-19008,-105533.0,,5678.0,-6032,17070,-26192,-257519,-60922,-23722,-5235,19512,678.0,,-3147.0,,-103361,,-716,-731,106106,-3153,97.0,-614784,403640,-1867.0,-34011,7277,-14085,6032,0.0,,2014年01月01日至2014年06月30日,2014481,1692166,1020,-322315,185176,,385172,444732,,,,-149025.0,-66511,185176,0.0,,-1140,-144939,-146079,191667.0,69318,10677.0,,-2022,-185565.0,-8674.0,259556,-2228,1692166,-51507.0,-3896,,0.0,30820.0,0.0,-67752,-58371
2014-11-07,3,2014,649313.0,-529167,36474,-143067,17750,-17276,-109896.0,,5678.0,-7177,27321,37357,-389535,-295121,-34201,888,24179,247.0,,-19339.0,,-337786,,117837,-161,-217363,-20127,142.0,-1044127,593825,-2133.0,-37589,12295,-22544,7177,210.0,,2014年01月01日至2014年09月30日,2014481,1506548,-8527,-507933,422979,,361005,472369,-379182.0,,,3075.0,137832,422979,0.0,-210.0,171629,-771552,-599923,1018680.0,133622,10677.0,,-4878,-185565.0,-8674.0,49390,-413,1506548,-96207.0,-3448,,0.0,79809.0,0.0,-33800,-154769
2015-03-06,4,2014,829339.0,-557450,287779,-83738,9139,-6452,-34021.0,,5168.0,-11481,37978,94278,-484956,-295121,-39858,8638,29526,93067.0,,,-2735.0,-390466,,97317,-211,-949172,-4790,187.0,-1244732,778272,-2501.0,-12719,17546,-31871,11481,44200.0,,2014年度,2014481,1622331,-31478,-392150,1086968,,755318,827715,-379182.0,,,-149025.0,2986,1086968,0.0,-767.0,396133,-1484725,-1088592,966050.0,158612,10677.0,,-6066,-185565.0,-8674.0,-259253,1922,1622331,-96207.0,-4363,,0.0,57285.0,0.0,-47606,-371765
2015-04-28,1,2015,,-260378,-164812,21071,4556,-2109,-17007.0,,,-1141,9724,-30452,-99794,-28485,-3176,-2140,2075,0.0,-261.0,,190.0,58421,,-209900,-406,474970,-66718,,-134902,195467,0.0,18420,4608,-8550,1141,,228382.0,2015年01月01日至2015年03月31日,1622331,2340165,3853,717834,313490,-17.0,566152,613652,,,575600.0,,317036,313490,,,-375114,446894,71780,0.0,6940,0.0,,-3138,,0.0,300162,-4535,2340165,-40091.0,-351,,,3080.0,,-38741,6430
2015-08-10,2,2015,,-306195,-256142,63304,-14518,-1499,21915.0,,0.0,-2892,17045,-57826,-204795,-28485,-21657,-3890,2195,-1260.0,,294.0,,55440,,-55785,-242,794234,4792,,-262072,391839,0.0,3431,8520,-15790,2892,,360518.0,2015年01月01日至2015年06月30日,1622331,3485701,-5444,1863370,585471,-39.0,1334228,1482042,,800000.0,,254300.0,849040,585471,,,-328917,864970,536053,100000.0,10755,0.0,1095.0,-2561,0.0,0.0,896571,-2191,3485701,-134916.0,-255,,,-46370.0,,-51301,-40099
2015-11-02,3,2015,,-1157164,-309199,45612,8855,281,-26888.0,,0.0,-6826,28825,-9465,-214403,-28485,-23329,3184,2195,1417.0,,4827.0,,84487,,52629,163,648474,1229,,-349724,597359,0.0,73366,13480,-23936,6826,221.0,625893.0,2015年01月01日至2015年09月30日,1622331,2715760,-54431,1093429,833282,-56.0,1673620,1897106,-517450.0,800000.0,,0.0,-221002,833282,,-221.0,-249873,687804,437931,650000.0,24707,0.0,1645.0,-1898,0.0,0.0,1063824,-2265,2715760,-206597.0,981,,,-29571.0,,-92279,-86153
2016-03-30,4,2015,,-1867904,-322651,51433,-16003,5504,-11819.0,,0.0,-11978,52011,-63926,-430556,-28485,-25384,-4241,2195,-95188.0,,0.0,4870.0,353955,,-191635,-123,1111197,3766,,-321799,800741,0.0,217540,17807,-29486,11978,1299.0,999900.0,2015年度,1622331,2673916,-25337,1051585,960413,-74.0,2509055,2799241,-517450.0,800000.0,32825.0,0.0,-1071745,960413,,-1299.0,-539602,1378530,838928,1000000.0,54294,0.0,2195.0,-20203,0.0,0.0,1838828,-9116,2673916,-273977.0,2581,,-426223.0,-29917.0,,-147325,115281
2016-05-13,1,2016,,0,-120074,-78493,26159,6893,1843.0,,,-2372,9326,-54690,-55159,0,-4007,6757,0,,-85.0,,83.0,-41054,,-76783,-555,580873,2432,,-82141,204718,,67537,4384,-19428,2372,,324459.0,2016年01月01日至2016年03月31日,2673916,2926194,-5157,252278,-184497,-21.0,422019,489259,,,0.0,-32825.0,-32910,-184497,,,-169273,518570,349297,,33091,,546.0,-109,,,673756,2001,2926194,-50184.0,-160,,,38989.0,,47919,-57992
2016-11-10,3,2016,,-658333,-104892,-7678,35814,7419,-303621.0,,,-5084,24364,-106989,-150811,-177023,-5620,18238,0,-209.0,0.0,-2935.0,,-127254,144837.0,99857,-1001,140292,-5941,,-686767,560753,,157809,13673,-17742,5084,0.0,745989.0,2016年01月01日至2016年09月30日,2673916,2188262,3840,-485654,-366270,-70.0,292864,454783,-525635.0,0.0,249415.0,,15238,-366270,,0.0,37733,37331,75064,950000.0,109816,,1593.0,-2583,,,821053,8025,2188262,-149261.0,12160,,,,-38774.0,30493,-301410
