date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得子公司股權,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-10,1,2013,115380.0,,-682062.0,,14130.0,17980,38.0,-374,,,,,,4065.0,30044,-30,14636,-6259,,-163,,,-5.0,,-1117836,,-78130.0,-108345,,,-50000.0,-10199,278277,-58697,1035.0,-17426,57396,,-10103,1062,-11441,30,,,2013年01月01日至2013年03月31日,185018,217044,32026,14210,,,-682419,-682448,,3099554,-2840761,731871,14210,,66396,-878434,-812038,1294711.0,0.0,,0.0,,,,-696658,-12165.0,6723.0,217044,-1,-4142,,9854.0,0.0,12319,-15227,181902,
2013-08-09,2,2013,273038.0,,-682062.0,,-36830.0,24208,-7721.0,-1042,,,,,,,21981,-245,28251,-19925,-11280.0,-638,,,0.0,,-810700,,-78130.0,-177699,,,,-20016,271678,2500,2069.0,-89620,113960,,26456,2124,-25828,245,,,2013年01月01日至2013年06月30日,185018,167280,-17738,-71961,,,-517105,-489810,,5052949,-4990930,588987,-71961,,-201836,-489051,-690887,1298440.0,0.0,,87.0,,,,-417849,-31735.0,6723.0,167280,-1712,-2462,,103257.0,,-2151,-69695,70096,0.0
2013-11-13,3,2013,273866.0,,-684462.0,,-32580.0,24119,-7589.0,-1377,,,,-2950.0,-736.0,,8950,-290,44066,-49043,-11280.0,-1081,,,0.0,,-813052,0.0,-78130.0,-131043,,,,-91426,247933,5091,3128.0,-151446,171926,,11456,3178,-41392,290,,,2013年01月01日至2013年09月30日,185018,127949,-57069,-109108,,,-698404,-653707,-48337.0,7811434,-7491452,792781,-109108,,-273403,-545062,-818465,1298440.0,0.0,,168.0,,,,-544599,-49284.0,6738.0,127949,-3595,4517,-3432.0,35694.0,,-16282,-101667,35391,0.0
2014-03-21,4,2013,310799.0,,-684462.0,-55000.0,-20027.0,23718,-7717.0,-678,,-12932.0,,,0.0,,11102,-525,57012,-89831,-11280.0,612,,,0.0,630.0,679765,0.0,-78130.0,-115909,,,-100000.0,-106729,-157438,-6471,4178.0,-238392,228262,,49392,4233,-55305,532,,,2013年01月01日至2013年12月31日,185018,131561,-53457,-68949,,693351.0,693351,751737,-48337.0,9401913,-10227878,-508416,-68949,,-107484,617371,509887,1298190.0,589.0,,413.0,0.0,0.0,,820686,,6738.0,131561,-3613,-1018,-3432.0,3970.0,0.0,29083,-136848,138720,0.0
2014-05-09,1,2014,106961.0,,0.0,-55000.0,-14426.0,-74,-4031.0,732,,-15247.0,,,-231.0,,9516,-201,10613,-19262,,-164,,,0.0,330.0,506239,,0.0,25576,,,50000.0,-4199,85038,-55,464.0,-59085,67412,,0,1055,-10970,201,,,2014年01月01日至2014年03月31日,131561,285562,154001,-51215,,,552988,563759,,1338363,-1673265,-339902,-51215,,-99493,607506,508013,0.0,,,,,,,614974,,0.0,285562,-2,-756,,19486.0,,15626,-24675,-102877,
2014-08-12,2,2014,177871.0,,0.0,-110000.0,,-6,,134,-4467.0,767.0,,,-603.0,,5924,-648,20753,-45925,0.0,-711,,,,330.0,115035,,0.0,33703,-48338.0,,50000.0,28644,47286,14273,1527.0,-168946,130432,,0,1406,-20983,647,,,2014年01月01日至2014年06月30日,131561,235896,104335,-71895,,,158851,175759,,3668683,-3494253,114430,-71895,,-114440,184223,69783,0.0,9102.0,,0.0,,,,247654,,0.0,235896,3428,13700,,7015.0,,7501,-132617,-125509,
2014-11-07,3,2014,250721.0,,0.0,-165000.0,-57721.0,-194,-4819.0,-573,,-70.0,,,305.0,,29055,-864,32896,-42526,0.0,104,210.0,,,330.0,-262571,,0.0,-19124,,,50000.0,3093,166738,9820,2597.0,-249725,192621,,0,1406,-33235,863,,,2014年01月01日至2014年09月30日,131561,273213,141652,-47375,,,-184051,-152019,0.0,6506947,-5816729,575428,-47375,,-226326,-129039,-355365,0.0,9152.0,,3788.0,,,,-104644,,0.0,273213,340,-18576,0.0,10291.0,,-42259,-216916,-150352,
2015-03-20,4,2014,359450.0,,0.0,-220000.0,-11193.0,53,22.0,-45,,-530.0,,,-9279.0,,33309,-1307,47651,-352454,0.0,-482,,-5140.0,,90.0,-422586,,0.0,62434,,,50000.0,-93751,126872,25657,3677.0,-382535,256469,,0,1886,-48537,1225,,,2014年度,131561,211100,79539,-176655,,-428836.0,-428836,-381812,0.0,8630095,-7564045,890910,-176655,,-224602,-340005,-564607,0.0,9615.0,,2957.0,,,,-205157,,0.0,211100,288,-10737,0.0,29704.0,,-69956,-29977,-185791,
2015-05-08,1,2015,,,,-55000.0,-13140.0,3770,0.0,542,,98.0,,,0.0,,3513,-240,14186,-32628,,1692,,,,0.0,808420,,,3022,,,250000.0,-57813,-174042,-4807,,-43057,62626,,10728,480,-14948,137,,69891.0,2015年01月01日至2015年03月31日,211100,217195,6095,-96369,1103.0,563908.0,563908,578733,,1726404,-2436160,-514756,-96369,,-61874,667085,605211,,,,,,,,675102,,,217195,-14,1857,,0.0,-14223.0,22474,-10527,4954,
2015-08-12,2,2015,,,,-110000.0,-111532.0,-5850,6.0,-1065,,5309.0,,,0.0,,11003,-799,26499,-57175,,-603,,,,0.0,918686,,,-42085,,,200000.0,-35447,90414,-7523,,-52197,122848,,10728,960,-27608,726,,78699.0,2015年01月01日至2015年06月30日,211100,300402,89302,-88390,2195.0,,646031,675908,,4096188,-4800720,-504532,-88390,-29545.0,-199888,885487,685599,110000.0,29041.0,,-26816.0,,,,764298,,,300402,-2995,3220,,0.0,-28068.0,-119903,-29372,-13025,
