date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-04-29,1,2013,1344749.0,,65179.0,,-6910071,462715,-20246,135746,6564,-109953,-79007,42908.0,0.0,2311.0,,,,49669.0,-129364,59141,2716041,-2187270,,0,-88992.0,,,,-39786,,80775,332333.0,-460054,-8962,-802597,-47227,,1564645,205632,-79312,-1985955,1845664,-25945.0,-237290,249446,-73755,129360.0,,,2013年01月01日至2013年03月31日,51096128,55296148,4200020,5025503,5923837,6539685,,,4123835.0,,-2453903,4960324,,,-459552,628985,169433,,205156,,81919,,-10071,,,11935,0.0,1514182,55296148,-671453,-12076,,,,-513411.0,-624436
2013-07-29,2,2013,2993542.0,,119628.0,,-10940992,2437239,-270568,118675,107652,-202730,49293,-67197.0,,16248.0,,,,346510.0,-296034,101926,5157242,-4599891,,-178930,-89992.0,,,,-194139,,23214,424899.0,-1248990,-455843,2746688,124073,,-68128,-495642,-470171,-5715694,3702370,,-426299,588818,-156210,296034.0,635299.0,,2013年01月01日至2013年06月30日,51096128,53943741,2847613,10317099,14243851,15006292,,,,-321693.0,-10837786,10197471,,,5464945,-3769294,1695651,,341559,,403886,,-32520,-1305102.0,-25989.0,142669,,4689193,53943741,-1537564,-11181,35762.0,0.0,,-809194.0,-1064543
2013-10-28,3,2013,4971086,0,132798,0,-16754495,913909,-108990,165920,4424,-86685,-39861,,,,-6443,-347642,,646423,-513146,189209,2749233,-7374596,,-214517,,,,,-237486,-96700,151309,624357,-1600887,-455843,4259325,38317,,-3909978,255048,-214553,-6737965,5547490,-24435,-720059,969040,-220445,513146,635299,,2013年01月01日至2013年09月30日,51096128,54971544,3875416,16186798,16931102,19225961,,-12843202,,-270364,-9066954,16054000,,,5176114,-7108037,-1931923,20173000,393913,,532083,720000,-31816,-644799,-25989,217083,,3039163,54971544,-3222859,-38603,35762,3750,,-809194,-1235835
2014-03-11,4,2013,6608516.0,0.0,132798.0,0.0,-1422128,3062366,43592,75440,-184513,-17785,24936,-79596.0,,-12841.0,,,-320291.0,,-724410,242701,2770009,-8823567,,-362670,-114700.0,,,,-398634,,177496,1097730.0,-2753789,-605843,6293187,-49045,808.0,-6554316,450800,-214819,-9067286,7227049,-15515.0,-880788,1114557,-226124,724410.0,308122.0,,2013年01月01日至2013年12月31日,51096128,59023870,7927742,22629352,25422270,27836331,,-12843202.0,,-576247.0,-11197251,22496554,,-140180.0,9147739,-10549276,-1401537,3350440.0,443672,,801448,970000.0,9303,-644799.0,-25989.0,400298,939.0,5206979,59023870,-3220469,-56480,42012.0,-803844.0,32141.0,-809194.0,-1483288
2014-04-29,1,2014,1788218.0,0.0,0.0,,-13357318,-186541,-55806,53195,447815,-47163,43998,-117956.0,,,727.0,,,-6945.0,-242872,37391,817513,-1077386,,-38000,-28844.0,,,,-121954,,144021,0.0,-176763,0,-3987668,39194,-190.0,3577190,6169,27926,-1069099,1749940,-11341.0,-218676,256653,-45126,,242872.0,,2014年01月01日至2014年03月31日,59023870,58817841,-206029,5911126,6649078,6963729,,,6770812.0,,-6603521,5911126,,,-3643392,2907777,-735615,,26129,,163913,,17599,0.0,0.0,14311,13261.0,1052603,58817841,-512397,14302,15549.0,-17015.0,,0.0,-347674
2014-07-29,2,2014,2908738.0,,0.0,,-18751044,1028679,-106944,129898,448108,-114948,45879,20684.0,,,4175.0,,-133736.0,0.0,-509694,65463,-572118,-2419934,,-135103,-28844.0,,,,-128565,,187492,0.0,-674442,-349,-2078236,82327,-808.0,1297067,-94211,-252213,-2210695,3266828,-94930.0,-480064,493687,-75752,509694.0,657399.0,,2014年01月01日至2014年06月30日,59023870,60504492,1480622,12885925,15343378,15671047,,,1217080.0,0.0,-11079943,12885925,,,-474051,350435,-123616,6471000.0,49223,,536964,32213.0,9503,0.0,0.0,-119430,13261.0,2785122,60504492,-1419010,-20596,15549.0,-16979.0,,0.0,240474
2014-10-28,3,2014,4521193.0,306.0,0.0,18112.0,-18782687,-895449,-141050,132571,1075535,-237243,44159,43565.0,,-105383.0,,,-8335.0,0.0,-737921,109196,2165340,-4125695,,-320994,-28844.0,,,,-179713,,269569,0.0,-2468713,-2646215,1012517,25656,-808.0,-2814350,170123,-440161,-6481626,4939094,-70022.0,-786450,854659,-109110,737921.0,657399.0,,2014年01月01日至2014年09月30日,59023870,62816642,3792772,20234228,19264710,20301722,,-14137739.0,2589727.0,0.0,-11155652,20234228,,,1261610,-5715309,-4453699,20564600.0,133558,,768316,0.0,7224,0.0,0.0,-156094,13261.0,67494,62816642,-2323222,-2648,24564.0,-1389553.0,,0.0,109971
2015-03-10,4,2014,6076625.0,306.0,0.0,18112.0,-18800236,1666867,-56029,114063,1081930,-27820,91773,-113808.0,,-106993.0,0.0,,0.0,92972.0,-949336,162480,3469028,-5531856,-342878.0,-1654042,-28844.0,,,-111948.0,-400617,,249547,0.0,-3530146,-2646215,874379,56643,-808.0,-2731916,481531,-435439,-9410618,6613373,-59439.0,-979988,1022608,-162395,949336.0,799053.0,,2014年度,59023870,73459818,14435948,26514857,27835238,29503784,,-14137739.0,1239576.0,0.0,-7457700,26514857,,-141714.0,3770784,-6858482,-3087698,26423380.0,177119,,1020122,0.0,11725,0.0,0.0,-57117,104144.0,2988927,73459818,-3254540,61827,28420.0,-2182681.0,54800.0,0.0,-499479
2015-04-28,1,2015,,,,,-26383204,-126997,59431,-10738,-286089,-7786,-61956,63745.0,,17060.0,,,,192977.0,-158251,57080,-1138654,-1696521,-1239.0,-166273,-94512.0,,,,-130120,,109823,,432420,-68155,-5355207,-40438,0.0,5777347,-443085,70670,-1751536,1658762,-28310.0,-297586,234053,-37998,158251.0,0.0,1610873.0,2015年01月01日至2015年03月31日,73459818,73315741,-144077,5083137,5405691,6205265,,,6127170.0,,-2659578,5083137,,,-5870687,5381942,-488745,20499821.0,68470,,126777,,23547,,,78019,0.0,1122128,73315741,-919827,-94574,0.0,-2903365.0,,,-531752
2015-07-28,2,2015,,540.0,,,-26382860,1381239,133065,22250,-286183,-6680,-76389,258753.0,,,-164206.0,,,-74427.0,-338637,187561,-3093031,-3820965,,-316675,-94512.0,,-1271.0,,-180303,,221436,,1226387,-14062629,-4061454,89470,0.0,3672246,-384602,-176663,-18252305,3361894,-8932.0,-602787,602226,-180404,338637.0,749034.0,3624366.0,2015年01月01日至2015年06月30日,73459818,60258877,-13200941,10589523,14419126,15298505,,,2125976.0,,-6274731,10589523,,,-2953317,4037933,1084616,20854202.0,108862,,353281,0.0,-13056,,,240990,0.0,4708982,60258877,-1786646,-49683,14422.0,-2872049.0,,,-697891
