date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-06,1,2013,575866.0,-73046,30434,-189087,20.0,,4533.0,0.0,-752,,,-3569,26560,12,-2037006,-10000.0,,,-10945,,19514.0,-58739,4917,-8279,33.0,,7405,-172,-66770,6,-3434,,-5437.0,-2491456,555019,-15544,7347,-24175,3557,,,2013年01月01日至2013年03月31日,911500,918877,7377,-157607,,49546,70164,,,,5000,0.0,2449275,-157607,,,-43732,-304363,-348095,2439709,71,1200,5,,,,,227771,-71,918877,0,,6800.0,,13641,-454290,,517
2013-08-13,2,2013,1072444.0,142139,72109,-268472,,,,-3965.0,1780,,,-8978,26560,16,-2173158,-10000.0,,,-17765,-4338.0,0.0,-54161,74955,-766,33.0,0.0,409,1185,-96013,-803,-17770,,-11671.0,-2722037,1057919,-30213,14852,-59302,8978,51585.0,,2013年01月01日至2013年06月30日,911500,1108449,196949,-237124,,705567,802815,,,,5000,0.0,2213403,-237124,,,368191,-400696,-32505,2212335,780,1200,3724,,,0.0,,1039939,-71,1108449,-46924,,6800.0,,36523,-570341,,89902
2013-11-08,3,2013,1649801.0,167388,63341,-219816,,,,-3679.0,-593,,,-14357,95355,8,-2392876,-10000.0,,0.0,-21420,-4898.0,,-51743,-222226,-15653,,-14967.0,9011,974,-61553,-1448,3992,,-18169.0,-3463246,1581172,-45530,21382,-59242,14357,78585.0,,2013年01月01日至2013年09月30日,911500,1232878,321378,-116891,,1200955,1304145,,-55422.0,,55277,,2583661,-116891,,,66421,-295186,-228765,2602452,853,1200,5521,,,0.0,,1421036,-71,1232878,-58305,51.0,6800.0,,35382,-1114690,,81826
2014-03-17,4,2013,2263331.0,26883,42060,271937,,,0.0,-4192.0,-59,,,-22170,133278,13,-1257050,-10000.0,,0.0,-24095,,9911.0,74677,-218452,-17617,174920.0,0.0,-4274,87,-25223,-601,-2367,,-23586.0,-4191380,2024430,-65192,28331,-130861,22170,61854.0,,2013年01月01日至2013年12月31日,911500,3673841,2762341,149626,,2547444,2720270,,-55422.0,2206683.0,125000,0.0,4406264,149626,,-10269.0,8512,298801,307313,1959275,94174,1200,-69084,,,0.0,27000.0,2570644,80,3673841,-64135,3577.0,240489.0,,-19622,-3094374,,203331
2014-05-12,1,2014,339636.0,-24862,10290,89113,,,876.0,,63,,,-10675,37014,49174,-86236,0.0,,-40000.0,-5762,-27653.0,0.0,-7140,3049,5396,129974.0,,416,1405,-75309,-502,-13221,,-7153.0,-1940217,263860,-15031,7102,-35687,10675,,,2014年01月01日至2014年03月31日,3673841,3097313,-576528,68921,,372357,397798,,,,445000,,942158,68921,,,211,-10970,-10759,366308,97732,0,-73374,,,,,328877,0,3097313,-429,-77444.0,208121.0,,-3911,-1878298,,11670
2014-08-13,2,2014,662730.0,218958,122137,61023,,,4441.0,0.0,-31483,,,-26668,78658,9441,-168138,0.0,,-40000.0,-7508,-153322.0,,5451,-1179,4728,0.0,-69887.0,8838,737,-134180,-644,-31439,,-13541.0,-1178599,574008,-34190,13647,-77137,26668,43675.0,,2014年01月01日至2014年06月30日,3673841,4529267,855426,231762,,1104249,1274260,,,,0,-80000.0,920335,231762,,,539279,-159511,379768,1065781,97752,0,-73380,,1943807.0,,,1042498,0,4529267,-119542,-115585.0,0.0,277723.0,-59722,-2894865,,198601
2014-11-11,3,2014,1011300.0,229408,280061,22603,,,10772.0,0.0,-91341,,,-42858,125381,48878,-3957401,0.0,,-40000.0,-9755,-170457.0,,309,13539,9804,,-69887.0,3644,603,-29999,-865,1571,,-21459.0,-3196824,875771,-52484,19283,-121249,42858,43675.0,,2014年01月01日至2014年09月30日,3673841,3986207,312366,393433,,1877034,2134267,,-55422.0,,113000,,1583278,393433,,,775723,-46189,729534,1584815,108761,0,15410,,1943807.0,,,1740834,280053,3986207,-178842,-115585.0,0.0,277723.0,-39808,-1115454,,-19930
2015-03-16,4,2015,,31072,-28345,-287836,,371.0,0.0,-870.0,-188670,-222220.0,,-21836,229945,84920,-3215673,-50100.0,,0.0,-69774,-179309.0,,-25622,24619,1124,179316.0,0.0,-3790,-428,5607,509,25132,,,-1559618,1268369,-54081,26574,-232087,21836,46640.0,1137231.0,2015年度,4370859,2690740,-1680119,-1256585,-166253.0,-968791,-709741,,-62608.0,0.0,570000,0.0,763370,-1256585,,-14094.0,-251257,-339130,-590387,77532,1796533,225677,73123,,0.0,-127140.0,195737.0,546844,-210969,2690740,-48799,-54959.0,,0.0,-56920,-87129,,101342
2015-03-23,4,2014,1348949.0,181475,88855,157436,,,7835.0,0.0,-146487,,,-53071,179570,132488,-6549100,0.0,,-40000.0,-18434,-244883.0,0.0,-331,-29747,8183,0.0,-70007.0,-388,-2,-72351,-1137,-24301,,-18738.0,-5046856,1195053,-61259,24886,-176494,53071,45651.0,,2014年度,3673841,4370859,697018,446307,,2042804,2335619,,-55422.0,998838.0,0,-90000.0,3568582,446307,,-10573.0,699514,-159151,540363,2777338,124960,0,33002,,1943807.0,,,1889312,213172,4370859,-169392,-89895.0,,277723.0,-218467,-308857,0.0,256704
2015-05-13,1,2015,,-119275,43134,-399130,,,4119.0,,-55146,,,-7430,55339,-25034,-755311,,,0.0,-353,0.0,15125.0,-3573,-9221,15381,120.0,,7280,1674,39078,-279,28742,,,-713061,324166,-11282,4282,-55410,7430,,674111.0,2015年01月01日至2015年03月31日,4370859,3542508,-828351,-55138,-57558.0,-87530,-39072,,,,0,,-2726,-55138,,-4.0,-225565,-432480,-658045,-6965,197341,1913,390415,,,457.0,16600.0,16066,253505,3542508,-478,-26686.0,0.0,,-97318,-188376,0.0,-360485
2015-08-10,2,2015,,-49906,158441,-184374,,,6737.0,,-106109,,,-12804,111144,-56578,-851430,-50100.0,,0.0,-27824,-35588.0,,-5154,17689,19368,80029.0,0.0,728,4089,66350,948,8838,,,-618279,622956,-27433,10578,-109032,12804,46640.0,711061.0,2015年01月01日至2015年06月30日,4370859,4174066,-196793,-273764,-95454.0,-421968,-294452,,,,750000,0.0,900032,-273764,,-4.0,-245708,-486041,-731749,63266,1014984,1913,138069,,0.0,457.0,16600.0,-20688,32229,4174066,-31288,-25793.0,,0.0,-372649,-733474,,-332892
