date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少
2013-05-02,1,2013,37044.0,,-97450.0,-26240,2894,-21352,152,,,-4427,2268,-1307,-1757,,,,,,,,,5.0,-1847,-4307,631,-9523,-420,12258,405,-8547,,1067.0,-927,31479,196.0,28633,6653,1360,-2543,4261,,,2013年01月01日至2013年03月31日,1113898,1000434,-113464,16258,,33327,31609,,,-42800.0,-144557,16258,,-31243,9550,-21693,,825,,0,-78,,0,,,,15351,1000434,0,,,-211.0,,
2013-08-13,2,2013,66697.0,,-231300.0,-23944,-1978,-7361,203,-2.0,,-7316,3818,-4726,-2773,-176379.0,,,,-504.0,,,,19.0,4319,-52434,-1289,-10105,-302,31750,3494,-1099,,1069.0,-178707,48760,883.0,47983,15423,1365,-4233,8474,,,2013年01月01日至2013年06月30日,1113898,694991,-418907,-7347,,106376,102971,,,-58116.0,-341850,-7347,,-35463,79084,43621,,930,,0,-353,,0,,0.0,,110318,694991,-836,,5000.0,,0.0,
2013-11-13,3,2013,106550.0,,-278850.0,-25703,-2424,-69730,362,,,-9264,4798,1987,-6691,-115234.0,,,0.0,-504.0,0.0,,-2592.0,0.0,3394,-52435,-4609,-11382,-864,-5409,2339,3216,,1018.0,-124086,76249,102.0,83715,26260,1365,-5393,10468,,,2013年01月01日至2013年09月30日,1113898,679727,-434171,-18560,,66254,62015,,,-47041.0,-378326,-18560,,-43500,17525,-25975,,935,0.0,0,-358,,0,,0.0,,80575,679727,-836,7500.0,,0.0,0.0,
2014-03-25,4,2013,156005.0,,-334700.0,-9235,-3017,-34972,1051,,-212.0,-11241,5854,6293,-47912,-138480.0,,,0.0,-1764.0,0.0,,-2700.0,0.0,7920,-104239,-22459,-9474,21968,36828,929,560,-318.0,-1351.0,-186290,101976,0.0,70230,49944,1365,-6443,12298,,,2013年01月01日至2013年12月31日,1113898,673020,-440878,-52579,,167105,162086,,10953.0,0.0,-427986,-52579,,-22517,81177,58660,,1987,0.0,1627,-200,,-981,,0.0,0.0,214665,673020,-836,9500.0,,,952.0,
2014-05-12,1,2014,29625.0,,0.0,-22477,-967,-13217,-6203,,,-1722,1264,-6703,-1094,,-448950.0,,,,,,,-40.0,1732,-2345,819,-1806,-4243,-19573,336,2398,318.0,-138.0,-428807,30958,104.0,68132,11300,105,-1012,1646,,,2014年01月01日至2014年03月31日,673020,493779,-179241,13869,,49343,48709,,,135121.0,206926,13869,,-34911,40126,5215,74150.0,415,,16100,159,,-12439,,,,34840,493779,0,,,0.0,,4762.0
2014-08-12,2,2014,56681.0,,0.0,-31546,1418,2720,175,4761.0,,-3206,2897,6474,-2421,,-448950.0,,,0.0,,,,-161.0,1572,-2345,-905,-2033,-8496,11265,681,1080,315.0,1345.0,-434468,45003,29.0,46342,24415,210,-2761,3540,,,2014年01月01日至2014年06月30日,673020,468898,-204122,2357,,88540,87761,,18977.0,0.0,135332,2357,,-40013,68736,28723,118700.0,633,,16431,20,,-12658,,,,85404,468898,0,0.0,,,,
2014-11-10,3,2014,86848.0,,0.0,-28010,1316,25009,930,4762.0,,-4816,4244,2935,-3180,-5862.0,-448950.0,,,0.0,,,-77.0,,482,-2345,3244,-1782,-12760,12075,1179,-1987,318.0,1909.0,-439675,66642,0.0,69609,33775,315,-4232,4647,,,2014年01月01日至2014年09月30日,673020,455532,-217488,6116,,169673,169258,,14624.0,0.0,49579,6116,,-35153,111447,76294,37300.0,766,,17628,-9,,-13303,,,,163142,455532,0,0.0,,,,
2015-03-23,4,2014,158004.0,,0.0,-25901,2237,35612,-235,375.0,104.0,-6201,5481,3144,-5233,-112578.0,-448950.0,,,0.0,,,-282.0,,633,-2345,-4163,989,-17035,23617,2967,1124,318.0,-482.0,-543166,87603,,45402,53401,420,-5378,6467,,,2014年度,673020,446913,-226107,-43844,,180707,179618,,25053.0,,133208,-43844,,-44590,110048,65458,110500.0,6249,,17628,-343,,-13303,,,,223462,446913,0,0.0,30842.0,,0.0,
2015-05-08,1,2015,,,,-6794,7751,-25622,740,572.0,,-1207,1841,-3486,-1627,,0.0,,,-100.0,,,0.0,,3325,0,2541,11154,-4275,-42213,-143,-11526,,,-76241,16173,0.0,-6937,9756,113,-1594,871,,17582.0,2015年01月01日至2015年03月31日,446913,474108,27195,18453,-174.0,-36289,-35566,,28711.0,,143211,18453,,10943,-82544,-71601,114500.0,985,,69873,-217,,-8877,1717.0,,,-54019,474108,0,,,,-147089.0,0.0
2015-08-11,2,2015,,16785.0,,2521,8204,-11393,951,1316.0,,-2514,3995,-7053,-3904,,0.0,-161893.0,,-100.0,,,0.0,,-864,-72476,11185,-1822,-5797,-27603,0,-7167,0.0,,141025,31168,1503.0,-18396,21812,243,-3766,2526,,-2668.0,2015年01月01日至2015年06月30日,446913,690137,243224,78213,-303.0,24773,27880,,7955.0,,84479,78213,,16442,-64107,-47665,149000.0,2545,,285875,191,,-57563,1717.0,,,-50333,690137,-1867,,,,,
2015-11-10,3,2015,,16785.0,,5571,10657,-12391,1516,1891.0,,-4035,6443,-6915,-5256,0.0,-2200.0,-161893.0,-29036.0,-100.0,,,0.0,,-1355,-123789,-2488,5753,-5797,-36037,0,-6862,0.0,,111285,46129,2985.0,-14505,27591,373,-6304,3698,,19590.0,2015年01月01日至2015年09月30日,446913,660686,213773,112639,-450.0,76381,80717,,48811.0,,33022,112639,,17747,-69259,-51512,108000.0,3755,,287513,-1008,,-59203,1717.0,,,-31922,660686,-1730,,3300.0,,,
2016-03-22,4,2015,,46589.0,,76979,2846,-11050,2909,1844.0,0.0,-5668,8791,-3379,-10860,0.0,-60781.0,-161893.0,-29035.0,-100.0,,,-394.0,,1878,-204854,8622,676,-5115,-29636,0,-204,0.0,,313188,60776,1645.0,-7724,44392,503,-8594,5634,,-38431.0,2015年度,446913,902076,455163,177598,-4612.0,166319,178225,,0.0,-1611.0,-20965,177598,,83950,-44892,39058,185500.0,4271,,516182,-2881,7492.0,-152123,1717.0,,,627,902076,-8946,115.0,7664.0,,,
2016-05-03,1,2016,,28945.0,-13500.0,-38877,2481,7671,863,1117.0,,-1564,2372,576,-3802,,-141592.0,,,0.0,,,-904.0,,2629,0,-10732,-3656,-682,13477,0,-715,,,-117220,13971,-1538.0,10653,1717,122,-2380,1913,,16465.0,2016年01月01日至2016年03月31日,902076,765847,-136229,20740,-195.0,19212,19701,,0.0,-25297.0,-38797,20740,,-52336,34832,-17504,0.0,133,,0,-133,,-20,0.0,,,-1039,765847,-22,,,,0.0,
2016-08-09,2,2016,,28945.0,-27000.0,-30230,1645,3121,1525,1709.0,,-2974,4590,234,-17961,-50000.0,-189213.0,0.0,,0.0,,2185.0,0.0,2100.0,-534,0,-9698,-3193,-682,-5670,0,273,0.0,,-223187,27925,-570.0,-16397,5532,227,-4794,3498,2142.0,35212.0,2016年01月01日至2016年06月30日,902076,654325,-247751,58161,-370.0,15194,34302,,0.0,-15177.0,-39992,58161,,-41573,-17498,-59071,0.0,50,,0,682,750.0,-20,0.0,,,-23859,654325,-17812,,,-750.0,,
