date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-26,1,2013,1681203.0,,-244238.0,450634,0.0,-8122,39974,122305,,-159779.0,-63918,,-187989,86544,457757,-1439126,-654.0,,,,-6302,-5253768.0,,0,84188,-61858,-80,2247,-435470,386233,82801.0,-102518,-376119,30.0,5.0,-6708760,1193535,8801.0,0.0,,-21161,10431,-74800,202452,,,2013年01月01日至2013年03月31日,45399535,47015202,599247,1615667,4649937,,5966145,6499694,,26843282,-24743978,1900525,4649937,,865930,-697376,168554,111999.0,1500,8668.0,811,,,-215,,,,0.0,,1849757,,47015202,-533549,,-14070.0,,
2013-07-31,2,2013,3900496.0,-50854.0,-4667621.0,288292,,-90312,-27132,282474,,-3930051.0,-63918,,-352479,164046,2336005,-3168869,-1565.0,-20040.0,,-2010.0,-11972,13536815.0,,0,101751,-129151,-98,7738,-957185,281122,95204.0,-132466,-1411205,30.0,160.0,-9389525,2382895,-10183.0,0.0,,-25996,21820,-173711,351290,,,2013年01月01日至2013年06月30日,45399535,34408366,1719861,-10991169,9516222,,9588670,11735517,,38747715,-49498821,-13526319,9516222,,494997,-2176198,-1681201,2176750.0,2123,96763.0,388,,,-12563,11895.0,,,-16197626.0,,2219295,2504.0,34408366,-2146847,20.0,-32377.0,,
2013-11-01,3,2013,5430684,-50854,-4821539,-266018,,-143009,-66856,666618,,-564664,-63921,,-450484,223814,-161116,-6713758,-1565,-20040,,-2010,-45292,-18240114,,0,131346,-189927,-178,13212,-1450557,320949,40852,-84892,-1369255,20,10,-9917583,3755552,-20311,0,,-17668,33956,-194186,590551,,,2013年01月01日至2013年09月30日,45399535,33161276,1923909,-12238259,12931497,,13067826,15989732,,46151496,-58403015,-15227386,12931497,0,-76266,-2296183,-2372449,2181666,13827,983563,-12249,0,,-27950,11895,,,14120911,,3058235,2504,33161276,-2921906,-700,-32373,0,
2014-02-06,4,2013,6754483.0,-50854.0,-4927490.0,740163,,-95998,28210,1144525,,-851.0,-63918,,-658600,291413,1177238,-9629360,-31515.0,-20040.0,,-2010.0,-47446,-19196000.0,,0,136705,-200740,-4157,18431,-1424079,1267148,228959.0,-58039,-2254617,-530.0,152.0,-10728198,5178520,-21758.0,-17000.0,,-55806,46691,-248895,706164,,,2013年01月01日至2013年12月31日,45399535,39378362,2001582,-6021173,17528275,,20115606,23819894,-4504219.0,59599342,-68535659,-16585819,17528275,37341.0,2184835,-2647699,-462864,2178364.0,26532,1037551.0,-10547,0.0,,-78015,79172.0,,,16399249.0,,6291619,2504.0,39378362,-3704288,-600.0,-32373.0,0.0,
2014-04-29,1,2014,1082793.0,,0.0,-340419,-210.0,-5956,33944,-283308,,,0,,-212289,55914,509814,-1090666,0.0,,-520.0,,-1055,291946.0,,-4864,71453,-163479,-28258,8291,-124890,-623888,-135950.0,-48717,1767965,560.0,1.0,-376064,1442460,0.0,713.0,,-3226,13703,-42291,177921,,,2014年01月01日至2014年03月31日,39378362,39878229,-113285,499867,3858813,,3945624,5181451,,8813272,-12258462,-3579507,3858813,,-1115239,1355084,239845,0.0,32193,50000.0,-3350,,,-98231,184084.0,,,,,1322638,,39878229,-1235827,-1918.0,0.0,7879.0,
2014-08-11,2,2014,2232993.0,0.0,-1000000.0,-330324,,38193,332,-738069,,,-204576,,-421235,96568,331637,-4980965,0.0,0.0,-520.0,0.0,-3504,2843358.0,,-4864,204954,-279416,-5805,4404,87386,-573261,-271130.0,-81212,-650143,560.0,8.0,-1510131,2934059,0.0,1732.0,,-25187,29072,-62850,474426,,,2014年01月01日至2014年06月30日,39378362,38900532,-242799,-477830,9294845,,6085667,9011910,,16649000,-20896691,-5385003,9294845,,-1255587,-1260341,-2515928,0.0,52391,50000.0,12141,,,-140838,260660.0,,,,,-282935,0.0,38900532,-2926243,-3924.0,0.0,0.0,
2014-11-06,3,2014,4005452.0,0.0,-1000000.0,154590,,-90911,1238212,-1860693,5251809.0,,-207007,54020.0,-642460,126145,663467,-10019935,0.0,0.0,-520.0,0.0,-29204,3197780.0,,-4864,618688,-573990,-6642,4736,-544437,-65889,-277787.0,-111940,637629,375.0,1.0,-5721782,4328351,0.0,16220.0,36000.0,-20360,43065,-101346,749486,38500.0,,2014年01月01日至2014年09月30日,39378362,48191910,-302549,8813548,15588320,,19408772,23940951,,20625000,-25105261,-5536909,15588320,,6188996,-1841817,4347179,0.0,77118,50000.0,-14550,,,-192139,352685.0,19701.0,,,,8352631,0.0,48191910,-4570679,-4077.0,0.0,331527.0,357363.0
2015-03-19,4,2014,5083496,0,-1000000,1319795,,-219965,1615917,-3155646,8452271,0,-298812,54020,-825643,164208,3116553,-20211875,0,0,,0,-92197,3205272,,-4311,891678,-744225,-52834,50848,-2053944,1837479,-278221,-110256,-3320318,560,0,-15880178,6007119,0,20585,36000,-1922,59765,-135831,917181,,,2014年度,39378362,48119090,-878601,8740728,23544603,,26983303,32736356,-3760265,41937500,-42667807,-5478950,23544603,38500,12836985,-8728728,4108257,0,82412,50000,102637,,,-210566,359985,19822,,,,9191753,0,48119090,-5753053,-4846,0,326347,310809
2015-04-28,1,2015,,,,-286446,-3535.0,225081,-19914,-383074,-312384.0,,-409897,,-176942,38099,-726326,-5307243,,,-494.0,,-33115,,-14139.0,-566,324106,-162489,-4326,135,-246724,-120019,0.0,-27716,-2500626,0.0,,-4932599,2172390,,0.0,,10809,20776,-36898,197528,,2062174.0,2015年01月01日至2015年03月31日,48119090,46310267,499407,-1808823,6249696,2.0,3417883,4636515,,23120500,-22813000,432219,6249696,,-770012,-2905343,-3675355,,620931,0.0,19622,,,-8578,18021.0,,,,,-1613181,,46310267,-1218632,0.0,,-303684.0,-209159.0
2015-08-05,2,2015,,,0.0,-58228,-3535.0,-445643,87087,582775,-370503.0,,-413196,,-298949,77900,-1092465,-11194894,,,-494.0,,-40983,,2289.0,-566,493171,-313909,-1044,180,-183542,-446350,0.0,-65267,-7615854,0.0,,-10622686,4502303,,0.0,,9549,41517,-78798,364472,,4205869.0,2015年01月01日至2015年06月30日,48119090,43348208,345469,-4770882,14411064,6.0,5234805,10097879,,46457500,-44848500,1709464,14411064,,-856790,-7662264,-8519054,,626297,0.0,56624,,,-17480,34687.0,,6.0,,,-4313185,,43348208,-4863074,0.0,,-301345.0,-209159.0
